gid	Am2_463	base	logAm2_463	Am2_464	logAm2_464	Am4_461	logAm4_461	Am6_462	logAm6_462	Am6_464	logAm6_464	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2	cutoff
TRINITY_DN123374_c0_g1_i4	68.91531809	2	6.106752787	31.85720801	4.993547928	69.18940021	6.112479129	45.80559902	5.517452051	30.72716979	4.941442985	NA	NA	NA	NA	6.110794119	1.000173869	0.003433436	0.0198547	61.30343911	31.2921889	5.937898459	meanmale	4.967735284	meanfemale	FC1
TRINITY_DN130048_c0_g1_i3	6.120943588	2	2.613754072	3.958386494	1.984912483	6.288959931	2.652821444	6.469746489	2.693709183	2.463602066	1.300769243	NA	NA	NA	NA	3.828685089	1.001052016	0.007400887	0.037647463	6.293216669	3.21099428	2.653820539	meanmale	1.683065024	meanfemale	FC1
TRINITY_DN130854_c0_g3_i2	8.691876842	2	3.119667733	5.550164509	2.472530534	9.672180219	3.273841126	11.84033683	3.565638218	4.733378906	2.242870414	NA	NA	NA	NA	2.908074046	1.001519993	0.010242584	0.049240609	10.0681313	5.141771708	3.33173836	meanmale	2.362293615	meanfemale	FC1
TRINITY_DN135877_c0_g1_i10	14.13669778	2	3.821373252	6.318499583	2.659582011	12.65581638	3.661728668	11.81420983	3.562451236	6.79151204	2.763732807	NA	NA	NA	NA	5.471447261	1.003051063	0.001294601	0.008510449	12.868908	6.555005812	3.685828943	meanmale	2.712619068	meanfemale	FC1
TRINITY_DN127347_c4_g6_i1	83.06292332	2	6.376132742	28.99524281	4.857744315	59.11841389	5.885535658	48.33789001	5.595082595	35.6717497	5.156710077	cct5	Chr06	41005617	41005617	4.55620793	1.003125777	0.003859181	0.021886437	63.50640907	32.33349626	5.988832563	meanmale	5.014962073	meanfemale	FC1
TRINITY_DN129158_c1_g1_i4	15.33382133	2	3.93864537	6.982347002	2.803712056	9.556987109	3.256555873	13.10673117	3.712236016	5.893669658	2.559166199	NA	NA	NA	NA	4.569778021	1.004122076	0.00296479	0.017501732	12.66584654	6.43800833	3.66288299	meanmale	2.686636852	meanfemale	FC1
TRINITY_DN134885_c1_g1_i1	3.179147471	2	1.66863994	1.978967739	0.984748094	5.234402756	2.388024935	3.90350889	1.964771555	2.202577598	1.139192847	LOC496913-like	Chr02	62548925	62548925	4.381700267	1.004567207	0.003296425	0.019191442	4.105686372	2.090772669	2.037658565	meanmale	1.064105206	meanfemale	FC1
TRINITY_DN118623_c0_g1_i1	40.46135646	2	5.338472782	25.2027943	4.655511793	54.5881349	5.770515501	70.50350853	6.139623148	30.86997082	4.948132214	npffr2	scaffold_51	971509	971509	6.144001713	1.006942537	0.004380182	0.024249973	55.1843333	28.03638256	5.786189457	meanmale	4.809233456	meanfemale	FC1
TRINITY_DN120324_c0_g1_i2	13.31265431	2	3.734726343	4.514718497	2.174636035	11.32673924	3.50166069	10.21712946	3.352918018	7.242428331	2.856473503	NA	NA	NA	NA	3.467010128	1.009416218	0.009908722	0.047912648	11.618841	5.878573414	3.538406677	meanmale	2.555490632	meanfemale	FC1
TRINITY_DN127245_c0_g1_i2	10.31558338	2	3.366753508	6.730288766	2.750668406	18.72772722	4.227103921	15.28885389	3.934408356	8.252037883	3.044750444	NA	NA	NA	NA	5.363467402	1.011107908	0.003812899	0.021662305	14.77738816	7.491163325	3.88532916	meanmale	2.905209035	meanfemale	FC1
TRINITY_DN133182_c5_g1_i2	4.064173466	2	2.02296198	2.131449936	1.091835169	4.095341669	2.033983819	5.071028037	2.342278251	2.321483218	1.215046852	NA	NA	NA	NA	3.811968194	1.015103844	0.004451025	0.024609402	4.410181057	2.226466577	2.140870598	meanmale	1.154820751	meanfemale	FC1
