chr	chrid	trans	dNdS	dN	dS				
Chr01	sexchr	TRINITY_DN128829_c3_g2_i2	0.0403	0.0082	0.2029				
Chr01	sexchr	TRINITY_DN128955_c5_g1_i1	0.052	0.0222	0.4271				
Chr01	sexchr	TRINITY_DN119653_c0_g2_i1	0.0305	0.0135	0.4424				
Chr01	sexchr	TRINITY_DN119737_c0_g2_i2	0.0481	0.0219	0.4547				
Chr01	sexchr	TRINITY_DN125676_c0_g1_i1	0.0723	0.0372	0.5142				
Chr01	sexchr	TRINITY_DN132085_c5_g1_i2	0.0798	0.0414	0.5186				
Chr01	sexchr	TRINITY_DN118411_c0_g1_i21	0.0205	0.0108	0.5254				
Chr01	sexchr	TRINITY_DN131226_c2_g4_i1	0.0595	0.0316	0.531				
Chr01	sexchr	TRINITY_DN114618_c0_g1_i5	0.1424	0.0763	0.5355				
Chr01	sexchr	TRINITY_DN134442_c2_g3_i3	0.0236	0.0128	0.5416				
Chr01	sexchr	TRINITY_DN135508_c3_g1_i4	0.0049	0.0027	0.5419				
Chr01	sexchr	TRINITY_DN109980_c0_g1_i1	0.1102	0.0602	0.5468				
Chr01	sexchr	TRINITY_DN122646_c2_g1_i1	0.0523	0.029	0.5545				
Chr01	sexchr	TRINITY_DN107852_c0_g1_i2	0.0163	0.0093	0.571				
Chr01	sexchr	TRINITY_DN98785_c0_g1_i1	0.1539	0.0894	0.5807				
Chr01	sexchr	TRINITY_DN128762_c3_g1_i1	0.0208	0.0122	0.5848				
Chr01	sexchr	TRINITY_DN124131_c7_g1_i2	0.042	0.0249	0.5925				
Chr01	sexchr	TRINITY_DN123234_c0_g3_i1	0.001	0.0006	0.6025				
Chr01	sexchr	TRINITY_DN124739_c1_g3_i5	0.0382	0.0233	0.61				
Chr01	sexchr	TRINITY_DN125527_c2_g7_i1	0.064	0.0393	0.6143				
Chr01	sexchr	TRINITY_DN133450_c2_g1_i8	0.0554	0.0358	0.6458				
Chr01	sexchr	TRINITY_DN93844_c0_g1_i1	0.0341	0.0228	0.6675				
Chr01	sexchr	TRINITY_DN120932_c1_g1_i3	0.2357	0.1578	0.6695				
Chr01	sexchr	TRINITY_DN97412_c0_g1_i1	0.0257	0.0173	0.6742				
Chr01	sexchr	TRINITY_DN127120_c0_g1_i1	0.0553	0.0374	0.676				
Chr01	sexchr	TRINITY_DN128701_c3_g1_i1	0.0932	0.063	0.676				
Chr01	sexchr	TRINITY_DN121308_c0_g2_i1	0.2484	0.169	0.6803				
Chr01	sexchr	TRINITY_DN133786_c3_g8_i1	0.1834	0.1263	0.6883				
Chr01	sexchr	TRINITY_DN100194_c0_g1_i1	0.0782	0.0539	0.6898				
Chr01	sexchr	TRINITY_DN130100_c3_g1_i2	0.0809	0.0563	0.6964				
Chr01	sexchr	TRINITY_DN134849_c5_g1_i2	0.016	0.0113	0.708				
Chr01	sexchr	TRINITY_DN128478_c1_g4_i3	0.0371	0.0263	0.7087				
Chr01	sexchr	TRINITY_DN125354_c3_g2_i4	0.0128	0.0091	0.71				
Chr01	sexchr	TRINITY_DN132176_c6_g2_i1	0.0148	0.0107	0.7209				
Chr01	sexchr	TRINITY_DN128139_c0_g1_i1	0.0725	0.0527	0.7268				
Chr01	sexchr	TRINITY_DN133194_c0_g3_i3	0.0184	0.0135	0.7324				
Chr01	sexchr	TRINITY_DN118421_c0_g1_i2	0.0367	0.0269	0.7331				
Chr01	sexchr	TRINITY_DN123048_c0_g1_i8	0.0115	0.0085	0.7391				
Chr01	sexchr	TRINITY_DN115590_c0_g1_i2	0.0676	0.0501	0.7414				
Chr01	sexchr	TRINITY_DN124429_c0_g1_i3	0.0349	0.026	0.7442				
Chr01	sexchr	TRINITY_DN112070_c0_g1_i2	0.0169	0.0126	0.7471				
Chr01	sexchr	TRINITY_DN124331_c1_g1_i2	0.0137	0.0104	0.756				
