gid	gname	chr	start	end	logCPM	logFC.XY46.XX46
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.954357926	1.01761635
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.126468493	-1.421971308
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.718452252	-0.892748562
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.808302851	-0.889525636
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.748325849	-1.988918474
TRINITY_DN100132_c0_g1_i2	gnb1l	Chr01	146232743	146232743	1.254912712	0.801970508
TRINITY_DN100230_c0_g1_i1	NA	NA	NA	NA	0.619092655	1.456103855
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.094464643	-1.344107007
TRINITY_DN100266_c0_g1_i1	rps6ka1	Chr02	51799984	51799984	0.724834655	0.298435528
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	3.485238655	0.12013043
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	7.371620224	0.526172735
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	1.340110258	0.735866322
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	3.698494152	0.488231265
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.692817042	-1.372111536
TRINITY_DN100376_c0_g2_i1	secisbp2	Chr01	125667448	125667448	3.192776922	0.909305902
TRINITY_DN100376_c0_g3_i1	lmx1b.1	Chr08	9183575	9183575	1.002757211	0.614444086
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	1.023588619	0.249853177
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	1.14936755	0.48225441
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	0.103581081	1.066283463
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	1.433967961	0.718211257
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	2.615163323	2.225904703
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	2.784493387	-0.890763327
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	5.988793418	0.338834198
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	6.796502098	-0.496765977
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	5.122363769	0.432157052
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	3.362757312	-0.828512765
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	6.034701246	1.134274441
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	2.896780862	0.199183123
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	1.044254947	0.741492024
TRINITY_DN100754_c0_g1_i1	LOC100493463	Chr03	35127454	35127454	3.743813316	1.288130644
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	1.117628539	-0.743426145
TRINITY_DN100784_c0_g2_i1	slc2a10	Chr10	29387860	29387860	1.917575619	1.495807136
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	3.810854722	0.6511492
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	3.990204744	1.255168983
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	3.49352572	-1.484850461
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	1.19251909	-1.10691194
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	6.068641705	-2.138227805
