gid	A12FL1	base	logA12FL1	A12ML1	logA12ML1	A15ML1	logA15ML1	A17FL1	logA17FL1	A17ML1	logA17ML1	A2FL1	logA2FL1	A7FL1	logA7FL1	A8FL1	logA8FL1	A8ML1	logA8ML1	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN128065_c4_g6_i1	7.465185933	2	2.900178194	11.69342928	3.54762618	15.49391278	3.953629618	4.845753451	2.276721003	11.90872894	3.573947532	3.820490232	1.933757772	7.646599117	2.934818241	3.760757012	1.911023095	10.06244363	3.330908796	dnajc4	Chr04	40294051	40294051	4.152976015	1.161763484	0.000513727	0.043210161	12.28962866	3.619381158	meanmale	5.507757149	2.461491142	meanfemale	FC1
TRINITY_DN118885_c0_g1_i1	18.61956806	2	4.2187477	33.96639132	5.086036045	48.22530745	5.591718531	13.24491934	3.727367153	21.58357962	4.431862249	8.049031912	3.008815275	15.22299725	3.928180533	18.77088429	4.230424712	34.16088509	5.09427345	NA	NA	NA	NA	4.765288667	1.220496704	0.000456421	0.039844733	34.48404087	5.107861119	meanmale	14.78148017	3.885728599	meanfemale	FC1
TRINITY_DN133911_c4_g9_i1	4.02850552	2	2.010244732	7.555052292	2.917441741	10.9990417	3.459305928	3.42219553	1.774922192	8.583657429	3.1015925	3.16029575	1.660059576	4.222328937	2.078038975	3.684727497	1.881557929	7.667197396	2.938699323	NA	NA	NA	NA	3.427478295	1.2300306	0.000121631	0.015368499	8.701237204	3.121237129	meanmale	3.703610647	1.888971392	meanfemale	FC1
TRINITY_DN193423_c0_g1_i1	16.13133015	2	4.011793499	25.37133423	4.665127485	31.87729093	4.994457123	11.40646491	3.511779836	20.30713382	4.343914725	8.945756076	3.161203421	5.842481148	2.546581174	12.59036043	3.654247679	27.5403253	4.783473695	NA	NA	NA	NA	3.707060303	1.257538568	0.000434078	0.038917516	26.27402107	4.715570598	meanmale	10.98327854	3.457249998	meanfemale	FC1
TRINITY_DN124548_c3_g1_i1	6.141445274	2	2.618578207	30.95203414	4.95196232	14.41104307	3.849102856	6.449160413	2.689111355	16.61046397	4.054020467	9.962505621	3.316508633	6.216421498	2.636084328	10.43811275	3.383788986	14.11778649	3.819442003	NA	NA	NA	NA	3.816645	1.268690407	0.000511219	0.043191139	19.02283192	4.249667714	meanmale	7.841529111	2.971153408	meanfemale	FC1
TRINITY_DN132067_c0_g1_i6	5.328042024	2	2.413605461	13.52089332	3.757118568	16.0850639	4.007649762	4.892639663	2.290613034	20.55800647	4.361628467	8.439552105	3.077166436	6.767927328	2.758714077	6.400538881	2.678193375	11.58257864	3.533884572	NA	NA	NA	NA	4.323550994	1.27419203	9.32E-05	0.012507366	15.43663558	3.948295792	meanmale	6.36574	2.670350897	meanfemale	FC1
TRINITY_DN124990_c0_g3_i2	68.96979583	2	6.107892791	200.9681659	7.650823181	197.0473324	7.622398408	105.1116546	6.715778831	184.8306511	7.530060213	126.5117654	6.983127749	71.6253252	6.162397879	52.9324794	5.726081327	246.7788352	7.947074858	NA	NA	NA	NA	8.314361601	1.279130716	0.000526443	0.043563891	207.4062462	7.696316228	meanmale	85.03020409	6.409905192	meanfemale	FC1
TRINITY_DN127460_c5_g2_i1	11.61923303	2	3.538442936	27.72613558	4.793174645	21.84385705	4.449155716	12.70723545	3.667578291	29.41983547	4.878717273	7.696447104	2.944192611	7.555842683	2.917592664	11.09952704	3.472426298	19.53416098	4.287927386	NA	NA	NA	NA	4.404180549	1.282242597	6.21E-05	0.009397782	24.63099727	4.622408994	meanmale	10.13565706	3.341381946	meanfemale	FC1
TRINITY_DN130953_c3_g3_i1	43.11604886	2	5.430153071	72.78670864	6.185603123	76.82755835	6.263551999	39.63164014	5.308580769	84.23350526	6.396322298	46.65002258	5.543805874	16.26299753	4.023521289	18.52612724	4.211489422	88.16355822	6.462110546	NA	NA	NA	NA	5.968575266	1.288693967	0.00062542	0.04973139	80.50283262	6.330969435	meanmale	32.83736727	5.037270952	meanfemale	FC1
TRINITY_DN130362_c0_g1_i1	1.201654021	2	0.265021577	3.675904469	1.878099274	2.814854302	1.49306025	0.991945395	-0.01166739	1.649261209	0.72181991	0.777953697	-0.362243805	1.072797856	0.101378259	1.610811169	0.687787381	2.970898621	1.570899375	NA	NA	NA	NA	2.870139394	1.289859956	0.000542449	0.044440922	2.77772965	1.473958129	meanmale	1.131032428	0.177767843	meanfemale	FC1
TRINITY_DN122195_c3_g2_i1	3.935806388	2	1.976659253	12.09908779	3.596826375	6.685572398	2.741051085	4.602668779	2.202470626	10.60000252	3.405992703	3.437845911	1.781504883	5.867422598	2.552726905	2.516001303	1.331132669	11.21712941	3.487631616	NA	NA	NA	NA	3.056689296	1.31597103	0.000309588	0.031829127	10.15044803	3.343485716	meanmale	4.071948996	2.02575492	meanfemale	FC1
TRINITY_DN123723_c1_g1_i1	109.5103016	2	6.77492278	218.176646	7.769352871	267.0824726	8.061141491	111.5251197	6.801224886	330.9352047	8.370404963	168.3650952	7.395449265	53.72134344	5.747423478	100.9606413	6.657649169	274.8133417	8.102308236	NA	NA	NA	NA	7.731189623	1.316762478	0.00047943	0.041271112	272.7519163	8.091446051	meanmale	108.8165002	6.76575485	meanfemale	FC1
