gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias	RBH	TRANS	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	-1.344107007	0.250670296	Ovary_mean	female	RBH_pair_7.fa.best.phy	TRINITY_DN100260_c0_g2_i1	0.048	0.0845	1.7581
TRINITY_DN101042_c0_g2_i1	NA	NA	-1.611944782	0.568551038	Ovary_mean	female	RBH_pair_18.fa.best.phy	TRINITY_DN101042_c0_g2_i1	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	NA	NA	-2.359130221	0.608105373	Ovary_mean	female	RBH_pair_26.fa.best.phy	TRINITY_DN101356_c0_g1_i1	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	-1.617057321	0.456256144	Ovary_mean	female	RBH_pair_29.fa.best.phy	TRINITY_DN101457_c0_g1_i1	0.1189	0.2181	1.8344
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	-2.156195295	0.403031814	Ovary_mean	female	RBH_pair_48.fa.best.phy	TRINITY_DN102065_c0_g1_i1	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	-1.099192848	0.253002842	Ovary_mean	female	RBH_pair_49.fa.best.phy	TRINITY_DN102078_c0_g1_i1	0.0307	0.0444	1.4466
TRINITY_DN102581_c0_g1_i2	NA	NA	-5.202101884	0.737419528	Ovary_mean	female	RBH_pair_73.fa.best.phy	TRINITY_DN102581_c0_g1_i2	0.1789	0.2786	1.5577
TRINITY_DN103526_c0_g1_i1	NA	NA	-2.409666638	0.601049357	Ovary_mean	female	RBH_pair_85.fa.best.phy	TRINITY_DN103526_c0_g1_i1	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	-1.371772163	0.287912192	Ovary_mean	female	RBH_pair_88.fa.best.phy	TRINITY_DN103549_c0_g1_i1	0.0579	0.1024	1.7679
TRINITY_DN103621_c0_g1_i2	NA	NA	-3.807957397	0.656361493	Ovary_mean	female	RBH_pair_94.fa.best.phy	TRINITY_DN103621_c0_g1_i2	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	-3.268973096	0.490328287	Ovary_mean	female	RBH_pair_95.fa.best.phy	TRINITY_DN103622_c0_g3_i3	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	NA	NA	-1.734627143	0.765978192	Brain_mean	female	RBH_pair_97.fa.best.phy	TRINITY_DN103653_c0_g1_i1	0.0311	0.0462	1.4862
TRINITY_DN103783_c0_g1_i1	NA	NA	-1.131018074	0.454331592	Ovary_mean	female	RBH_pair_110.fa.best.phy	TRINITY_DN103783_c0_g1_i1	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	NA	NA	-6.646268876	0.745128049	Ovary_mean	female	RBH_pair_113.fa.best.phy	TRINITY_DN103838_c0_g1_i1	0.0743	0.1212	1.6324
TRINITY_DN103989_c0_g1_i1	NA	NA	-1.035593199	0.253272654	Ovary_mean	female	RBH_pair_126.fa.best.phy	TRINITY_DN103989_c0_g1_i1	0.0885	0.1434	1.6201
TRINITY_DN104207_c0_g1_i1	NA	NA	-3.681619619	0.692934562	Ovary_mean	female	RBH_pair_132.fa.best.phy	TRINITY_DN104207_c0_g1_i1	0.1071	0.1454	1.358
TRINITY_DN104365_c0_g3_i1	NA	NA	-1.070400221	0.427805534	Ovary_mean	female	RBH_pair_137.fa.best.phy	TRINITY_DN104365_c0_g3_i1	0.0999	0.1188	1.1895
TRINITY_DN104654_c0_g1_i1	ino80	Chr08	-2.099046875	0.632622506	Ovary_mean	female	RBH_pair_148.fa.best.phy	TRINITY_DN104654_c0_g1_i1	0.0931	0.1819	1.954
TRINITY_DN104751_c0_g1_i2	NA	NA	-1.464496149	0.383417863	Ovary_mean	female	RBH_pair_156.fa.best.phy	TRINITY_DN104751_c0_g1_i2	0.0416	0.06	1.4428
TRINITY_DN104812_c0_g1_i2	NA	NA	-1.68479093	0.403657192	Ovary_mean	female	RBH_pair_162.fa.best.phy	TRINITY_DN104812_c0_g1_i2	0.0791	0.1036	1.3096
TRINITY_DN105440_c0_g1_i1	NA	NA	-4.071972548	0.660503475	Ovary_mean	female	RBH_pair_189.fa.best.phy	TRINITY_DN105440_c0_g1_i1	0.05	0.0838	1.6769
TRINITY_DN105560_c0_g1_i2	NA	NA	-1.265767355	0.374118586	Ovary_mean	female	RBH_pair_197.fa.best.phy	TRINITY_DN105560_c0_g1_i2	0.1374	0.1843	1.3417
TRINITY_DN105578_c0_g1_i1	NA	NA	-4.703992967	0.754051954	Ovary_mean	female	RBH_pair_198.fa.best.phy	TRINITY_DN105578_c0_g1_i1	0.1479	0.2113	1.4289
TRINITY_DN105601_c0_g1_i1	NA	NA	-5.008871934	0.654871744	Ovary_mean	female	RBH_pair_200.fa.best.phy	TRINITY_DN105601_c0_g1_i1	0.0889	0.1503	1.6911
TRINITY_DN105647_c0_g2_i1	NA	NA	-11.81141532	0.856680274	Ovary_mean	female	RBH_pair_204.fa.best.phy	TRINITY_DN105647_c0_g2_i1	0.5406	0.7804	1.4436
TRINITY_DN106065_c0_g1_i2	NA	NA	-1.299027206	0.424193039	Ovary_mean	female	RBH_pair_220.fa.best.phy	TRINITY_DN106065_c0_g1_i2	0.0442	0.0531	1.2023
TRINITY_DN106464_c0_g2_i1	NA	NA	-2.390172886	0.725671081	Brain_mean	female	RBH_pair_243.fa.best.phy	TRINITY_DN106464_c0_g2_i1	0.0366	0.0529	1.4454
TRINITY_DN106942_c0_g1_i1	NA	NA	-1.878857317	0.581132541	Ovary_mean	female	RBH_pair_261.fa.best.phy	TRINITY_DN106942_c0_g1_i1	0.0487	0.0873	1.7914
TRINITY_DN107308_c0_g1_i1	wasl	Chr03	-1.203030321	0.490766137	Ovary_mean	female	RBH_pair_273.fa.best.phy	TRINITY_DN107308_c0_g1_i1	0.0086	0.0117	1.3675
TRINITY_DN107530_c1_g1_i1	psmd11	Chr10	-1.16468088	0.29917091	Ovary_mean	female	RBH_pair_283.fa.best.phy	TRINITY_DN107530_c1_g1_i1	0.0974	0.1502	1.5415
TRINITY_DN107696_c0_g1_i4	NA	NA	-1.342941941	0.513780259	Ovary_mean	female	RBH_pair_292.fa.best.phy	TRINITY_DN107696_c0_g1_i4	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	-2.063017987	0.611786971	Ovary_mean	female	RBH_pair_294.fa.best.phy	TRINITY_DN107740_c0_g1_i1	0.0127	0.0151	1.1955
TRINITY_DN107774_c0_g1_i2	NA	NA	-1.160881475	0.228965569	Ovary_mean	female	RBH_pair_300.fa.best.phy	TRINITY_DN107774_c0_g1_i2	0.0257	0.0288	1.1202
TRINITY_DN108316_c0_g1_i1	NA	NA	-1.592468463	0.411064998	Ovary_mean	female	RBH_pair_332.fa.best.phy	TRINITY_DN108316_c0_g1_i1	0.0167	0.0211	1.2626
TRINITY_DN108427_c0_g3_i5	NA	NA	-1.848577304	0.423719915	Ovary_mean	female	RBH_pair_338.fa.best.phy	TRINITY_DN108427_c0_g3_i5	0.0748	0.1472	1.9671
TRINITY_DN108436_c0_g1_i2	ate1-like	Chr07	-1.38155846	0.48668377	Ovary_mean	female	RBH_pair_341.fa.best.phy	TRINITY_DN108436_c0_g1_i2	0.1115	0.0839	0.7527
TRINITY_DN108566_c0_g3_i1	NA	NA	-2.637974725	0.731589556	G46_F_mean	female	RBH_pair_354.fa.best.phy	TRINITY_DN108566_c0_g3_i1	0.1183	0.2185	1.8478
TRINITY_DN108791_c0_g2_i1	NA	NA	-1.84427199	0.552171898	Brain_mean	female	RBH_pair_368.fa.best.phy	TRINITY_DN108791_c0_g2_i1	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	NA	NA	-1.096220312	0.317319053	Ovary_mean	female	RBH_pair_371.fa.best.phy	TRINITY_DN108927_c0_g4_i1	0.1596	0.2324	1.456
TRINITY_DN108930_c0_g1_i3	NA	NA	-2.260625998	0.479124657	G27_mean	female	RBH_pair_372.fa.best.phy	TRINITY_DN108930_c0_g1_i3	0.2597	0.433	1.6673
TRINITY_DN108932_c0_g1_i1	NA	NA	-2.490433995	0.369166807	Ovary_mean	female	RBH_pair_373.fa.best.phy	TRINITY_DN108932_c0_g1_i1	0.1002	0.0906	0.9041
TRINITY_DN109101_c0_g2_i1	map1lc3c	Chr05	-1.200913342	0.433884284	Ovary_mean	female	RBH_pair_377.fa.best.phy	TRINITY_DN109101_c0_g2_i1	0.1856	0.1667	0.8984
TRINITY_DN109252_c0_g1_i2	LOC100498119	Chr08	-2.422927448	0.544702936	Ovary_mean	female	RBH_pair_387.fa.best.phy	TRINITY_DN109252_c0_g1_i2	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	-2.905882991	0.478059501	Ovary_mean	female	RBH_pair_388.fa.best.phy	TRINITY_DN109275_c0_g1_i1	0.0644	0.1112	1.7268
TRINITY_DN109308_c0_g1_i1	LOC100486333-like	Chr08	-2.701597483	0.508356507	Ovary_mean	female	RBH_pair_393.fa.best.phy	TRINITY_DN109308_c0_g1_i1	0.1947	0.307	1.5763
TRINITY_DN109430_c0_g5_i1	brox	Chr05	-1.690559315	0.565408613	Ovary_mean	female	RBH_pair_401.fa.best.phy	TRINITY_DN109430_c0_g5_i1	0.165	0.2426	1.4703
TRINITY_DN109454_c0_g1_i2	NA	NA	-1.255549297	0.263110565	Ovary_mean	female	RBH_pair_404.fa.best.phy	TRINITY_DN109454_c0_g1_i2	0.2116	0.3049	1.4406
TRINITY_DN109491_c0_g2_i1	NA	NA	-1.596572773	0.286487963	Testis_mean	female	RBH_pair_407.fa.best.phy	TRINITY_DN109491_c0_g2_i1	0.1369	0.1757	1.2834
TRINITY_DN109560_c0_g1_i1	NA	NA	-1.918763153	0.526851568	Ovary_mean	female	RBH_pair_414.fa.best.phy	TRINITY_DN109560_c0_g1_i1	0.1453	0.2157	1.4848
TRINITY_DN109596_c0_g1_i1	NA	NA	-7.755034001	0.709010869	Ovary_mean	female	RBH_pair_416.fa.best.phy	TRINITY_DN109596_c0_g1_i1	0.0744	0.111	1.4913
TRINITY_DN109625_c0_g1_i3	NA	NA	-1.689013415	0.32503898	Ovary_mean	female	RBH_pair_420.fa.best.phy	TRINITY_DN109625_c0_g1_i3	0.0295	0.0547	1.8545
TRINITY_DN109666_c0_g1_i1	NA	NA	-12.10335183	0.808450443	Ovary_mean	female	RBH_pair_425.fa.best.phy	TRINITY_DN109666_c0_g1_i1	0.1894	0.3577	1.8886
TRINITY_DN109667_c0_g1_i2	NA	NA	-1.20102945	0.341072917	Ovary_mean	female	RBH_pair_426.fa.best.phy	TRINITY_DN109667_c0_g1_i2	0.0371	0.0672	1.8078
TRINITY_DN109678_c0_g1_i4	NA	NA	-1.838797254	0.363092694	Ovary_mean	female	RBH_pair_428.fa.best.phy	TRINITY_DN109678_c0_g1_i4	0.0389	0.0457	1.1736
TRINITY_DN109844_c0_g2_i1	NA	NA	-1.550909223	0.354602922	Ovary_mean	female	RBH_pair_439.fa.best.phy	TRINITY_DN109844_c0_g2_i1	0.1636	0.2496	1.526
TRINITY_DN109913_c0_g1_i1	NA	NA	-9.298120997	0.90284786	Ovary_mean	female	RBH_pair_444.fa.best.phy	TRINITY_DN109913_c0_g1_i1	0.1951	0.329	1.6866
TRINITY_DN109929_c0_g1_i1	NA	NA	-11.15822606	0.830558631	Ovary_mean	female	RBH_pair_446.fa.best.phy	TRINITY_DN109929_c0_g1_i1	0.0768	0.1115	1.4529
TRINITY_DN109936_c0_g2_i1	NA	NA	-1.594062881	0.381561212	Ovary_mean	female	RBH_pair_448.fa.best.phy	TRINITY_DN109936_c0_g2_i1	0.0183	0.0269	1.4722
TRINITY_DN110022_c0_g1_i1	NA	NA	-2.667071305	0.451953779	Ovary_mean	female	RBH_pair_457.fa.best.phy	TRINITY_DN110022_c0_g1_i1	0.0759	0.12	1.5823
TRINITY_DN110037_c0_g1_i1	NA	NA	-3.298390808	0.7576335	Ovary_mean	female	RBH_pair_458.fa.best.phy	TRINITY_DN110037_c0_g1_i1	0.06	0.0777	1.2952
TRINITY_DN110103_c0_g1_i1	Xetrov90030986m	scaffold_99	-8.569026429	0.873793545	Ovary_mean	female	RBH_pair_465.fa.best.phy	TRINITY_DN110103_c0_g1_i1	0.0936	0.1712	1.8293
TRINITY_DN110132_c0_g2_i1	ocel1	Chr01	-1.314492372	0.22421265	Ovary_mean	female	RBH_pair_467.fa.best.phy	TRINITY_DN110132_c0_g2_i1	0.0019	0.003	1.6174
TRINITY_DN110153_c0_g1_i1	pfkp	Chr06	-1.069896579	0.31821499	Ovary_mean	female	RBH_pair_470.fa.best.phy	TRINITY_DN110153_c0_g1_i1	0.0679	0.1167	1.7178
TRINITY_DN110265_c0_g1_i1	NA	NA	-1.076460138	0.410874473	Ovary_mean	female	RBH_pair_481.fa.best.phy	TRINITY_DN110265_c0_g1_i1	0.0534	0.0796	1.4913
TRINITY_DN110314_c0_g1_i3	NA	NA	-1.961585574	0.436149235	Ovary_mean	female	RBH_pair_486.fa.best.phy	TRINITY_DN110314_c0_g1_i3	0.0766	0.1499	1.9564
TRINITY_DN110346_c0_g1_i2	NA	NA	-1.767349659	0.431359026	Ovary_mean	female	RBH_pair_488.fa.best.phy	TRINITY_DN110346_c0_g1_i2	0.0737	0.1275	1.7291
TRINITY_DN110679_c0_g1_i1	NA	NA	-10.76486731	0.890071596	Ovary_mean	female	RBH_pair_518.fa.best.phy	TRINITY_DN110679_c0_g1_i1	0.1135	0.1386	1.2213
TRINITY_DN110780_c0_g1_i2	NA	NA	-2.75852712	0.620690618	Ovary_mean	female	RBH_pair_529.fa.best.phy	TRINITY_DN110780_c0_g1_i2	0.1339	0.1281	0.9568
TRINITY_DN110842_c0_g1_i2	NA	NA	-2.390629638	0.359535998	Ovary_mean	female	RBH_pair_532.fa.best.phy	TRINITY_DN110842_c0_g1_i2	0.0526	0.0684	1.3003
TRINITY_DN110993_c0_g1_i2	NA	NA	-1.541823956	0.449030578	Ovary_mean	female	RBH_pair_548.fa.best.phy	TRINITY_DN110993_c0_g1_i2	0.0685	0.0716	1.0444
TRINITY_DN110999_c0_g1_i1	NA	NA	-2.027310618	0.447679332	Ovary_mean	female	RBH_pair_550.fa.best.phy	TRINITY_DN110999_c0_g1_i1	0.1523	0.2516	1.6521
TRINITY_DN111014_c0_g1_i2	NA	NA	-1.456181507	0.356876441	Ovary_mean	female	RBH_pair_552.fa.best.phy	TRINITY_DN111014_c0_g1_i2	0.0475	0.0894	1.8827
TRINITY_DN111028_c0_g1_i1	NA	NA	-13.05645752	0.860872775	Ovary_mean	female	RBH_pair_554.fa.best.phy	TRINITY_DN111028_c0_g1_i1	0.1157	0.1407	1.2163
TRINITY_DN111151_c0_g1_i1	NA	NA	-2.084282854	0.581512981	Ovary_mean	female	RBH_pair_568.fa.best.phy	TRINITY_DN111151_c0_g1_i1	0.0531	0.1035	1.948
TRINITY_DN111155_c0_g2_i2	NA	NA	-1.093951796	0.184420812	G23_mean	female	RBH_pair_569.fa.best.phy	TRINITY_DN111155_c0_g2_i2	0.151	0.1401	0.9275
TRINITY_DN111223_c0_g1_i1	NA	NA	-1.565828924	0.362263447	Ovary_mean	female	RBH_pair_581.fa.best.phy	TRINITY_DN111223_c0_g1_i1	0.0334	0.0378	1.1319
TRINITY_DN111236_c0_g1_i1	NA	NA	-6.277773293	0.796821699	Ovary_mean	female	RBH_pair_584.fa.best.phy	TRINITY_DN111236_c0_g1_i1	0.0342	0.0568	1.6622
TRINITY_DN111332_c0_g2_i5	NA	NA	-1.973641858	0.401630933	Ovary_mean	female	RBH_pair_594.fa.best.phy	TRINITY_DN111332_c0_g2_i5	0.0224	0.0268	1.1966
TRINITY_DN111590_c0_g1_i1	LOC733842	scaffold_208	-1.333951497	0.331355107	Ovary_mean	female	RBH_pair_623.fa.best.phy	TRINITY_DN111590_c0_g1_i1	0.0636	0.1067	1.6789
TRINITY_DN111594_c0_g1_i2	NA	NA	-5.585302352	0.698221224	Ovary_mean	female	RBH_pair_624.fa.best.phy	TRINITY_DN111594_c0_g1_i2	0.1131	0.1922	1.7001
TRINITY_DN111615_c0_g1_i2	NA	NA	-1.577275246	0.423008017	Ovary_mean	female	RBH_pair_628.fa.best.phy	TRINITY_DN111615_c0_g1_i2	0.0703	0.098	1.3928
TRINITY_DN111713_c0_g3_i1	NA	NA	-1.857007672	0.571871599	Ovary_mean	female	RBH_pair_640.fa.best.phy	TRINITY_DN111713_c0_g3_i1	0.0137	0.0226	1.6535
TRINITY_DN111752_c0_g1_i1	NA	NA	-1.183564035	0.292565998	Ovary_mean	female	RBH_pair_644.fa.best.phy	TRINITY_DN111752_c0_g1_i1	0.0065	0.0096	1.4829
TRINITY_DN111797_c0_g1_i1	NA	NA	-1.106413603	0.292545047	Ovary_mean	female	RBH_pair_652.fa.best.phy	TRINITY_DN111797_c0_g1_i1	0.0019	0.003	1.5931
TRINITY_DN111860_c0_g1_i1	afg3l1p	Chr04	-2.263086779	0.545643192	Ovary_mean	female	RBH_pair_661.fa.best.phy	TRINITY_DN111860_c0_g1_i1	0.0065	0.0129	1.9956
TRINITY_DN112081_c0_g3_i7	NA	NA	-1.155891387	0.302169065	Ovary_mean	female	RBH_pair_679.fa.best.phy	TRINITY_DN112081_c0_g3_i7	0.1014	0.1213	1.1953
TRINITY_DN112096_c1_g2_i2	NA	NA	-1.210418737	0.224799012	Ovary_mean	female	RBH_pair_681.fa.best.phy	TRINITY_DN112096_c1_g2_i2	0.0045	0.0058	1.2987
TRINITY_DN112103_c0_g1_i1	NA	NA	-1.113381032	0.258387937	Ovary_mean	female	RBH_pair_684.fa.best.phy	TRINITY_DN112103_c0_g1_i1	0.0145	0.021	1.455
TRINITY_DN112117_c1_g1_i4	uba3	Chr04	-3.727382775	0.75816465	Ovary_mean	female	RBH_pair_686.fa.best.phy	TRINITY_DN112117_c1_g1_i4	0.08	0.0821	1.0271
TRINITY_DN112166_c0_g2_i1	NA	NA	-2.194736124	0.495494002	Ovary_mean	female	RBH_pair_693.fa.best.phy	TRINITY_DN112166_c0_g2_i1	0.0432	0.0426	0.9858
TRINITY_DN112272_c0_g1_i1	NA	NA	-9.024170148	0.853146705	Ovary_mean	female	RBH_pair_708.fa.best.phy	TRINITY_DN112272_c0_g1_i1	0.2092	0.3533	1.6892
TRINITY_DN112341_c0_g1_i1	metap2	Chr03	-2.163451508	0.399500846	Ovary_mean	female	RBH_pair_714.fa.best.phy	TRINITY_DN112341_c0_g1_i1	0.0139	0.0212	1.5287
TRINITY_DN112453_c0_g3_i1	NA	NA	-2.913686733	0.465638829	Ovary_mean	female	RBH_pair_726.fa.best.phy	TRINITY_DN112453_c0_g3_i1	0.0712	0.1194	1.6772
TRINITY_DN112465_c0_g1_i1	NA	NA	-1.713543252	0.343640683	Ovary_mean	female	RBH_pair_727.fa.best.phy	TRINITY_DN112465_c0_g1_i1	0.0449	0.0518	1.1539
TRINITY_DN112473_c1_g1_i1	NA	NA	-3.555663102	0.710127482	Brain_mean	female	RBH_pair_728.fa.best.phy	TRINITY_DN112473_c1_g1_i1	0.0902	0.1123	1.2449
TRINITY_DN112473_c1_g2_i2	ptrh2	Chr02	-1.549810973	0.518790658	Ovary_mean	female	RBH_pair_729.fa.best.phy	TRINITY_DN112473_c1_g2_i2	0.0734	0.0941	1.2819
TRINITY_DN112501_c0_g1_i7	NA	NA	-2.415955498	0.476957695	Ovary_mean	female	RBH_pair_736.fa.best.phy	TRINITY_DN112501_c0_g1_i7	0.1245	0.1917	1.5398
TRINITY_DN112529_c0_g1_i1	NA	NA	-1.280959389	0.41412802	Ovary_mean	female	RBH_pair_737.fa.best.phy	TRINITY_DN112529_c0_g1_i1	0.1821	0.324	1.7792
TRINITY_DN112693_c0_g2_i1	prim2	Chr05	-4.132982013	0.728887452	Ovary_mean	female	RBH_pair_752.fa.best.phy	TRINITY_DN112693_c0_g2_i1	0.1077	0.1599	1.4849
