gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343	unbias	0.257661278	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205	unbias	0.33834217	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331	unbias	0.618468984	G43_M_mean	0.2178	0.4114	1.8887
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508	unbias	0.195032263	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231	unbias	0.437639948	G27_mmean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	0.219652679	unbias	0.606357753	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	0.334089705	unbias	0.654838779	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	0.172738488	unbias	0.484065879	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845	unbias	0.170045449	G23_mmean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.035816107	unbias	0.253323869	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.507119141	unbias	0.459006234	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	0.389292808	unbias	0.412454283	Brain_fmean	0.0979	0.1516	1.5493
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.157261097	unbias	0.703153505	Brain_mmean	0.1315	0.1055	0.8024
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.507507983	unbias	0.469207272	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	52868617	52868617	-0.602961106	unbias	0.428111172	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102026_c0_g1_i2	spock3	Chr01	41555975	41555975	0.470375028	unbias	0.577737791	Brain_fmean	0.0728	0.1038	1.4255
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-0.0461439	unbias	0.434214696	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.33175945	unbias	0.261237667	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.355157479	unbias	0.497457845	Ovary_mean	0.1384	0.2751	1.9882
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.030427587	unbias	0.29869715	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	-0.422320023	unbias	0.616356934	G43_F_mean	0.0695	0.1113	1.6012
