Group	ID	BLAST	PERC	LENG	GAP1	GAP2	QS	QE	DBS	DBE	Evalue	score
Anno	TRINITY_DN47265_c0_g1_i1	XM_017013240.1	100	1355	0	0	1	1355	1804	450	0	2503
Anno	TRINITY_DN84399_c0_g1_i1	BC005391.1	99.903	1032	1	0	1	1032	1047	16	0	1901
Anno	TRINITY_DN91685_c0_g1_i2	NM_005968.4	99.942	1733	1	0	1	1733	1799	67	0	3195
Anno	TRINITY_DN79381_c0_g1_i1	NM_000701.7	100	3320	0	0	3	3322	3574	255	0	6131
Anno	TRINITY_DN29528_c0_g1_i1	XM_005257527.2	100	1742	0	0	2	1743	1927	186	0	3217
Anno	TRINITY_DN78781_c0_g1_i1	NM_000984.5	100	666	0	0	1	666	691	26	0	1230
Anno	TRINITY_DN95782_c0_g1_i1	NM_002136.3	100	1698	0	0	1	1698	1766	69	0	3136
Anno	TRINITY_DN89284_c0_g3_i1	NM_001194955.1	100	2783	0	0	1	2783	3374	592	0	5140
Anno	TRINITY_DN95804_c0_g4_i1	BC070484.1	100	2157	0	0	1	2157	4348	2192	0	3984
Anno	TRINITY_DN85368_c0_g1_i1	NM_001658.3	100	859	0	0	1	859	897	39	0	1587
Anno	TRINITY_DN68054_c0_g2_i1	NM_001001.4	95.465	419	18	1	1	419	575	158	0	667
Anno	TRINITY_DN93097_c0_g2_i2	NM_152227.2	100	1364	0	0	1	1364	1654	291	0	2519
Anno	TRINITY_DN68144_c0_g1_i1	XM_014345040.1	100	834	0	0	2	835	1518	685	0	1541
Anno	TRINITY_DN68147_c0_g1_i1	NM_003908.4	100	1377	0	0	1	1377	1510	134	0	2543
Anno	TRINITY_DN26128_c0_g1_i1	NR_126093.1	100	2155	0	0	1	2155	3018	864	0	3980
Anno	TRINITY_DN22057_c0_g1_i1	AK097690.1	100	1106	0	0	1	1106	1727	622	0	2043
Anno	TRINITY_DN3505_c0_g1_i1	NM_001127228.1	100	1092	0	0	1	1092	1285	194	0	2017
Anno	TRINITY_DN74520_c0_g2_i1	NM_001096.2	99.922	3838	3	0	20	3857	3914	77	0	7071
Anno	TRINITY_DN94560_c0_g1_i1	NM_001320646.1	100	715	0	0	2	716	764	50	0	1321
Anno	TRINITY_DN44021_c0_g2_i1	NM_002778.3	100	2292	0	0	1	2292	2448	157	0	4233
Anno	TRINITY_DN61388_c0_g1_i1	NM_001428.3	100	1816	0	0	1	1816	2196	381	0	3354
Anno	TRINITY_DN15660_c0_g2_i1	NM_006135.2	100	1046	0	0	1	1046	1413	368	0	1932
Anno	TRINITY_DN16115_c0_g1_i1	NM_000942.4	100	851	0	0	1	851	1004	154	0	1572
Anno	TRINITY_DN99588_c1_g1_i1	XM_004056396.2	100	707	0	0	1	707	749	43	0	1306
Anno	TRINITY_DN96493_c0_g1_i1	NM_001015.4	100	596	0	0	11	606	623	28	0	1101
Anno	TRINITY_DN96442_c0_g2_i2	NM_006601.6	100	1920	0	0	1	1920	2038	119	0	3546
Anno	TRINITY_DN166447_c0_g1_i1	XM_005259668.4	99.759	1659	3	1	2	1660	1782	125	0	3040
Anno	TRINITY_DN196817_c0_g1_i1	XM_001159277.5	99.802	506	0	1	1	505	610	105	0	928
Anno	TRINITY_DN196290_c0_g1_i1	NM_000996.2	100	448	0	0	2	449	462	15	0	828
Anno	TRINITY_DN133899_c4_g1_i1	NM_000967.3	99.849	1328	2	0	1	1328	1348	21	0	2442
Anno	TRINITY_DN138829_c0_g1_i1	NM_016039.2	100	889	0	0	1	889	908	20	0	1642
Anno	TRINITY_DN138845_c0_g1_i1	NM_174907.3	100	1545	0	0	1	1545	1746	202	0	2854
Anno	TRINITY_DN138846_c0_g1_i1	XM_008957642.2	99.8	499	1	0	9	507	552	54	0	917
Anno	TRINITY_DN127374_c0_g3_i1	NM_003347.3	99.833	600	1	0	1	600	788	189	0	1103
Anno	TRINITY_DN101927_c0_g2_i1	NG_029391.2	99.518	622	1	1	1	620	736	115	0	1131
Anno	TRINITY_DN143726_c0_g1_i1	M33680.1	99.773	1322	1	2	1	1320	1494	173	0	2423
Anno	TRINITY_DN134983_c5_g1_i2	NM_003011.3	100	843	0	0	1	843	1171	329	0	1557
Anno	TRINITY_DN100108_c0_g1_i1	NM_002046.5	99.543	1312	3	1	1	1309	1412	101	0	2386
Anno	TRINITY_DN170314_c0_g1_i1	NM_170679.2	100	908	0	0	1	908	1000	93	0	1677
Anno	TRINITY_DN164715_c0_g1_i1	NM_006360.5	100	1208	0	0	1	1208	1286	79	0	2231
Anno	TRINITY_DN193361_c0_g1_i1	NM_000968.3	100	1421	0	0	1	1421	1440	20	0	2625
Anno	TRINITY_DN170734_c0_g1_i1	NM_001246471.1	100	376	0	0	1	376	380	5	0	695
Anno	TRINITY_DN154745_c0_g1_i1	AF083190.1	100	1478	0	0	1	1478	1501	24	0	2730
Anno	TRINITY_DN144974_c0_g1_i1	NM_001862.2	100	514	0	0	1	514	514	1	0	950
Anno	TRINITY_DN152099_c0_g1_i1	U90915.1	100	698	0	0	1	698	702	5	0	1290
Anno	TRINITY_DN155425_c0_g1_i1	NM_003295.3	100	1134	0	0	11	1144	1246	113	0	2095
Anno	TRINITY_DN193911_c0_g1_i1	AK291517.1	100	823	0	0	1	823	835	13	0	1520
Anno	TRINITY_DN151271_c0_g1_i1	AK378345.1	99.793	483	0	1	1	482	503	21	0	885
Anno	TRINITY_DN100875_c0_g1_i1	NM_000918.3	99.876	2419	3	0	1	2419	2572	154	0	4451
Anno	TRINITY_DN194707_c0_g1_i1	NM_181697.2	100	944	0	0	12	955	1005	62	0	1744
Anno	TRINITY_DN137223_c0_g1_i1	BC000589.2	100	514	0	0	1	514	525	12	0	950
Anno	TRINITY_DN179291_c0_g1_i1	NM_016022.3	100	1915	0	0	1	1915	2141	227	0	3537
Anno	TRINITY_DN150925_c0_g1_i1	NM_006294.4	100	467	0	0	2	468	520	54	0	863
