gid	gname	chr	start	end	logCPM	logFC.XY31.XX31	PV.XY31.XX31	FDR.XY31.XX31	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN100099_c0_g1_i1	cln6	Chr03	116488040	116488040	1.82104913315661	0.115937829941688	0.862889640635601	0.999969500680547	2.26965537062351	2.66180978655322	2.49558325562812	2.07645338659851	2.0842148540341	1.61588655499467	-1.30736084193962	-0.827116488011467	1.51842139080772
TRINITY_DN100105_c0_g1_i1	LOC100125055	Chr09	8579921	8579921	1.66739536439072	-0.466769125728122	0.208854484334231	0.999969500680547	2.08798809478431	1.55135997848445	1.63412637808594	2.24018002396279	1.50997722654463	1.47722910307288	1.68682903572116	1.27375307679762	1.35870446751735
TRINITY_DN100115_c0_g1_i1	cenpm	Chr04	105778900	105778900	4.70541982365932	-0.140915911593059	0.635331720545299	0.999969500680547	4.12671393451367	4.3564121712982	3.71642484228502	4.56104734385179	5.17655779485231	4.95688279545574	5.03303577771502	4.73189835134278	5.06556618161149
TRINITY_DN100194_c0_g1_i1	vax2	Chr01	8250217	8250217	2.9670835849713	0.112898536885421	0.720711600241256	0.999969500680547	2.84785554749178	3.18530515553743	2.20955806073763	2.85975216700268	3.05626232998957	3.29362583731597	2.84017640178523	3.10131421947782	3.03453111498618
TRINITY_DN100260_c0_g2_i1	ncbp2	Chr05	97976339	97976339	5.94931803178609	-0.0484249835352912	0.852869634522106	0.999969500680547	6.20479261527503	6.2426386254176	6.47587952169681	6.24195929414884	5.75670340103722	5.74471338400542	5.59534557533044	5.30021614007592	5.54760010971268
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	8.44612922676898	0.274607840750448	0.22060788464361	0.999969500680547	8.21630806528893	8.25137433780701	8.27522223659731	8.07922203206856	8.68095606347786	8.91578376897678	8.08346770238619	8.49700971741542	8.74999392710942
TRINITY_DN100358_c0_g1_i1	LOC100486229	Chr08	87767206	87767206	4.39680960027323	0.0746727148640224	0.744629413503114	0.999969500680547	4.620616343374	4.41715036333537	4.56637687079014	4.13117850415761	4.22200042067483	4.28853241920919	4.39210253662721	4.5463283523205	4.30396365141624
TRINITY_DN100376_c0_g1_i1	LOC100492536	Chr08	50375420	50375420	6.84954171368301	-0.893389248790152	0.0023011610819816	0.504577508080341	6.30361996080418	5.75701361314565	6.57742980842542	7.53270654193798	7.84427995691868	6.80787316335497	6.98339312656683	6.06318716962743	6.48470402737867
TRINITY_DN100418_c0_g1_i1	clec2d	Chr07	2179298	2179298	0.279056158449078	0.131386743351994	0.802663338848008	0.999969500680547	0.484281777861241	0.506914758896367	0.566797903414995	0.515924686947641	-1.46733480208326	0.254076468426479	0.535842095645484	-0.210324638759653	0.447465544891604
TRINITY_DN100638_c0_g2_i1	srp54	Chr08	89146521	89146521	7.732067437015	-0.0135785201426004	0.949663453179523	0.999969500680547	7.78390160535049	7.79724820742063	8.05578689801962	8.03250843434575	7.62631753799951	7.62446123856725	7.45287253178443	7.59435865239105	7.48822543013892
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	7.47917759788026	0.14027118420042	0.627081712532294	0.999969500680547	7.9260541562247	6.67803295773135	7.52150468273031	7.2949768343836	6.54000947674407	7.47911550301479	7.50810458829138	7.81202692124809	7.91345403705828
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	2.73004155276857	0.196198708922392	0.598216912369912	0.999969500680547	2.02196660488675	2.51074135348926	2.20955806073763	2.16063805855739	2.77110476383124	3.26581083707709	3.1845425160214	3.22245248938627	2.51523912716383
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	2.15772704486795	0.383748620798965	0.359329046017727	0.999969500680547	2.35257354820776	2.2108870782727	2.33085276008198	1.0450912302417	2.36051840768793	3.02157767466411	1.57442173929829	1.83614021713692	1.82386481899005
TRINITY_DN101150_c0_g2_i1	esrra	Chr04	39939444	39939444	4.66838537967209	0.569778611832511	0.0189218495863948	0.999969500680547	4.33817010508287	5.19584320449796	5.18871978093339	4.18242168874062	4.25243233176453	4.88556647459206	4.50373839592082	4.58298980520586	4.45477764442449
TRINITY_DN101193_c0_g1_i1	LOC100489217-like	Chr10	20091650	20091650	4.12786109140311	0.52047558893228	0.0855128006985631	0.999969500680547	4.23994740561809	3.80124165782971	4.42367914275764	3.50001929148865	3.1071047383207	4.18837371213734	4.1257736297689	4.12948194306161	4.89409156982864
