gid	A12FL1	base	logA12FL1	A12ML1	logA12ML1	A15ML1	logA15ML1	A17FL1	logA17FL1	A17ML1	logA17ML1	A2FL1	logA2FL1	A7FL1	logA7FL1	A8FL1	logA8FL1	A8ML1	logA8ML1	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	gid.1	PV.XYliver.XXliver	FDR.XYliver.XXliver	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN142998_c0_g1_i1	1.709264488	2	0.773375654	0	NA	0	NA	43.97521256	5.458618646	0	NA	23.22455904	4.5375793	21.70277073	4.439807334	8.498493291	3.087207087	0	NA	NA	NA	NA	NA	2.039182452	-9.818867834	TRINITY_DN142998_c0_g1_i1	1.16E-14	1.30E-11	0	-13.28771238	meanmale	19.82206002	4.309042277	meanfemale	FC7
TRINITY_DN27005_c0_g1_i1	1.068290305	2	0.095303749	0	NA	0	NA	24.98591623	4.643043217	0	NA	20.90210314	4.385576206	12.59535802	3.654820226	4.046901567	2.016817759	0	NA	pdcd10	Chr05	101611723	101611723	1.729644545	-9.499604859	TRINITY_DN27005_c0_g1_i1	3.79E-13	3.78E-10	0	-13.28771238	meanmale	12.71971385	3.669005653	meanfemale	FC7
TRINITY_DN126082_c1_g2_i1	10.41533127	2	3.380636821	0	NA	0	NA	0	NA	0	NA	5.704125343	2.512005684	9.304809416	3.217976601	0	NA	0	NA	NA	NA	NA	NA	1.67673586	-9.423775057	TRINITY_DN126082_c1_g2_i1	4.01E-07	0.000158231	0	-13.28771238	meanmale	5.084853206	2.346234498	meanfemale	FC7
TRINITY_DN109500_c0_g4_i1	0	2	NA	0	NA	0	NA	0	NA	0	NA	8.507522681	3.088739092	3.648857653	1.86744487	14.31325186	3.839279573	0	NA	slc5a7-like.2	Chr02	162489117	162489117	1.4497141	-9.194719499	TRINITY_DN109500_c0_g4_i1	7.19E-07	0.000242938	0	-13.28771238	meanmale	5.293926439	2.4043654	meanfemale	FC7
TRINITY_DN167774_c0_g1_i1	25.49886368	2	4.672361052	0.430693523	-1.215266467	0	NA	30.31078362	4.921759245	0.26151605	-1.935028603	510.5595685	8.995935484	63.31827835	5.984550123	68.38268509	6.095559167	0.628109659	-0.67091164	NA	NA	NA	NA	5.285413479	-8.676215324	TRINITY_DN167774_c0_g1_i1	2.10E-15	2.48E-12	0.330079808	-1.598676199	meanmale	139.6140358	7.125301211	meanfemale	FC7
TRINITY_DN113022_c0_g1_i1	3.286601995	2	1.716596758	0	NA	0	NA	0.703733321	-0.50689927	0	NA	4.132304751	2.046946655	0.312243655	-1.679255839	1.457651749	0.543646083	0	NA	hoxa13	Chr06	32871331	32871331	0.823679368	-8.547724529	TRINITY_DN113022_c0_g1_i1	6.46E-11	4.70E-08	0	-13.28771238	meanmale	1.978507094	0.984485155	meanfemale	FC7
TRINITY_DN130085_c0_g4_i1	267.495954	2	8.06337326	3.192674705	1.674765567	0.903216575	-0.146856134	434.7370313	8.763999181	2.417784842	1.273685865	1355.843335	10.40497477	611.064124	9.255179972	841.146315	9.716212965	2.354205174	1.23524006	NA	NA	NA	NA	9.593477483	-8.323594284	TRINITY_DN130085_c0_g4_i1	2.15E-31	1.36E-27	2.216970324	1.148654532	meanmale	702.0573519	9.455445286	meanfemale	FC7
TRINITY_DN107602_c0_g1_i1	322.8010168	2	8.334501313	6.230586145	2.639367892	0.606283544	-0.72193543	197.3591106	7.624679309	1.00885243	0.01271516	4817.893465	12.23418678	396.8476012	8.632441275	1390.774508	10.44167281	14.68982156	3.876744966	NA	NA	NA	NA	8.689009019	-8.024018128	TRINITY_DN107602_c0_g1_i1	2.17E-11	1.79E-08	5.63388592	2.494155958	meanmale	1425.13514	10.47688312	meanfemale	FC7
TRINITY_DN70872_c0_g1_i1	0	2	NA	0	NA	0	NA	0	NA	0	NA	1.071473449	0.099596101	1.673121092	0.742541864	0.839525435	-0.25235406	0	NA	NA	NA	NA	NA	0.256544032	-7.84226272	TRINITY_DN70872_c0_g1_i1	3.87E-06	0.001032589	0	-13.28771238	meanmale	0.716823995	-0.480107915	meanfemale	FC7
TRINITY_DN179282_c0_g1_i1	84.01090819	2	6.392504758	1.075081531	0.104446074	0.37050661	-1.432428814	168.2938849	7.394838946	1.160509984	0.214758934	158.8773671	7.31176981	266.3430755	8.057141963	184.6854533	7.528926427	0.653276883	-0.614233506	NA	NA	NA	NA	8.400357646	-7.728457958	TRINITY_DN179282_c0_g1_i1	4.27E-39	8.08E-35	0.814843752	-0.295227608	meanmale	172.4421378	7.42996938	meanfemale	FC7
TRINITY_DN130269_c0_g1_i1	0	2	NA	0	NA	0	NA	5.61895259	2.490301228	0	NA	0	NA	1.781477436	0.833074211	2.153995996	1.107015568	0	NA	prss12-like	Chr01	60992714	60992714	0.096418608	-7.71078323	TRINITY_DN130269_c0_g1_i1	6.34E-06	0.001537819	0	-13.28771238	meanmale	1.910885204	0.934316608	meanfemale	FC7
TRINITY_DN133632_c2_g7_i15	5.16577712	2	2.368985399	0.103791822	-3.26823532	0	NA	30.08674476	4.911056117	1.13439851	0.181927543	190.379452	7.572733964	29.25855018	4.870786378	20.56425537	4.362066928	0	NA	NA	NA	NA	NA	4.414698935	-7.657281107	TRINITY_DN133632_c2_g7_i15	4.04E-11	3.06E-08	0.309547583	-1.69130091	meanmale	55.09095589	5.783746209	meanfemale	FC7
