gid	gname	chr	start	end	logCPM	logFC.XY31.XX31	PV.XY31.XX31	FDR.XY31.XX31	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313	average	ward.D
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	152363125	152363125	4.19670998527848	-1.17681603686281	1.66208743850682e-06	0.00874673514514215	4.91244148541542	3.74819217596355	3.92346253459117	4.72900538090523	4.60470000694638	3.36090390636495	4.65879576395529	3.21468549341429	3.47521430935649	0	0
TRINITY_DN118329_c0_g1_i1	auh	Chr01	126397660	126397660	5.94432954296602	-1.19335019420916	9.04206336448064e-08	0.000951677169111587	6.26668039865621	5.23251847894449	4.64450791639252	6.40616067782715	6.6865071797773	5.55089409098284	6.54773301265129	5.33645540643559	5.53364222243544	0	0
TRINITY_DN127195_c11_g1_i1	cuedc2	Chr07	33949869	33949869	-0.00624276786999628	2.97552118401895	1.74495557475863e-05	0.026236653463335	-1.95553065126126	0.441583916086195	0.566797903414995	-0.32857285346527	-2.6193828439078	0.254076468426479	-2.6193828439078	0.779295112123428	0.598132417616478	0	0
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	3.69003528852719	-1.04202317131727	3.07018519083531e-05	0.0323136991335416	3.92474010799985	2.94717273648791	3.23146344058714	4.18242168874062	4.30419076910621	3.22305622741323	4.25902662710719	3.21468549341429	3.0991393115645	0	0
TRINITY_DN128124_c11_g2_i3	olfm4	Chr08	58013003	58013003	5.66441956208174	1.86154843353692	1.33835792541785e-05	0.0234770286083714	4.63724948317835	7.43188748167022	5.23218910015456	5.01564616320966	3.36559069665505	5.46482401176444	3.91883490837054	5.97513269952138	5.79388118759569	0	0
TRINITY_DN129262_c0_g1_i1	ccdc28b	Chr02	82466852	82466852	4.74997789497322	-1.16143062008285	2.21709585924233e-05	0.0274969295560583	4.9921903694046	4.02958685199804	3.40725406924241	4.98133336677878	5.87388695959772	4.49430281357524	5.05763636817365	4.30798858839594	4.15995927639901	0	0
TRINITY_DN129309_c0_g2_i1	Xetrov90002507m	Chr01	128823928	128823928	1.47129253157165	2.26751797910904	9.34173036048379e-06	0.0234770286083714	0.155261488938655	2.19114726380398	0.836328420924696	-0.881270219125675	-0.0613195447147822	1.6592944919498	0.273177022748177	2.06070835791671	2.74257963156967	0	0
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.3151272292984	-0.971584413530747	2.35128138721639e-05	0.0274969295560583	5.99496474314772	4.77633032759694	5.28192833946032	5.92743011671066	5.68321061914774	4.70574841940489	5.41941401331619	4.40673384607643	4.72424312941721	0	0
TRINITY_DN134864_c1_g1_i1	manba-like	Chr01	64203660	64203660	4.3815179784055	-1.40601437109056	4.07253116267225e-06	0.0142877968290418	4.91244148541542	4.12630883583526	3.87442142739861	4.9101579765577	4.77682743095476	3.29362583731597	5.31542096946378	3.73799987494719	2.3968676713325	0	0
TRINITY_DN93238_c0_g1_i1	LOC100496487	Chr10	35579404	35579404	0.952059845298465	2.09882777147785	1.118678717261e-05	0.0234770286083714	-0.447585546511492	1.20276098395475	1.53662485676373	-0.32857285346527	-0.835053537316521	1.42788156414563	-0.0481972499552152	1.46920883048761	1.72905830181932	0	0
