gid	gname	chr	logCPM	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN104464_c0_g1_i1	NA	NA	2.294920789	1.111192907	1.111192907	0.017221437	0.033383367	0.284610212	G23_mean	male	0.0939	0.1014	1.0793	gonad
TRINITY_DN105647_c0_g2_i1	vwa5a-like	scaffold_138	8.968091357	-11.35528165	11.35528165	5.46E-130	1.37E-126	0.856680274	Ovary_mean	female	0.5406	0.7804	1.4436	gonad
TRINITY_DN110867_c0_g1_i1	mov10l1	Chr03	2.787267622	1.443391236	1.443391236	0.002950449	0.006942234	0.383576276	G43_M_mean	male	0.236	0.2858	1.2107	gonad
TRINITY_DN112847_c0_g1_i1	NA	NA	2.14320278	3.451741312	3.451741312	1.05E-12	1.18E-11	0.382225495	G23_mean	male	0.0272	0.035	1.286	gonad
TRINITY_DN113202_c0_g1_i1	NA	NA	6.162347281	5.728338001	5.728338001	3.17E-41	2.68E-39	0.61545555	Testis_mean	male	0.0822	0.1172	1.4245	gonad
TRINITY_DN115622_c0_g2_i1	NA	NA	0.440024954	-4.74757064	4.74757064	3.24E-09	2.24E-08	0.70931927	Liver_mean	female	0.1117	0.2051	1.836	gonad
TRINITY_DN115794_c1_g1_i1	NA	NA	5.45435163	-2.267949213	2.267949213	7.97E-14	1.02E-12	0.381352489	Ovary_mean	female	0.0684	0.0804	1.1759	gonad
TRINITY_DN117920_c0_g1_i5	dync1i2	Chr09	5.458741935	-2.550995272	2.550995272	7.03E-16	1.14E-14	0.301599585	Ovary_mean	female	0.2086	0.2936	1.407	gonad
TRINITY_DN118885_c0_g1_i1	NA	NA	5.160086551	-1.372004463	1.372004463	0.001838709	0.00453893	0.380134593	Ovary_mean	female	0.0891	0.1273	1.4278	gonad
TRINITY_DN119647_c0_g2_i1	NA	NA	3.162926098	5.908137973	5.908137973	9.02E-27	3.71E-25	0.608567368	G27_mean	male	0.0684	0.1019	1.4906	gonad
TRINITY_DN120237_c0_g2_i1	NA	NA	0.943739066	-2.558378852	2.558378852	0.00000011	0.000000597	0.581115922	Liver_mean	female	0.2336	0.2762	1.182	gonad
TRINITY_DN121035_c0_g2_i1	NA	NA	2.768443231	5.66354602	5.66354602	5.27E-19	1.14E-17	0.523529811	Brain_mean	male	0.0282	0.053	1.8767	gonad
TRINITY_DN121738_c0_g2_i3	casp6	Chr01	7.577481534	-1.710504767	1.710504767	0.000000156	0.000000826	0.12925815	G27_mean	female	0.1183	0.185	1.5646	gonad
TRINITY_DN122892_c0_g1_i1	lrrc8d	Chr04	2.481641203	-2.949807955	2.949807955	1.81E-10	1.50E-09	0.612910687	Ovary_mean	female	0.1426	0.1904	1.3351	gonad
TRINITY_DN123800_c0_g1_i1	NA	NA	0.79713581	3.773772211	3.773772211	9.14E-09	5.84E-08	0.435215916	G23_mean	male	0.0787	0.1128	1.4339	gonad
TRINITY_DN124922_c6_g7_i1	NA	NA	5.517895126	-1.584291473	1.584291473	0.000000279	0.00000142	0.398897565	Ovary_mean	female	0.0395	0.0665	1.6812	gonad
TRINITY_DN126089_c1_g1_i2	LOC100489362	Chr07	7.09251657	1.679318994	1.679318994	1.41E-08	8.75E-08	0.750716773	Testis_mean	male	0.222	0.3588	1.6162	gonad
TRINITY_DN126754_c2_g1_i1	NA	NA	6.041880153	-1.565394455	1.565394455	0.000000228	0.00000118	0.536912661	Ovary_mean	female	0.0659	0.1034	1.5674	gonad
TRINITY_DN128775_c0_g1_i1	NA	NA	0.053154754	1.436150949	1.436150949	0.025551062	0.047044627	0.373580086	G23_mean	male	0.1471	0.1853	1.2596	gonad
TRINITY_DN129628_c2_g2_i2	NA	NA	4.030958121	-1.119360628	1.119360628	0.007219278	0.015466943	0.626076415	Ovary_mean	female	0.062	0.1011	1.6303	gonad
TRINITY_DN129698_c3_g1_i2	NA	NA	3.100031042	3.388577426	3.388577426	0.000910495	0.002403271	0.379958412	G43_M_mean	male	0.1524	0.2085	1.3686	gonad
TRINITY_DN129827_c5_g2_i1	nxf1	Chr04	4.174675679	1.292682411	1.292682411	0.006990464	0.015025235	0.298658793	G46_M_mean	male	0.0551	0.0818	1.4852	gonad
TRINITY_DN129860_c0_g3_i1	NA	NA	6.376587244	-6.267933842	6.267933842	2.06E-66	4.16E-64	0.511691596	Ovary_mean	female	0.0369	0.0728	1.9754	gonad
TRINITY_DN130699_c6_g2_i2	NA	NA	6.503174973	-1.321196333	1.321196333	0.003328169	0.007737376	0.314071644	Ovary_mean	female	0.09	0.1622	1.803	gonad
TRINITY_DN131896_c3_g1_i2	wasl	Chr03	3.40839393	1.815975371	1.815975371	0.000162461	0.000503104	0.364818675	Liver_mean	male	0.1078	0.1484	1.3764	gonad
TRINITY_DN132129_c0_g1_i2	NA	NA	6.950480689	3.505104029	3.505104029	2.50E-36	1.64E-34	0.349531226	Brain_mean	male	0.0669	0.0737	1.102	gonad
TRINITY_DN133911_c4_g9_i1	NA	NA	1.410643216	2.020720834	2.020720834	1.65E-05	6.16E-05	0.401976939	Brain_mean	male	0.1092	0.1716	1.5713	gonad
