gene	FDR	logFC
TRINITY_DN100022_c0_g1_i1	0.241694164026785	1.01673887015634
TRINITY_DN100034_c0_g1_i1	0.000161963255154815	-1.42227299173952
TRINITY_DN100099_c0_g1_i1	0.240387609024401	-0.89271968548871
TRINITY_DN100099_c0_g2_i1	0.284633063778913	-0.889495266564849
TRINITY_DN100115_c0_g1_i1	8.18253006132562e-07	-1.9891312004862
TRINITY_DN100132_c0_g1_i2	0.286584379079505	0.80134186578601
TRINITY_DN100230_c0_g1_i1	0.0877005559519722	1.4547628992844
TRINITY_DN100260_c0_g2_i1	7.0222594728919e-05	-1.34432495826648
TRINITY_DN100266_c0_g1_i1	0.76839033226325	0.297147934080917
TRINITY_DN100287_c0_g1_i1	0.963946284936853	0.120517216676982
TRINITY_DN100287_c0_g2_i1	0.326704235082542	0.525887817778901
TRINITY_DN100311_c0_g1_i1	0.379216001473321	0.735902577664743
TRINITY_DN100358_c0_g1_i1	0.371808602864632	0.487990464076437
TRINITY_DN100376_c0_g1_i1	0.0294115326731919	-1.37269336336241
TRINITY_DN100376_c0_g2_i1	0.159463898823215	0.908910013446909
TRINITY_DN100376_c0_g3_i1	0.521492896113834	0.613559073076739
TRINITY_DN100379_c0_g1_i1	0.788310834667618	0.24981921699555
TRINITY_DN100410_c0_g1_i1	0.558707473591246	0.481405232141247
TRINITY_DN100418_c0_g1_i1	0.373626957293761	1.06576249969032
TRINITY_DN100549_c0_g1_i1	0.341066707932899	0.718153693257433
TRINITY_DN100586_c0_g1_i1	0.125127101669144	2.22602059800238
TRINITY_DN100586_c0_g2_i1	0.604718000922095	-0.891216324495735
TRINITY_DN100595_c0_g1_i1	0.488574096317819	0.338585441871318
TRINITY_DN100638_c0_g2_i1	0.310097919376172	-0.496959268621635
TRINITY_DN100681_c0_g1_i1	0.330554168005387	0.431915529954712
TRINITY_DN100684_c0_g1_i1	0.464489737935806	-0.828342138759625
TRINITY_DN100684_c0_g3_i1	0.023638732415811	1.13384074693526
TRINITY_DN100706_c0_g3_i1	0.757610359268012	0.198845983100977
