gid	gname	chr	start	end	logCPM	logFC.M31.F31	PV.M31.F31	FDR.M31.F31
TRINITY_DN135864_c0_g11_i1	mbd2	Chr01	190347040	190347040	2.19816136857388	7.03868497120946	1.47221677625464e-23	3.98941302029483e-19
TRINITY_DN131077_c0_g9_i1	LOC100158581	Chr03	83721211	83721211	1.48038004736131	3.4851685011888	2.43974649352378e-05	0.0347959213060565
TRINITY_DN100586_c0_g2_i1	ppapdc3	Chr08	6269516	6269516	0.589547605742079	-9.2103638113077	7.05477331448293e-11	2.73100353251227e-07
TRINITY_DN127464_c0_g2_i1	ppp1r16b	Chr10	31910171	31910171	1.05908362649657	9.33865760374002	2.13761175034834e-18	1.93083344036465e-14
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.29617679290142	9.5867338032994	3.0360943510499e-20	4.11360423623751e-16
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.592867935941989	8.84361578966814	7.89871923436561e-16	5.35098734532098e-12
TRINITY_DN136216_c2_g2_i1	NA	NA	NA	NA	2.35571087755974	10.6756008203566	1.87896235988649e-05	0.0299506600165907
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	0.923902117136621	3.13996971545265	1.06120949849564e-06	0.0023963879158529
TRINITY_DN54546_c0_g2_i1	NA	NA	NA	NA	0.110049054151815	8.31615397742577	9.55720338902237e-06	0.016186318589733
TRINITY_DN123655_c6_g3_i1	NA	NA	NA	NA	0.53856642721282	6.25648997651388	8.20673990203734e-07	0.00202169307150371
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	0.491371924568741	8.73604694351323	3.00184506673874e-14	1.62687995236973e-10
TRINITY_DN133092_c2_g8_i1	NA	NA	NA	NA	0.539042810569677	-9.17027320210881	1.90391346772929e-07	0.000573247190539203
TRINITY_DN119122_c0_g3_i1	NA	NA	NA	NA	1.52678921767284	9.82818944365033	7.48401312680188e-07	0.00202169307150371
TRINITY_DN79823_c0_g1_i1	NA	NA	NA	NA	0.925803622282979	9.19481317099835	2.16881634144281e-08	7.34632315255214e-05
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	0.642788854215698	2.7203444924865	3.59386740682026e-05	0.0463745804714359
TRINITY_DN127864_c2_g3_i1	NA	NA	NA	NA	2.18862071288975	-4.48876361766938	3.36914745372706e-06	0.00608647718007306
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	1.79710591276444	-10.4544380891429	1.57125826622762e-12	7.09632608303934e-09
TRINITY_DN130830_c3_g7_i1	NA	NA	NA	NA	0.545021215980702	-7.81550697842363	2.87726289307064e-06	0.0055691478483163
