gid	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	meanXY	group1	meanXX	group2	cutoff
TRINITY_DN177856_c0_g1_i1	11.62170712	0	14.87967148	16.44853664	0	12.87889477	0	0	0	0	NA	NA	NA	NA	0.899283018	-8.577598596	2.86E-13	1.27E-09	-13.28771238	meanmale	3.481022726	meanfemale	FC7
TRINITY_DN60182_c0_g2_i1	11.90661695	0	3.046652823	0	0	4.304589973	0	8.700196433	0	0	NA	NA	NA	NA	0.662883113	-8.312579863	7.16E-12	2.38E-08	-13.28771238	meanmale	2.48328986	meanfemale	FC7
TRINITY_DN66610_c0_g1_i1	3.569309827	0.059176684	9.085902411	0	0	0	0	10.08987743	0	0	NA	NA	NA	NA	1.654281248	-7.987356467	8.80E-08	0.00010085	-6.388616912	meanmale	2.185586836	meanfemale	FC7
TRINITY_DN117838_c2_g1_i2	6.164221947	0	0.039608708	3.55533587	0.067688823	4.518996808	0	0.069324809	0	0	NA	NA	NA	NA	1.655427026	-7.060844113	5.86E-09	1.11E-05	-6.196249002	meanmale	1.520848458	meanfemale	FC7
TRINITY_DN135640_c2_g9_i1	0	0	0	0.923426618	0	28.32314024	0	0.881154804	0	0.204157448	NA	NA	NA	NA	2.243855282	-7.017566858	4.42E-05	0.010836289	-4.610645019	meanmale	2.591115519	meanfemale	FC7
TRINITY_DN127567_c6_g4_i1	6.132723249	0.502400552	14.71825717	3.018790254	0	0.066116251	0	11.87155836	0	0	NA	NA	NA	NA	1.813494471	-6.074706478	2.66E-08	4.16E-05	-3.313583053	meanmale	2.840279737	meanfemale	FC5
TRINITY_DN127374_c0_g3_i1	2.854750731	0.101941084	6.368698675	1.670554502	0	0	0	4.06195537	0.103321492	0	NA	NA	NA	NA	0.358063665	-5.909087637	1.18E-08	2.09E-05	-4.60287558	meanmale	1.580768679	meanfemale	FC5
TRINITY_DN134497_c1_g3_i1	1.296568056	0.178338845	4.390544131	1.022881663	0	0	0	4.544604408	0	0	NA	NA	NA	NA	1.0922818	-5.846667982	1.92E-07	0.000154883	-4.805196056	meanmale	1.170578652	meanfemale	FC5
TRINITY_DN125999_c6_g3_i1	1.756769681	0.222416911	4.317761814	1.619931639	0	0	0	4.740379206	0	0	NA	NA	NA	NA	0.545563651	-5.623992334	1.20E-07	0.000113656	-4.487350123	meanmale	1.314446225	meanfemale	FC5
TRINITY_DN126126_c1_g3_i1	9.006669658	0.836216318	19.59076335	3.540058887	0.063049713	0	0	18.98463123	0	0.100988431	NA	NA	NA	NA	2.010212102	-5.61408834	3.33E-07	0.000240662	-2.320840047	meanmale	3.353961864	meanfemale	FC5
TRINITY_DN83284_c0_g2_i1	2.168029701	0.211882957	4.711560388	1.504629333	0	0.16730364	0	4.025013396	0	0	NA	NA	NA	NA	0.095372808	-5.61363137	2.58E-09	5.28E-06	-4.55718819	meanmale	1.330792018	meanfemale	FC5
TRINITY_DN87722_c1_g1_i1	2.006244037	0.232834952	5.115825447	1.271857108	0.017555478	0.045961855	0	4.072420164	0	0	NA	NA	NA	NA	1.828988408	-5.577033389	3.28E-08	4.83E-05	-4.316798748	meanmale	1.323405652	meanfemale	FC5
TRINITY_DN26128_c0_g1_i1	3.365171806	0.290638525	7.001386024	2.024200425	0.021913798	0	0	6.665700981	0.073643532	0	NA	NA	NA	NA	2.108274507	-5.573955279	1.43E-07	0.000124774	-3.69265689	meanmale	1.930317938	meanfemale	FC5
TRINITY_DN98734_c0_g1_i1	2.20024219	0.319955921	6.332898308	1.317537609	0	0	0	5.656084949	0.024945271	0	NA	NA	NA	NA	2.369762064	-5.455594558	9.33E-06	0.003394651	-3.855583128	meanmale	1.632944081	meanfemale	FC5
TRINITY_DN106700_c0_g1_i1	1.314838015	0.203458297	3.576291698	0.889110089	0	0	0	3.770707494	0	0	mdh1	Chr05	28656970	28656970	1.000271752	-5.45027274	1.02E-06	0.000575715	-4.615581993	meanmale	0.933791261	meanfemale	FC5
TRINITY_DN211480_c0_g1_i1	6.357091173	0.694374747	14.5214659	2.655107466	0	0	0	9.490812238	0	0	NA	NA	NA	NA	0.711724884	-5.440150346	6.23E-07	0.000384648	-2.847103238	meanmale	2.723557547	meanfemale	FC5
TRINITY_DN134769_c2_g1_i4	28.96223838	2.906998414	63.1726812	15.87943115	0.278961727	0.573844425	0.225589917	57.73261831	0.267851159	0.31915753	NA	NA	NA	NA	4.346942931	-5.374439048	2.58E-09	5.28E-06	-0.32226762	meanmale	5.055901151	meanfemale	FC5
TRINITY_DN117634_c0_g2_i1	3.484210986	0.490134095	8.200143304	1.820597628	0	0	0	7.266952807	0	0	chrnb4	Chr03	80472595	80472595	2.383726128	-5.370660188	4.44E-05	0.010836289	-3.349208697	meanmale	2.05466824	meanfemale	FC5
