gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary
TRINITY_DN100108_c0_g1_i1	drap1	Chr04	37112616	37112616	3.679327976	-8.433457092	6.66E-09	4.35E-08
TRINITY_DN100323_c0_g3_i1	NA	NA	NA	NA	1.073325518	-6.197179162	3.41E-18	6.93E-17
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	1.64187384	-8.291045975	1.23E-09	9.10E-09
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.972641328	-3.344150855	8.00E-07	3.78E-06
TRINITY_DN100399_c0_g2_i1	ifnar1	Chr02	10560295	10560295	0.089802792	-1.840518003	0.002216698	0.005365166
TRINITY_DN100411_c0_g3_i1	NA	NA	NA	NA	0.729067309	-2.191126252	2.95E-05	0.000105357
TRINITY_DN100465_c0_g1_i1	NA	NA	NA	NA	0.128507463	-2.193780539	0.000687703	0.001862271
TRINITY_DN100550_c0_g2_i1	NA	NA	NA	NA	1.344732952	-2.097017066	2.41E-05	8.78E-05
TRINITY_DN100638_c0_g2_i1	LOC100495096	scaffold_261	12460	12460	7.462843195	-1.260719512	7.74E-08	4.30E-07
TRINITY_DN100806_c0_g1_i1	NA	NA	NA	NA	1.211897233	-2.974916478	1.03E-06	4.78E-06
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.870066314	-3.557492084	1.10E-09	8.22E-09
TRINITY_DN101035_c0_g3_i1	ptbp3	Chr01	95962064	95962064	2.857158672	-3.143141818	1.27E-09	9.34E-09
TRINITY_DN101042_c0_g2_i1	ca14	Chr08	111966709	111966709	4.55084606	-1.660433523	8.00E-07	3.78E-06
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	5.375597585	-2.882178859	8.59E-22	2.38E-20
TRINITY_DN101072_c0_g1_i1	NA	NA	NA	NA	0.096244385	-3.147953191	1.66E-06	7.40E-06
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	9.994668229	-5.891858286	8.47E-49	9.60E-47
TRINITY_DN101116_c0_g3_i1	grhl3	Chr02	55205102	55205102	0.487845663	-6.201670564	2.16E-14	2.96E-13
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	4.54879022	-2.091770351	3.34E-09	2.30E-08
TRINITY_DN101193_c0_g1_i1	stc2	Chr03	33855176	33855176	0.555171378	-2.089269272	0.000182183	0.000559418
TRINITY_DN101369_c0_g1_i1	sec31a	Chr01	91624136	91624136	1.059897754	-3.404158964	4.66E-07	2.29E-06
TRINITY_DN101369_c0_g2_i1	NA	NA	NA	NA	0.215214226	-3.13825836	1.71E-06	7.63E-06
TRINITY_DN101425_c0_g1_i1	NA	NA	NA	NA	1.504843006	-8.031032948	3.88E-22	1.10E-20
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	7.473385529	-1.975176504	6.55E-16	1.06E-14
TRINITY_DN101489_c0_g1_i1	s1pr2	Chr03	126673962	126673962	0.457453392	-8.314355298	1.15E-15	1.80E-14
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	7.082221794	-1.277621101	2.43E-08	1.46E-07
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	0.347866031	-5.063148526	1.90E-12	2.05E-11
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	6.168322421	-1.599087539	2.49E-08	1.50E-07
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	0.466254551	-4.182615205	2.35E-11	2.21E-10
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	6.332043442	-2.681386346	6.56E-16	1.06E-14
TRINITY_DN101876_c0_g1_i1	NA	NA	NA	NA	0.06004881	-3.227235344	2.25E-06	9.77E-06
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	6.093366936	-2.363597079	7.38E-18	1.45E-16
TRINITY_DN101903_c0_g2_i2	phka2-like	Chr02	40416520	40416520	5.550552853	-1.893340213	2.12E-10	1.73E-09
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	3.27241006	-3.938074498	2.64E-20	6.47E-19
TRINITY_DN102033_c1_g2_i1	NA	NA	NA	NA	0.267685155	-3.684249954	2.14E-07	1.11E-06
TRINITY_DN102065_c0_g1_i1	slc5a7-like.1	Chr02	105961371	105961371	7.802192174	-2.066848894	1.16E-17	2.24E-16
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	2.084602737	-2.369680404	4.65E-05	0.00016004
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	6.573296284	-1.989864092	7.06E-14	9.11E-13
TRINITY_DN102303_c0_g1_i1	cul3	Chr05	120359914	120359914	2.746385791	-8.711553043	1.64E-28	7.45E-27
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	7.128428978	-1.242321324	2.63E-06	1.13E-05
TRINITY_DN102370_c0_g1_i1	NA	NA	NA	NA	0.577788756	-1.53598382	0.02381621	0.04432385
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	0.572985272	-4.303721729	1.01E-10	8.66E-10
TRINITY_DN102559_c0_g2_i1	gpatch1	Chr04	20982131	20982131	4.158830565	-1.128646076	0.000673786	0.001828536
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	4.022279886	-4.485673367	3.11E-29	1.49E-27
TRINITY_DN102868_c0_g1_i4	NA	NA	NA	NA	1.62035649	-5.344742018	5.65E-17	1.03E-15
TRINITY_DN102894_c0_g1_i2	LOC101731441	Chr07	95541409	95541409	7.884053942	-15.8812175	5.43E-159	6.12E-155
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	6.174253121	-12.80195346	6.38E-116	8.00E-113
TRINITY_DN102894_c0_g3_i1	NA	NA	NA	NA	0.191920368	-8.028129419	6.75E-10	5.17E-09
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	0.628812707	-1.115637596	0.01981686	0.037746401
TRINITY_DN102931_c0_g1_i1	NA	NA	NA	NA	0.91832151	-2.275442085	4.26E-05	0.000147569
TRINITY_DN102931_c0_g2_i1	NA	NA	NA	NA	1.727600972	-1.17821788	0.014532845	0.028734529
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	1.107437198	-3.094400105	0.007662801	0.016324155
TRINITY_DN103100_c0_g1_i1	NA	NA	NA	NA	0.580450397	-4.464369502	4.44E-09	2.99E-08
TRINITY_DN103196_c0_g1_i2	NA	NA	NA	NA	5.973236167	-1.293342179	7.11E-05	0.000236446
TRINITY_DN103233_c0_g1_i1	elavl2	Chr01	109575141	109575141	0.291373391	-3.58428212	9.05E-08	4.98E-07
TRINITY_DN103260_c0_g1_i1	LOC101730718-like	scaffold_208	63567	63567	0.002878964	-3.384792089	6.69E-07	3.20E-06
TRINITY_DN103424_c0_g1_i1	NA	NA	NA	NA	0.110177551	-1.489824627	0.006606757	0.0143027
TRINITY_DN103526_c0_g1_i1	capn2.2	Chr05	5263143	5263143	3.751142807	-2.629955349	5.09E-10	3.95E-09
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	4.481458516	-1.788085911	7.25E-07	3.46E-06
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	6.525290965	-1.323307785	2.27E-06	9.87E-06
TRINITY_DN103565_c0_g2_i1	NA	NA	NA	NA	4.63167257	-7.923852783	1.11E-17	2.14E-16
TRINITY_DN103565_c0_g4_i1	NA	NA	NA	NA	4.301313851	-4.043861175	4.28E-24	1.47E-22
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	6.902929338	-1.60864216	1.55E-12	1.70E-11
TRINITY_DN103621_c0_g1_i2	smc3	scaffold_401	72807	72807	6.182421956	-1.717840771	5.15E-05	0.000175742
TRINITY_DN103622_c0_g3_i3	NA	NA	NA	NA	5.662647671	-2.907884227	1.37E-24	4.85E-23
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	3.983425967	-1.190286368	0.000918453	0.002421162
TRINITY_DN103637_c0_g2_i1	Xetrov90015728m	Chr06	20798284	20798284	6.202917956	-3.835895939	1.71E-22	5.04E-21
TRINITY_DN103653_c0_g1_i1	cbll1	Chr03	66684436	66684436	0.70331067	-4.404281168	6.21E-08	3.50E-07
TRINITY_DN103679_c0_g1_i1	NA	NA	NA	NA	2.915159034	-3.929324479	1.07E-08	6.77E-08
TRINITY_DN103704_c0_g1_i1	NA	NA	NA	NA	0.771537545	-1.662437395	0.004128901	0.009388027
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	5.505011957	-1.205059818	5.53E-05	0.000187747
TRINITY_DN103798_c0_g1_i1	NA	NA	NA	NA	8.852480322	-7.142695044	4.76E-43	4.37E-41
TRINITY_DN103834_c0_g11_i1	NA	NA	NA	NA	3.399249688	-1.117548203	0.010539734	0.0216298
TRINITY_DN103834_c0_g1_i1	NA	NA	NA	NA	0.859394098	-2.491322623	7.08E-05	0.000235574
TRINITY_DN103834_c0_g3_i1	NA	NA	NA	NA	2.637843479	-1.448810802	0.004322428	0.009773879
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	8.054092956	-6.480451356	7.75E-101	4.37E-98
TRINITY_DN103882_c0_g1_i1	NA	NA	NA	NA	5.190446581	-1.342072496	4.48E-05	0.000154646
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	6.346332299	-8.801574564	1.28E-39	1.01E-37
TRINITY_DN103897_c0_g3_i1	NA	NA	NA	NA	5.647537242	-7.099180438	2.00E-18	4.09E-17
TRINITY_DN103900_c0_g2_i1	NA	NA	NA	NA	1.286448428	-4.939653176	1.97E-10	1.61E-09
TRINITY_DN103905_c0_g1_i1	NA	NA	NA	NA	0.119415613	-2.134542545	6.90E-05	0.000230057
TRINITY_DN103912_c0_g1_i1	NA	NA	NA	NA	5.680232677	-1.962928756	6.98E-06	2.78E-05
TRINITY_DN104125_c0_g2_i1	NA	NA	NA	NA	0.725776817	-2.340325519	0.000592651	0.001628725
TRINITY_DN104136_c0_g1_i1	NA	NA	NA	NA	1.414885724	-3.459780344	1.06E-10	9.06E-10
TRINITY_DN104337_c0_g1_i1	tmem101	Chr10	13722937	13722937	5.405837517	-1.686876782	1.09E-07	5.90E-07
TRINITY_DN104354_c0_g1_i5	pdpk1	Chr09	22998583	22998583	3.877159383	-1.147166126	0.008742724	0.018330469
TRINITY_DN104356_c0_g1_i3	anapc1	Chr05	23768507	23768507	3.972702227	-1.368874674	0.001951105	0.00478185
