"gid"	"Am2_463"	"base"	"logAm2_463"	"Am2_464"	"logAm2_464"	"Am4_461"	"logAm4_461"	"Am6_462"	"logAm6_462"	"Am6_464"	"logAm6_464"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.XY46.XX46"	"PV.XY46.XX46"	"FDR.XY46.XX46"	"meanXY"	"group1"	"meanXX"	"group2"
"27"	"TRINITY_DN100684_c0_g3_i1"	141.5689785	2	7.145361357	56.33307394	5.815910292	159.322382	7.315805144	244.6485951	7.934567188	113.2461598	6.823318319	NA	NA	NA	NA	6.034701246	1.134274441	0.00415604438491916	0.0232882280396021	7.50657934648548	"meanmale"	6.40581740306941	"meanfemale"
"30"	"TRINITY_DN100754_c0_g1_i1"	38.76449552	2	5.276663985	18.31995733	4.195344238	40.47258449	5.338873074	33.16661194	5.051659739	13.03263169	3.704056533	"LOC100493463"	"Chr03"	35127454	35127454	3.743813316	1.288130644	0.000643052814337302	0.00462067998916354	5.22758696183839	"meanmale"	3.97052188006304	"meanfemale"
"77"	"TRINITY_DN101728_c0_g2_i1"	55.65944813	2	5.798554699	33.99175761	5.087113056	69.24620671	6.113663138	96.09474703	6.586385664	35.6713797	5.156695112	NA	NA	NA	NA	6.181812278	1.109236347	0.00174108867810682	0.0110659180864444	6.20294464049272	"meanmale"	5.12232768359232	"meanfemale"
"93"	"TRINITY_DN101945_c0_g2_i1"	1.328459146	2	0.409753861	0.25545978	-1.968831926	2.913626819	1.542816107	4.600603518	2.20182313	0.770499027	-0.37613496	NA	NA	NA	NA	0.55982804	2.487069815	0.000631817936153442	0.00455001311539912	1.55957167242494	"meanmale"	-0.962745982171938	"meanfemale"
"99"	"TRINITY_DN101983_c0_g1_i1"	0.709697338	2	-0.4947242	0.243702217	-2.036808719	1.035134134	0.049817726	1.672930264	0.742377308	0.441022037	-1.181077349	NA	NA	NA	NA	0.122683593	1.729019034	0.00828566526502171	0.0412645322234238	0.188215954050853	"meanmale"	-1.5459836461148	"meanfemale"
"170"	"TRINITY_DN102579_c0_g1_i1"	3.753704351	2	1.908315025	1.375862122	0.460335902	3.529000598	1.819259675	3.51075235	1.811780231	1.756136365	0.812404875	"ttpa"	"Chr06"	102990382	102990382	3.044359502	1.225781589	0.00175008544910845	0.0111102005853824	1.84716274750605	"meanmale"	0.647175638917974	"meanfemale"
"196"	"TRINITY_DN103086_c1_g1_i1"	1.945751726	2	0.960327637	0.249442526	-2.003220652	0.882930257	-0.179628612	1.74404539	0.802437588	0.526645159	-0.925096859	NA	NA	NA	NA	0.111933359	1.928638256	0.00383941460891661	0.0217930905236662	0.608187054061849	"meanmale"	-1.365336694011	"meanfemale"
"212"	"TRINITY_DN103284_c0_g1_i2"	2.897796079	2	1.534956074	1.5921138	0.67094346	3.678708467	1.879199349	3.288910611	1.717609798	0.240100836	-2.058287668	"rnf207"	"Chr07"	90525912	90525912	0.160523969	1.958950458	0.00641270644447482	0.033320689881593	1.7174611337108	"meanmale"	-0.126254008783084	"meanfemale"
"256"	"TRINITY_DN103698_c0_g1_i1"	0.97984922	2	-0.029368332	0.166255461	-2.588526365	1.193306985	0.254965232	1.849305114	0.886983272	0.300868507	-1.732794992	"spaca5-like.2"	"Chr10"	10577050	10577050	1.000782566	2.508684921	4.06924341325659e-05	0.000385897338289097	0.423223640893824	"meanmale"	-2.09750506318861	"meanfemale"
"313"	"TRINITY_DN104018_c1_g1_i1"	2.506664982	2	1.325769192	1.090297307	0.124721589	5.094862783	2.349043292	5.835874228	2.544948791	2.267316742	1.180985948	NA	NA	NA	NA	2.798062133	1.440912013	0.00323992022152937	0.0189131039783525	2.16325203535084	"meanmale"	0.747522338073146	"meanfemale"
"315"	"TRINITY_DN104073_c1_g1_i1"	6.525429487	2	2.706072859	0.941119333	-0.087550428	8.14293129	3.025548229	6.580092255	2.718107811	3.21700635	1.685718784	NA	NA	NA	NA	1.557060948	1.76219502	0.00137843486031563	0.00898341882705306	2.82434377436548	"meanmale"	1.05600275551437	"meanfemale"
"352"	"TRINITY_DN104546_c0_g1_i1"	10.0057978	2	3.322764298	3.430553358	1.778441306	7.611269566	2.928137117	13.41489831	3.745764213	5.84829479	2.548016034	NA	NA	NA	NA	2.678769285	1.178560411	0.00751818740903584	0.0381412675713131	3.37073462652117	"meanmale"	2.21397682015982	"meanfemale"
"392"	"TRINITY_DN105039_c0_g1_i1"	12.82102036	2	3.680439178	7.575077243	2.9212606	15.95831789	3.996236685	20.78254417	4.377300373	8.820440742	3.140850747	"nphp1"	"Chr05"	50712580	50712580	5.248607505	1.040594215	0.00169779044107186	0.0108325892532037	4.04620531064367	"meanmale"	3.03524717507021	"meanfemale"
"416"	"TRINITY_DN105307_c0_g1_i1"	85.57964161	2	6.419195732	33.44564454	5.063746443	106.2771483	6.731687612	161.0699502	7.331543554	76.34501548	6.254462062	NA	NA	NA	NA	5.830405609	1.133882547	0.00627976015678285	0.0327732785248631	6.87826365795877	"meanmale"	5.7786141461882	"meanfemale"
"482"	"TRINITY_DN105833_c0_g2_i1"	2.577776046	2	1.36612693	0	NA	5.848630211	2.548098775	2.75690734	1.463050779	0	NA	NA	NA	NA	NA	0.224419153	8.403004378	1.27944832944301e-10	2.89833976245578e-09	1.89835201455924	"meanmale"	-13.2877123795494	"meanfemale"
