gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23
TRINITY_DN127464_c0_g2_i1	slc35g2	Chr05	128370751	128370751	0.477693891906585	9.03560950106331	3.18426094578098e-19	9.50422285791977e-16
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.68948681664258	11.3141259827093	1.92804515391057e-50	4.60378621850765e-46
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.41510034554587	4.06954452527374	1.326757803136e-05	0.0166738541175166
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.677978074698673	9.2535326587064	1.07422464702664e-22	6.41258403042551e-19
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.111484681282568	5.87534306998344	1.04934629439088e-05	0.014738994598509
TRINITY_DN44748_c0_g1_i1	LOC100485703	Chr03	12772077	12772077	0.231404464643656	-8.73293211130571	4.34321906836414e-08	8.64228207619992e-05
TRINITY_DN119122_c0_g3_i1	pgam1	Chr07	24615072	24615072	1.72416307857169	-6.53423226483966	1.1372229529837e-05	0.0150858942618582
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.09054020868523	-9.67313979009729	7.72309331689461e-21	3.07353370368016e-17
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.36577234495634	3.68071506352103	4.04448187653123e-06	0.00689815273198662
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.507587627264928	3.2785857410883	2.26250950470395e-05	0.0270121009766605
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.13371086302993	9.73905909289115	9.42263208383601e-21	3.21419441282623e-17
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.51917082335068	4.45492636338113	4.48158863414156e-18	1.18901526006702e-14
TRINITY_DN127055_c1_g5_i1	eif3b	Chr09	25242861	25242861	2.35789178665168	10.9769985088194	2.31659298823068e-38	2.76578036864861e-34
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.0875212567258	7.82898159517211	8.47045208488412e-23	6.41258403042551e-19
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.621642358452853	9.19052449182546	1.38900465741641e-21	6.63333064195781e-18
