gid	cutoff	bias	log2RPKM	sex	gname	chr	chr_all	start	end	target_id	length	eff_length
TRINITY_DN103783_c0_g1_i1	FC1	female	5.064424305	meanfemale	fam175a	Chr01	Chr01	123992821	123992821	TRINITY_DN103783_c0_g1_i1	1877	1660.83
TRINITY_DN104751_c0_g1_i2	FC1	female	5.600274745	meanfemale	use1	Chr01	Chr01	99717791	99717791	TRINITY_DN104751_c0_g1_i2	1694	1477.83
TRINITY_DN105030_c0_g1_i1	FC1	female	0.04292792	meanfemale	tacr3	Chr01	Chr01	63787145	63787145	TRINITY_DN105030_c0_g1_i1	1921	1704.83
TRINITY_DN106065_c0_g1_i2	FC1	female	5.619301474	meanfemale	slc30a5	Chr01	Chr01	173689269	173689269	TRINITY_DN106065_c0_g1_i2	3432	3215.83
TRINITY_DN107530_c1_g1_i1	FC1	female	7.202349521	meanfemale	lmnb1	Chr01	Chr01	159727673	159727673	TRINITY_DN107530_c1_g1_i1	2768	2551.83
TRINITY_DN107852_c0_g1_i2	FC1	female	5.817251453	meanfemale	kcmf1	Chr01	Chr01	75613371	75613371	TRINITY_DN107852_c0_g1_i2	2426	2209.83
TRINITY_DN107990_c0_g1_i1	FC1	female	5.284675819	meanfemale	tmem161a	Chr01	Chr01	102084590	102084590	TRINITY_DN107990_c0_g1_i1	2158	1941.83
TRINITY_DN108541_c0_g1_i1	FC1	female	5.776710703	meanfemale	isca1	Chr01	Chr01	122707595	122707595	TRINITY_DN108541_c0_g1_i1	2308	2091.83
TRINITY_DN108688_c0_g1_i1	FC1	female	3.871569065	meanfemale	snx24	Chr01	Chr01	160897943	160897943	TRINITY_DN108688_c0_g1_i1	1242	1025.83
TRINITY_DN108932_c0_g1_i1	FC1	female	6.31811429	meanfemale	ell2	Chr01	Chr01	172702126	172702126	TRINITY_DN108932_c0_g1_i1	3697	3480.83
TRINITY_DN109275_c0_g1_i1	FC1	female	6.836037177	meanfemale	wdr36	Chr01	Chr01	135270707	135270707	TRINITY_DN109275_c0_g1_i1	3276	3059.83
TRINITY_DN109459_c0_g1_i1	FC1	female	4.888137496	meanfemale	LOC100486041-like	Chr01	Chr01	65671663	65671663	TRINITY_DN109459_c0_g1_i1	2423	2206.83
