gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver
TRINITY_DN113022_c0_g1_i1	hoxa13	Chr06	32871331	32871331	0.823679368050964	-8.54772452913205	6.4610422717576e-11	4.70289326896202e-08
TRINITY_DN119520_c3_g2_i4	NA	NA	NA	NA	4.07901064220875	-6.1636605028583	9.72667406360714e-07	0.000311995435006381
TRINITY_DN136702_c5_g3_i1	NA	NA	NA	NA	1.60094927841442	-3.69226798824011	0.000311143379464099	0.0318291267911247
TRINITY_DN126472_c1_g2_i1	NA	NA	NA	NA	0.0705247799888859	-5.85790365362571	5.55337808710867e-08	2.62744200746329e-05
TRINITY_DN96058_c0_g1_i3	NA	NA	NA	NA	1.79295334200708	-3.00301083523998	3.18408982451701e-07	0.000128210425380818
TRINITY_DN128592_c11_g1_i1	NA	NA	NA	NA	6.52908396150833	-5.35886425913626	2.68014724548987e-27	1.2680446655224e-23
TRINITY_DN131507_c1_g1_i1	NA	NA	NA	NA	1.2821011410325	8.29211105764566	9.97870254589458e-12	8.58395207641159e-09
TRINITY_DN120299_c0_g3_i2	NA	NA	NA	NA	0.598334028649297	-6.44030186296479	3.56783600830744e-09	2.11004051428807e-06
TRINITY_DN124267_c8_g1_i2	NA	NA	NA	NA	3.52027571781908	-4.0386518357485	1.93502266475751e-05	0.00381461499276416
TRINITY_DN37225_c0_g2_i1	NA	NA	NA	NA	10.3502856511393	-6.72921264824009	2.770181888777e-25	8.79509221556035e-22
TRINITY_DN129651_c0_g4_i5	NA	NA	NA	NA	0.801230014573062	-3.61530227066464	2.09480862952478e-05	0.00408703642409861
TRINITY_DN123704_c2_g4_i2	NA	NA	NA	NA	2.06592762186783	4.38959762734106	1.02285983648945e-08	5.53074925873225e-06
TRINITY_DN120435_c1_g1_i1	NA	NA	NA	NA	0.105618002958811	-3.07620275469581	8.87123855435858e-05	0.0119920135458026
TRINITY_DN107602_c0_g1_i1	NA	NA	NA	NA	8.68900901938702	-8.0240181281239	2.17228510984407e-11	1.78741285668692e-08
