gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary
TRINITY_DN126270_c1_g1_i1	avp	Chr01	6322131	6322131	1.65710216892997	-2.36446980074228	2.98501827395178e-07	1.51296365446758e-06
TRINITY_DN131082_c0_g3_i1	tmem129	Chr01	13302596	13302596	1.04521241803056	2.3301255881864	3.85763197712105e-06	1.60568592996035e-05
TRINITY_DN131269_c13_g15_i1	qdpr	Chr01	16477747	16477747	2.00790138760235	1.89949459686627	0.000886712337161718	0.00234406261147977
TRINITY_DN122933_c2_g3_i2	fgfbp2	Chr01	16906025	16906025	6.24859369195552	3.10965827725185	8.87581292988104e-15	1.26094672353978e-13
TRINITY_DN126848_c4_g2_i1	kiaa0232-like	Chr01	20451126	20451126	4.16066537973117	-1.67791443393576	3.91485405805536e-07	1.94278723162624e-06
TRINITY_DN128039_c0_g1_i2	tbc1d1-like	Chr01	25964030	25964030	1.55892038618937	2.01255295951796	5.03589619356192e-05	0.000172188266333369
TRINITY_DN122212_c0_g1_i2	paics.1	Chr01	31652922	31652922	5.29715104366204	-1.4450763284587	4.10959308408168e-06	1.70239478473894e-05
TRINITY_DN131083_c3_g5_i5	dlc1	Chr01	31801414	31801414	3.49803152981398	1.55968571054457	2.28993018901582e-05	8.35259904029053e-05
TRINITY_DN128742_c10_g1_i1	gucy1a3-like	Chr01	44695371	44695371	4.28767068455204	-1.88094344873527	6.48597276671166e-05	0.000217484461380819
TRINITY_DN134232_c2_g1_i2	jade1	Chr01	54589520	54589520	0.0530016461327615	1.54830035787212	0.0107353581234258	0.0219772848697356
TRINITY_DN135141_c0_g3_i1	manba-like	Chr01	64203660	64203660	4.4172085387816	1.40192975406247	0.00196003366992805	0.00480112482014948
TRINITY_DN127407_c0_g1_i4	LOC100487453-like	Chr01	65072502	65072502	1.79352389670424	-1.23978838975104	0.019412738356381	0.0370705415032973
TRINITY_DN110958_c0_g2_i1	LOC100486041-like	Chr01	65671663	65671663	0.358038320019839	8.2214229237938	2.74917087886403e-15	4.13776752823673e-14
TRINITY_DN133766_c0_g1_i3	c19orf10	Chr01	74713978	74713978	2.44333943388807	1.434203113832	0.00222502074254127	0.00538473159748242
TRINITY_DN134704_c1_g4_i2	LOC100487964	Chr01	80157397	80157397	2.62167940892456	2.77882243113569	2.07129591444704e-08	1.258881951284e-07
TRINITY_DN130304_c0_g2_i2	LOC100495756-like	Chr01	83427263	83427263	0.812782864648736	2.64313380689854	5.96387201897108e-05	0.000201173673367206
TRINITY_DN119243_c0_g1_i3	theg-like	Chr01	86248597	86248597	6.83669872901181	-2.64803742342617	3.35302151540773e-18	6.8086557504589e-17
TRINITY_DN106366_c0_g5_i1	nkx6-1	Chr01	92538054	92538054	6.41143866774901	-5.06976401889898	2.29349425975619e-50	2.81202339674455e-48
TRINITY_DN129802_c0_g3_i1	cds1	Chr01	92574911	92574911	1.36761458385244	4.4539146584351	2.71149614798261e-05	9.76554168238949e-05
TRINITY_DN122754_c2_g2_i4	cdkn2b	Chr01	108984313	108984313	1.60771099201272	-1.26489280980705	0.0100946685516062	0.0208186966381055
TRINITY_DN131253_c3_g2_i6	rorb	Chr01	119060204	119060204	3.80067301438206	2.81993033825717	1.19855902376969e-10	1.01614023210237e-09
TRINITY_DN132956_c5_g1_i3	foxb2	Chr01	119952909	119952909	7.81549340186478	-1.52357162441745	8.74398378352948e-08	4.81837504045982e-07
TRINITY_DN127481_c0_g2_i1	oxa1l	Chr01	128276275	128276275	2.91901125972637	-5.84289825080959	4.50277822665523e-18	9.09424143181216e-17
TRINITY_DN133220_c5_g4_i2	pole-like	Chr01	131735774	131735774	2.57090165439548	1.5107828124784	0.00157603383020829	0.00395190877064567
TRINITY_DN129065_c4_g8_i1	nf2	Chr01	132339470	132339470	3.11209875715605	2.54829136239545	1.28076422832924e-08	8.03505033123126e-08
TRINITY_DN131217_c3_g4_i1	tbx5	Chr01	133487176	133487176	3.4931959163127	1.23467441424631	0.000911640563034825	0.00240601440127113
TRINITY_DN133089_c1_g2_i1	rab35	Chr01	142942379	142942379	1.03127187882012	2.18031037680893	0.00150389544070775	0.00378574884427214
TRINITY_DN119032_c0_g1_i2	bcr	Chr01	143946646	143946646	5.81005438343142	-1.35368472515142	5.5927466222482e-08	3.17255126472013e-07
TRINITY_DN127187_c0_g3_i1	klhl22	Chr01	144357725	144357725	3.4318476219577	4.49076644786418	2.06036760609373e-19	4.63428645996755e-18
TRINITY_DN46401_c0_g1_i1	Xetrov90002939m	Chr01	144645843	144645843	1.05399576476056	-1.50314645807904	0.00363955284828037	0.0083929584235107
TRINITY_DN120556_c0_g1_i2	LOC100492311-like	Chr01	145104510	145104510	6.2754676817183	-1.20949952589558	7.18605147806802e-05	0.000238758941598254
TRINITY_DN132040_c1_g2_i1	AK6	Chr01	167473348	167473348	2.16974211119869	3.87740242348452	2.74209126287505e-07	1.39831778685491e-06
TRINITY_DN123781_c4_g1_i1	fgf10	Chr01	181617251	181617251	4.3559683451558	2.69221281368158	1.37375317552118e-06	6.22952193763975e-06
TRINITY_DN129294_c9_g2_i1	pdzd2	Chr01	187673939	187673939	0.904401723130848	2.67263099248336	0.00756459147191617	0.0161423745371196
TRINITY_DN107303_c0_g1_i1	lman1	Chr01	188111030	188111030	2.23848552142033	1.46804462010028	0.000713072851014592	0.00192450335194272
TRINITY_DN95269_c0_g2_i1	ccdc68	Chr01	189998238	189998238	6.92173810596111	1.38120239601717	9.48618830691466e-06	3.69043642359018e-05
TRINITY_DN118376_c0_g1_i1	dscam	Chr02	6877719	6877719	1.32863756823717	1.40844172350076	0.0255537804331516	0.0470453147194303
TRINITY_DN117473_c0_g2_i1	ets2	Chr02	7880019	7880019	3.47218208602077	1.05888809775949	0.0251244264598163	0.0463835565411993
TRINITY_DN127761_c0_g1_i1	olig1	Chr02	10780756	10780756	2.04283622426009	2.25153188515678	2.82782661119005e-05	0.000101520955360356
TRINITY_DN130106_c0_g1_i4	chmp2b	Chr02	18650651	18650651	4.23647942269575	2.73091273047754	7.23662231806565e-08	4.04004453094682e-07
TRINITY_DN136207_c10_g1_i1	mpo	Chr02	38551658	38551658	1.14757700147909	-1.07937101153392	0.0161179285982844	0.0315177662457567
TRINITY_DN112067_c0_g1_i2	lin28a	Chr02	51671638	51671638	-0.0195307071337593	-2.18286071302383	0.000893228134218005	0.00236073415041684
TRINITY_DN133657_c2_g6_i2	ptafr	Chr02	53507426	53507426	6.87014121618936	3.16208577440843	4.20101309967011e-23	1.29650965155346e-21
TRINITY_DN127691_c3_g2_i2	sike1	Chr02	66934574	66934574	6.03568369507811	-1.0073797676943	0.000237121530081098	0.000710514240753032
TRINITY_DN130180_c1_g4_i1	ampd1	Chr02	67073270	67073270	0.890824406443255	4.40333193823158	6.22115226638228e-08	3.50697639004458e-07
TRINITY_DN96721_c0_g1_i1	ddx3x	Chr02	69939262	69939262	1.45799230327825	1.90525511995073	0.0185971643450782	0.0357308829522197
TRINITY_DN129596_c3_g3_i3	Xetrov90005511m	Chr02	87562677	87562677	4.99789635918313	-1.13575830162431	0.00167859187603774	0.00418442350534933
TRINITY_DN131468_c1_g2_i1	p2rx1	Chr02	97830639	97830639	2.36732881623267	1.12673397483206	0.00968531477989732	0.0200588177209661
TRINITY_DN126047_c5_g6_i1	c1qbp-like	Chr02	101496790	101496790	2.04330504105683	-1.43614093577468	0.00121805421781939	0.00313041872671458
TRINITY_DN117282_c0_g1_i1	tgfbrap1-like	Chr02	108131346	108131346	1.63557546997028	1.31494399308845	0.00705404032474339	0.0151517804176151
TRINITY_DN125152_c0_g1_i3	tubgcp5	Chr02	111290796	111290796	4.42900084457004	-3.73149016104724	1.31626913435538e-19	3.02393397872274e-18
TRINITY_DN112226_c0_g2_i2	mettl7a-like.2	Chr02	140004079	140004079	2.94055166993691	-6.84650797679798	3.62391201788874e-24	1.25008341167538e-22
TRINITY_DN124267_c8_g1_i2	LOC100490819	Chr02	141316625	141316625	1.92024772193527	-2.01758484117922	0.00810350440581953	0.0171544580459124
TRINITY_DN116636_c0_g2_i1	tespa1	Chr02	141351166	141351166	1.92347215022709	1.65748206608139	0.000122885267990229	0.000390518614714689
TRINITY_DN134492_c0_g1_i3	znf385a	Chr02	142160932	142160932	0.250351661756063	1.27968700527325	0.00906834275115933	0.0189329271273795
TRINITY_DN130385_c1_g1_i2	LOC100490994	Chr02	145155702	145155702	5.7972514855149	1.96850055278957	4.67174528401337e-11	4.20401171150146e-10
TRINITY_DN167104_c0_g1_i1	asic1-like.2	Chr02	145882854	145882854	0.792147425471139	-1.52628250012081	0.000784763940999914	0.00209691750668697
TRINITY_DN100586_c0_g1_i1	mogat1-like.1	Chr02	169580384	169580384	0.0394840777481785	3.93011232113194	4.53911022030332e-06	1.8703621291332e-05
TRINITY_DN141154_c0_g1_i1	Xetrov90007040m	Chr03	311168	311168	2.98757771046127	-1.69195446918411	0.0197267654872468	0.0376001883569017
TRINITY_DN127209_c2_g4_i3	LOC100493636-like	Chr03	9703397	9703397	4.97804824341488	-1.01699435597581	0.000959301440545968	0.00251854305815397
TRINITY_DN136097_c2_g1_i2	uhrf1bp1l	Chr03	11820351	11820351	5.33108286117234	4.69357356443966	5.56071039861972e-24	1.88362802691983e-22
TRINITY_DN125832_c2_g1_i3	polr3b	Chr03	12206598	12206598	0.45009739760966	1.38795748172002	0.025970051250929	0.0476910342874202
TRINITY_DN130446_c1_g1_i6	LOC100487469	Chr03	12515401	12515401	4.83405458159876	5.71781559104509	1.88752143933947e-46	1.94440564710039e-44
TRINITY_DN129538_c1_g1_i3	prmt8	Chr03	13801562	13801562	5.35526534139428	2.24948174288783	2.10100213020737e-11	1.99237528614873e-10
TRINITY_DN115718_c0_g2_i4	neurog1	Chr03	16393119	16393119	6.96976237973956	-1.86735451867582	3.94799361776235e-12	4.08563009251003e-11
TRINITY_DN135751_c6_g7_i1	tlx3	Chr03	22640473	22640473	6.51468607903069	-2.64059958324092	2.16191929048674e-23	6.86942242160294e-22
TRINITY_DN120309_c0_g1_i2	lars	Chr03	30353727	30353727	3.90003914843522	-1.43084474797748	0.000330884524397469	0.000961209743807225
TRINITY_DN101193_c0_g1_i1	stc2	Chr03	33855176	33855176	0.555171377702929	-2.08926927220524	0.00018218284802616	0.000559418136854522
TRINITY_DN117247_c0_g1_i1	emx1	Chr03	38196711	38196711	6.48683845226723	3.15132134676653	6.35674843203454e-13	7.35426895521535e-12
TRINITY_DN88001_c0_g3_i1	alx1	Chr03	44294726	44294726	3.02327509297092	2.95609986175883	0.00170512180046831	0.00424258826718486
TRINITY_DN119997_c1_g2_i8	eea1	Chr03	46483153	46483153	4.38581249027067	-1.08318967684992	0.00307149292230142	0.00719626963621559
TRINITY_DN125974_c13_g1_i1	wif1	Chr03	48342839	48342839	1.94790987458401	2.32872320872869	2.16288152331292e-06	9.43802846536545e-06
TRINITY_DN123796_c0_g1_i1	caps2-like	Chr03	51586031	51586031	6.00599404514549	-2.69143085266246	1.9383025404151e-20	4.81587062904896e-19
TRINITY_DN124155_c0_g1_i1	ankrd7	Chr03	59171581	59171581	4.91867892415044	-4.65424772285648	1.2923168658289e-21	3.50838369351383e-20
TRINITY_DN129877_c1_g1_i2	pus7	Chr03	67530666	67530666	6.01783137877528	-1.51578776830089	1.73787830650143e-08	1.06597429566809e-07
TRINITY_DN118152_c0_g1_i1	LOC100488336	Chr03	77015387	77015387	1.05972017038102	7.61799892095432	2.35185954511882e-20	5.81138568870544e-19
TRINITY_DN131810_c3_g8_i1	chrnb4	Chr03	80472595	80472595	0.611957085164609	-5.71511969864658	1.02977599471644e-08	6.53862832558483e-08
TRINITY_DN89944_c0_g1_i1	herc1-like	Chr03	81676183	81676183	-0.0897871065277138	-2.41991811733832	0.00124387213701583	0.00318774910951688
TRINITY_DN131690_c0_g1_i2	LOC100494761	Chr03	85691741	85691741	5.23759589142422	-6.40431583709523	7.05217176177382e-53	9.35864676150691e-51
TRINITY_DN130851_c1_g5_i1	foxb1	Chr03	86582836	86582836	0.130284095436942	1.7004192865716	0.0211178242106303	0.039904356662352
TRINITY_DN132184_c0_g2_i1	pigb	Chr03	90802306	90802306	0.812986239863015	-2.9777089123557	1.26646004766588e-05	4.82542453560924e-05
TRINITY_DN136221_c4_g1_i1	abhd17c	Chr03	98907568	98907568	6.39341487948272	-1.21512493429296	1.96853756093122e-06	8.66540631699673e-06
TRINITY_DN133878_c1_g2_i1	synm	Chr03	105100692	105100692	1.99896734072234	-3.13516315472743	0.000945785691462674	0.00248711099188692
TRINITY_DN118819_c0_g1_i1	nfu1	Chr03	111667417	111667417	8.78578550885716	3.45659588512684	3.7222206621276e-12	3.86261720964115e-11
TRINITY_DN128376_c3_g6_i2	mxd1	Chr03	111953768	111953768	0.812601541289462	-3.03751245959847	3.57523853009725e-06	1.4989292183422e-05
TRINITY_DN136394_c9_g1_i1	mthfd2	Chr03	112964722	112964722	6.73836551767709	2.0405111705405	8.51666786527277e-09	5.46928628068755e-08
TRINITY_DN126066_c2_g1_i1	ctdspl2	Chr03	115925040	115925040	0.550777139559177	-4.32284833730907	4.82292988771277e-08	2.76999231840122e-07
TRINITY_DN122615_c0_g2_i1	vwa9	Chr03	117485743	117485743	1.27872442351894	-2.90101045176023	0.00488423908981742	0.0108967992351939
TRINITY_DN124874_c1_g1_i1	mak16	Chr03	118694219	118694219	2.11094304356784	3.06912710488715	0.00034350792238032	0.000993148626028452
TRINITY_DN130487_c8_g1_i1	lphn1-like	Chr03	123924922	123924922	4.75767070541565	-2.17578230260481	9.31505030456905e-10	7.0025836344911e-09
TRINITY_DN111523_c0_g1_i1	tecr	Chr03	124418269	124418269	0.292963654156545	1.5509531908762	0.00806539206450751	0.0170833954535057
TRINITY_DN101489_c0_g1_i1	s1pr2	Chr03	126673962	126673962	0.45745339172096	-8.31435529784466	1.15032833739636e-15	1.80218106192096e-14
TRINITY_DN113089_c0_g1_i1	dennd1c	Chr03	130164332	130164332	0.144590352861721	5.43250770440182	2.55964006906504e-11	2.38913859983894e-10
TRINITY_DN130553_c2_g5_i1	Xetrov90010199m	Chr04	4316979	4316979	5.20704830422659	-1.69250084991349	3.84537315301816e-06	1.60117420325009e-05
TRINITY_DN108668_c0_g1_i1	slc35c1	Chr04	5695930	5695930	2.45978047514618	-3.86410452723135	1.63482947649783e-12	1.78950766568612e-11
TRINITY_DN133490_c0_g3_i3	tfip11	Chr04	7081158	7081158	4.18642161046974	-1.28006644027006	0.00920052856165703	0.0191798118971523
TRINITY_DN4063_c0_g1_i1	far1	Chr04	8115536	8115536	0.860012855716875	2.46329180900993	9.62899306916766e-07	4.49938035709243e-06
TRINITY_DN138660_c0_g1_i1	mrpl23	Chr04	12675521	12675521	1.16353913030225	-5.85183940288845	2.48515589724974e-10	2.01455684663867e-09
TRINITY_DN134054_c8_g8_i3	fen1	Chr04	14025339	14025339	4.4360148081896	-2.46992507339518	7.79122008993876e-07	3.69342141687368e-06
TRINITY_DN134911_c5_g1_i2	LOC101731749	Chr04	23281296	23281296	1.84650323230661	2.42806378255	1.62463418792644e-05	6.07118556892835e-05
TRINITY_DN132963_c0_g5_i1	LOC100490462	Chr04	28323026	28323026	0.292386889991797	1.46520022118535	0.00840390898488231	0.017707311730545
TRINITY_DN87377_c0_g1_i1	actn3	Chr04	36839395	36839395	4.53237267838484	-1.54649459845083	5.63183559761875e-06	2.28022632954557e-05
TRINITY_DN130282_c1_g2_i1	rnaseh2c	Chr04	37683520	37683520	2.06420734707515	2.97230486306268	3.80381858929382e-09	2.59022479246811e-08
TRINITY_DN135599_c4_g1_i1	ctsw	Chr04	37966969	37966969	3.13961299732021	-3.017927085153	1.96341824936626e-05	7.24480139118465e-05
