gid	gname	chr	start	end	logCPM	logFC.FB.MB	logFC.FL.ML	logFC.FO.MT	PV.FB.MB	PV.FL.ML	PV.FO.MT	FDR.FB.MB	FDR.FL.ML	FDR.FO.MT
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	2.83490494173726	0.000115590631653523	0.583704282746902	4.92369240868922	0.999693123700437	0.427385516662696	4.48248759339911e-43	1	0.755506394599858	6.00006610449767e-41
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	6.11455794694074	0.136832566967555	-4.35691046887477	-3.16308197073814	0.736222895787387	3.86879100706618e-06	1.96722037990508e-16	1	0.000588078090650371	2.96018256830795e-15
TRINITY_DN133310_c0_g2_i1	gfra4	Chr01	7416468	7416468	3.4224575118684	-0.51279961380382	2.54204925449126	0.113243837922053	0.502122045755451	0.00192965501895067	0.881673310000496	1	0.0483967455757224	0.91215796821778
TRINITY_DN93335_c0_g2_i1	LOC100495180	Chr01	10131517	10131517	5.50927393022059	0.608273087839712	0.492613655445467	-2.3451910620083	0.230757226919935	0.287775355287094	2.05639940136812e-06	1	0.650201203728523	8.65166941263633e-06
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	0.541734952493462	0	0	-7.1189093239928	1	1	2.3670586294403e-16	1	1	3.52243984652053e-15
TRINITY_DN122521_c1_g1_i1	rnf103	Chr01	11428540	11428540	0.833786452213253	-0.643916563272414	-0.0607309945146763	-2.90590470124988	0.23978178455303	0.924737400614709	3.1942519702108e-08	1	1	1.78820951432629e-07
TRINITY_DN121040_c0_g3_i2	tnip2	Chr01	11849553	11849553	1.68448373474006	-0.396167264074068	-0.173639043079314	-4.34967914933312	0.375623709151707	0.849121755283454	8.67390504155513e-17	1	0.976517239833354	1.35681055315721e-15
TRINITY_DN136232_c2_g1_i2	tmem129	Chr01	13302596	13302596	3.75174987508975	-0.175372718957884	-0.291841073255478	2.3662981624394	0.560378068727636	0.378031630147763	2.03405257223541e-12	1	0.718642055332831	1.95241471480534e-11
TRINITY_DN121419_c0_g1_i2	LOC100489853	Chr01	14502547	14502547	4.39026470674653	0.301385739719608	0.102595960470088	-2.43879650349186	0.319606809662127	0.753991716730573	1.49867765625474e-15	1	0.941134174838138	2.04472222827251e-14
TRINITY_DN128639_c1_g5_i1	fgfrl1	Chr01	14724047	14724047	1.43801505938773	0.0182621303619277	-0.376128408446422	-2.00529947520457	0.974838089614038	0.545090400868123	0.000447079538099276	1	0.83278412934613	0.00116771915081653
