"gid"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.M46.SR46"	"PV.M46.SR46"	"FDR.M46.SR46"	"Am2_463"	"Am4_461"	"Am5_461"	"Am6_462"	"ratio"
"12"	"TRINITY_DN100287_c0_g1_i1"	"pnpla8"	"Chr03"	55965721	55965721	3.69208610354625	-0.48932651952578	0.638192874971646	0.999996699921271	4.64180097806738	3.29229849587113	4.04485961666985	-0.635483053005403	0.790802369320928
"16"	"TRINITY_DN100358_c0_g1_i1"	"rbm11"	"Chr02"	22361782	22361782	3.93641700444194	-0.164412166497351	0.693255592013891	0.999996699921271	4.15460555425017	3.8023342880512	4.05641550395927	3.68682619415817	0.977302416995671
"19"	"TRINITY_DN100376_c0_g2_i1"	"LOC100497498-like"	"Chr04"	38769618	38769618	3.32338747418307	0.953328155972664	0.0371865533964416	0.999996699921271	3.35330169052687	3.64475622120793	2.56547936300064	3.51220221722307	1.15064435326131
"21"	"TRINITY_DN100379_c0_g1_i1"	"tpd52l1"	"Chr05"	48505695	48505695	1.57086737788059	-1.28115542871918	0.0273085786319202	0.999996699921271	1.52540317751276	0.466547540713249	2.38478069788776	1.24812945194444	0.784177422124078
"25"	"TRINITY_DN100586_c0_g1_i1"	"raly"	"Chr10"	32925794	32925794	3.01713517877416	0.760110682383323	0.188667275891473	0.999996699921271	2.80420903969342	3.81321587639472	2.4209896497405	2.57324794555278	1.10565593833569
"26"	"TRINITY_DN100586_c0_g2_i1"	"sar1b"	"Chr03"	17209373	17209373	2.62623675537882	-0.813303149726316	0.530080968641352	0.999996699921271	3.02977202601853	-3.6607127223962	3.18669297740641	2.89133743901014	0.644649739886296
"34"	"TRINITY_DN100754_c0_g1_i1"	"hsdl2"	"Chr01"	96084504	96084504	4.23167650140156	-0.303198352489137	0.448777751490992	0.999996699921271	4.20414144937478	4.26284543480789	4.45161927347715	3.96586664606923	0.962115115166697
"38"	"TRINITY_DN100846_c0_g1_i2"	"ccz1b"	"Chr09"	19791836	19791836	4.07632628718845	2.19925614200995	0.000169595580728511	0.0342856614330832	3.85303301797448	5.01009797226768	2.20955532497733	4.01372155773615	1.35479280347581
"43"	"TRINITY_DN100986_c0_g2_i2"	"tmem255a"	"Chr08"	24789861	24789861	0.0629758634762261	1.0600117982309	0.224317475880557	0.999996699921271	-0.276431074925473	0.851443373617277	-0.713070749311221	-0.140458652708464	1.29105365321593
"52"	"TRINITY_DN101150_c0_g1_i1"	"dcbld1"	"Chr05"	69878317	69878317	3.65353129886947	1.01128477637496	0.0513879182471069	0.999996699921271	4.37824225183741	3.49961620424882	2.84408871505165	3.48820478089734	1.14521565949293
"57"	"TRINITY_DN101244_c0_g1_i1"	"micu3-like"	"Chr01"	32910226	32910226	1.15952282306888	-0.0318471065226827	0.957924782567864	0.999996699921271	1.09228275740418	1.17761196688218	1.18220787443845	1.17785501616617	0.993194610505112
