gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	stage	sexbias	tissue
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.090540209	-9.67313979	7.72E-21	3.07E-17	G23	female	larva
TRINITY_DN44748_c0_g1_i1	LOC100485703	Chr03	12772077	12772077	0.231404465	-8.732932111	4.34E-08	8.64E-05	G23	female	larva
TRINITY_DN119122_c0_g3_i1	pgam1	Chr07	24615072	24615072	1.724163079	-6.534232265	1.14E-05	0.015085894	G23	female	larva
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.584226794	-1.097520052	7.99E-06	0.011917518	G23	female	larva
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.385760103	2.41357018	3.19E-08	6.93E-05	G23	male	larva
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	4.516851438	2.449258295	2.00E-07	0.000368039	G23	male	larva
TRINITY_DN126986_c0_g1_i1	NA	NA	NA	NA	2.026286271	2.784696051	4.08E-09	9.74E-06	G23	male	larva
TRINITY_DN180929_c0_g1_i1	NA	NA	NA	NA	0.183389218	2.940168519	4.35E-06	0.006928188	G23	male	larva
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.507587627	3.278585741	2.26E-05	0.027012101	G23	male	larva
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.365772345	3.680715064	4.04E-06	0.006898153	G23	male	larva
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.415100346	4.069544525	1.33E-05	0.016673854	G23	male	larva
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.519170823	4.454926363	4.48E-18	1.19E-14	G23	male	larva
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.111484681	5.87534307	1.05E-05	0.014738995	G23	male	larva
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.087521257	7.828981595	8.47E-23	6.41E-19	G23	male	larva
TRINITY_DN127464_c0_g2_i1	slc35g2	Chr05	128370751	128370751	0.477693892	9.035609501	3.18E-19	9.50E-16	G23	male	larva
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.621642358	9.190524492	1.39E-21	6.63E-18	G23	male	larva
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.677978075	9.253532659	1.07E-22	6.41E-19	G23	male	larva
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.133710863	9.739059093	9.42E-21	3.21E-17	G23	male	larva
TRINITY_DN127055_c1_g5_i1	eif3b	Chr09	25242861	25242861	2.357891787	10.97699851	2.32E-38	2.77E-34	G23	male	larva
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.689486817	11.31412598	1.93E-50	4.60E-46	G23	male	larva
TRINITY_DN133769_c11_g8_i1	NA	NA	NA	NA	5.99010944	-14.69636031	5.30E-08	0.000215267	G27	female	larva
TRINITY_DN135249_c0_g1_i1	NA	NA	NA	NA	3.766231112	-12.46771086	9.40E-10	1.04E-05	G27	female	larva
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	2.392589405	-11.07899817	2.80E-09	1.37E-05	G27	female	larva
TRINITY_DN129842_c2_g12_i1	NA	NA	NA	NA	0.586571544	-9.2243235	5.85E-16	1.42E-11	G27	female	larva
TRINITY_DN129504_c3_g3_i1	rcc1	Chr02	52871484	52871484	1.979549911	-8.785804526	1.28E-09	1.04E-05	G27	female	larva
TRINITY_DN128445_c0_g1_i1	ptdss1	Chr06	114987607	114987607	1.007676115	-5.790634169	1.32E-06	0.00357808	G27	female	larva
TRINITY_DN119076_c0_g1_i1	NA	NA	NA	NA	0.741192068	-5.440605749	1.10E-06	0.00357808	G27	female	larva
TRINITY_DN115817_c2_g3_i1	NA	NA	NA	NA	3.382996331	-5.123753947	4.43E-06	0.010799683	G27	female	larva
TRINITY_DN169273_c0_g1_i1	NA	NA	NA	NA	0.554295253	-3.909847463	1.27E-06	0.00357808	G27	female	larva
TRINITY_DN122692_c0_g1_i5	NA	NA	NA	NA	1.55768264	2.939391736	1.09E-05	0.024190272	G27	male	larva
TRINITY_DN50226_c0_g1_i1	NA	NA	NA	NA	1.951356661	10.63017146	1.72E-09	1.05E-05	G27	male	larva
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	1.875273244	-10.62540849	2.03E-14	8.02E-11	G31	female	larva
TRINITY_DN100586_c0_g2_i1	oxa1l	Chr01	128276275	128276275	0.56291549	-9.303809237	3.95E-12	1.34E-08	G31	female	larva
TRINITY_DN133320_c3_g1_i1	NA	NA	NA	NA	0.013838902	-3.930341856	1.26E-05	0.01303298	G31	female	larva
TRINITY_DN127464_c0_g12_i1	ephx1	Chr05	4579485	4579485	0.930148462	-2.237850718	1.10E-05	0.011899068	G31	female	larva
TRINITY_DN124321_c3_g2_i1	NA	NA	NA	NA	1.908577667	-1.619459011	4.43E-06	0.005539786	G31	female	larva
TRINITY_DN100376_c0_g1_i1	mrpl54	Chr01	74389900	74389900	4.803597693	-1.422130079	1.95E-05	0.01717803	G31	female	larva
TRINITY_DN134864_c1_g1_i1	NA	NA	NA	NA	3.510653819	-1.384858036	2.11E-05	0.017898575	G31	female	larva
TRINITY_DN123125_c6_g5_i7	NA	NA	NA	NA	8.929647124	-1.230487193	1.94E-05	0.01717803	G31	female	larva
TRINITY_DN118329_c0_g1_i1	dpepe	Chr09	50885200	50885200	5.080236807	-1.182699898	2.42E-06	0.003381476	G31	female	larva
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	3.320442393	-1.156310247	6.03E-06	0.007161709	G31	female	larva
TRINITY_DN136267_c1_g13_i1	NA	NA	NA	NA	8.169267236	-1.077269856	6.45E-07	0.001021207	G31	female	larva
