gid	gname	chr	start	end	logCPM	logFC.XY27.XX27	PV.XY27.XX27	FDR.XY27.XX27	stage	sexbias
TRINITY_DN133769_c11_g8_i1	NA	NA	NA	NA	5.99010944	-14.69636031	5.30E-08	0.000215267	G27	female
TRINITY_DN135249_c0_g1_i1	NA	NA	NA	NA	3.766231112	-12.46771086	9.40E-10	1.04E-05	G27	female
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	2.392589405	-11.07899817	2.80E-09	1.37E-05	G27	female
TRINITY_DN129842_c2_g12_i1	NA	NA	NA	NA	0.586571544	-9.2243235	5.85E-16	1.42E-11	G27	female
TRINITY_DN129504_c3_g3_i1	rcc1	Chr02	52871484	52871484	1.979549911	-8.785804526	1.28E-09	1.04E-05	G27	female
TRINITY_DN128445_c0_g1_i1	ptdss1	Chr06	114987607	114987607	1.007676115	-5.790634169	1.32E-06	0.00357808	G27	female
TRINITY_DN119076_c0_g1_i1	NA	NA	NA	NA	0.741192068	-5.440605749	1.10E-06	0.00357808	G27	female
TRINITY_DN115817_c2_g3_i1	NA	NA	NA	NA	3.382996331	-5.123753947	4.43E-06	0.010799683	G27	female
TRINITY_DN169273_c0_g1_i1	NA	NA	NA	NA	0.554295253	-3.909847463	1.27E-06	0.00357808	G27	female
TRINITY_DN122692_c0_g1_i5	NA	NA	NA	NA	1.55768264	2.939391736	1.09E-05	0.024190272	G27	male
TRINITY_DN50226_c0_g1_i1	NA	NA	NA	NA	1.951356661	10.63017146	1.72E-09	1.05E-05	G27	male
