gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB
TRINITY_DN123842_c0_g1_i1	NA	NA	NA	NA	1.7466692282126	-4.96335197521479	1.26355461006046e-05	0.00411113796313623
TRINITY_DN94499_c2_g1_i1	NA	NA	NA	NA	2.21873602026411	-5.1215172652533	0.000204509742174899	0.0353434799058929
TRINITY_DN107317_c0_g1_i1	NA	NA	NA	NA	0.641895885687983	-4.60399462216555	1.74280192175525e-05	0.00524726444277729
TRINITY_DN93495_c0_g1_i1	NA	NA	NA	NA	3.74964688703547	3.95026286143479	2.67169505134672e-05	0.00723419710379754
TRINITY_DN115180_c0_g1_i1	NA	NA	NA	NA	0.240408753055391	-4.72726857039065	2.25270305941328e-06	0.00110835737721987
TRINITY_DN55516_c0_g1_i1	NA	NA	NA	NA	0.743887275671116	-4.66021125401201	8.29515358565291e-06	0.00298810688761756
TRINITY_DN100205_c0_g1_i1	NA	NA	NA	NA	0.90774348800235	-4.62402716288911	1.23970890745725e-05	0.00406634600580186
TRINITY_DN7634_c0_g2_i1	NA	NA	NA	NA	1.07189730715238	-5.62141880983812	3.38048509757523e-09	6.49455577436536e-06
TRINITY_DN12821_c0_g2_i1	NA	NA	NA	NA	0.158446520496753	-5.36057206158726	2.41615720654564e-08	3.02383081017865e-05
TRINITY_DN19183_c0_g2_i1	NA	NA	NA	NA	0.977528240603515	-5.28728372435118	7.89377352692744e-07	0.000461556946295489
TRINITY_DN101381_c0_g1_i1	NA	NA	NA	NA	0.387111546087174	-4.68979014173933	5.41570172392112e-06	0.00214212241227056
TRINITY_DN7261_c0_g1_i1	NA	NA	NA	NA	0.706000862761948	-4.76035392519508	3.90070572100063e-06	0.00162241208570897
TRINITY_DN14919_c0_g1_i1	NA	NA	NA	NA	0.934992852006859	-4.85601168619222	1.21442087638833e-06	0.000662105544025503
TRINITY_DN88090_c0_g6_i1	NA	NA	NA	NA	1.20380831810097	-4.83466807531741	1.24303221737288e-07	9.83335976664877e-05
TRINITY_DN82306_c0_g1_i1	NA	NA	NA	NA	3.18085436029347	4.09505363784994	2.64145308158951e-05	0.00720063679572493
TRINITY_DN114554_c0_g1_i1	NA	NA	NA	NA	1.72582310666903	-4.70778301095922	3.10513806728781e-05	0.00812684684576195
TRINITY_DN51023_c0_g1_i1	NA	NA	NA	NA	1.15113864280909	-4.59462233050679	1.99655726592972e-05	0.0057536502067096
TRINITY_DN100466_c0_g1_i1	NA	NA	NA	NA	0.867546387153969	-4.71486126368804	7.32650615140092e-06	0.00275435142031173
TRINITY_DN101327_c0_g1_i1	NA	NA	NA	NA	0.887271937788256	-4.60000434823723	9.21529679355955e-07	0.000523649505825578
TRINITY_DN29420_c0_g1_i1	NA	NA	NA	NA	1.34564801015993	-4.53648478302844	3.61272178342163e-05	0.00883365214255429
TRINITY_DN77847_c0_g1_i1	NA	NA	NA	NA	3.26314089269343	5.34309295936457	1.98970490197151e-45	8.02746442700404e-41
TRINITY_DN87795_c11_g1_i1	NA	NA	NA	NA	0.715997304834768	3.1310906497783	7.36952436875921e-15	4.24747800939415e-11
TRINITY_DN8470_c0_g1_i1	NA	NA	NA	NA	0.948535457346441	-4.67235645665631	1.95573132689496e-05	0.00568023710706933
TRINITY_DN116338_c0_g1_i1	NA	NA	NA	NA	1.53812985146449	-4.73643583370982	2.6164555366205e-05	0.00720063679572493
TRINITY_DN24572_c0_g1_i1	NA	NA	NA	NA	1.48405355098075	-4.81373743072747	0.000164804213068862	0.0305523670568587
TRINITY_DN88090_c0_g8_i1	NA	NA	NA	NA	1.34024542624402	-4.65644551350084	2.82384595009581e-05	0.00749526742477733
TRINITY_DN120386_c0_g1_i1	NA	NA	NA	NA	0.466170157360303	-5.68477498619052	1.40320464770181e-07	0.000108869791368326
TRINITY_DN94549_c0_g1_i1	NA	NA	NA	NA	2.13944730481995	-3.8566633548684	4.97157651841498e-08	5.0144563658863e-05
TRINITY_DN94805_c0_g1_i1	NA	NA	NA	NA	1.22251837613053	-5.00232597423048	8.75303414763993e-06	0.00309772949725029
TRINITY_DN95940_c0_g1_i1	NA	NA	NA	NA	0.329617795263227	-3.18103201292485	4.19741352371999e-07	0.00027761417805653
TRINITY_DN29347_c0_g1_i1	NA	NA	NA	NA	1.21754546104865	-4.73332971400093	1.14223603433506e-05	0.00387256410128134
TRINITY_DN96684_c0_g1_i1	NA	NA	NA	NA	0.368989869608411	-4.5536603717976	7.92223589897858e-06	0.00287948294904767
TRINITY_DN93984_c2_g1_i1	NA	NA	NA	NA	3.88606244816595	3.33706392488729	5.95289544715187e-07	0.000381221534627527
TRINITY_DN93984_c2_g2_i4	NA	NA	NA	NA	3.74418277329222	3.74991622497506	2.91561879290941e-06	0.00130700711333256
TRINITY_DN111566_c0_g1_i1	NA	NA	NA	NA	0.980691360252813	-4.62188354070671	3.27666674412083e-05	0.00837419242737483
TRINITY_DN3894_c0_g1_i1	NA	NA	NA	NA	1.00479413344194	-4.64914212357233	9.07448947932505e-06	0.00318356763515973
TRINITY_DN105690_c0_g1_i1	NA	NA	NA	NA	0.537084432929474	-3.12571645395842	7.54190020992108e-07	0.000448297482897918
TRINITY_DN105934_c0_g1_i1	NA	NA	NA	NA	0.602638099647501	-4.88684732817134	3.96784125655606e-07	0.000271326365247041
TRINITY_DN63956_c0_g1_i1	NA	NA	NA	NA	2.3754929663573	-5.05604285561675	6.38676451893379e-06	0.00245403823348937
