gid	gname	chr	start	end	target_id	length	eff_length
TRINITY_DN100115_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN100115_c0_g2_i1	457	244.194
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	TRINITY_DN100287_c0_g2_i1	4180	3963.83
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100300_c0_g1_i1	874	657.958
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100586_c0_g1_i1	354	149.608
TRINITY_DN100830_c0_g1_i2	LOC101733955	Chr03	85276942	85276942	TRINITY_DN100830_c0_g1_i2	688	472.142
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	TRINITY_DN100835_c0_g1_i1	3168	2951.83
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100998_c0_g1_i1	1279	1062.83
TRINITY_DN101232_c0_g1_i1	scn3b	Chr07	54900494	54900494	TRINITY_DN101232_c0_g1_i1	2048	1831.83
TRINITY_DN101247_c0_g3_i1	chst7	Chr02	111324143	111324143	TRINITY_DN101247_c0_g3_i1	1619	1402.83
TRINITY_DN101361_c0_g1_i2	cyp46a1-like.1	Chr08	65160881	65160881	TRINITY_DN101361_c0_g1_i2	1767	1550.83
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN101477_c0_g1_i2	2567	2350.83
TRINITY_DN101728_c0_g2_i1	lrrc20	Chr07	32617150	32617150	TRINITY_DN101728_c0_g2_i1	1244	1027.83
TRINITY_DN101809_c0_g1_i2	LOC101732244	Chr05	59159234	59159234	TRINITY_DN101809_c0_g1_i2	2067	1850.83
TRINITY_DN101895_c0_g1_i1	LOC100498557	scaffold_2562	2638	2638	TRINITY_DN101895_c0_g1_i1	990	773.86
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101897_c0_g1_i1	1028	811.835
TRINITY_DN101907_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN101907_c0_g2_i1	572	356.612
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN101935_c0_g2_i1	340	137.618
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102000_c0_g1_i1	546	330.968
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN102067_c0_g2_i1	1306	1089.83
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102104_c0_g1_i1	1201	984.835
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102192_c0_g1_i1	548	332.946
TRINITY_DN102252_c0_g2_i1	ccdc39	Chr05	95583263	95583263	TRINITY_DN102252_c0_g2_i1	3094	2877.83
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102300_c0_g1_i1	719	503.11
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN102429_c0_g1_i2	413	202.797
TRINITY_DN102500_c0_g1_i1	ror2	Chr01	126678883	126678883	TRINITY_DN102500_c0_g1_i1	4697	4480.83
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN102865_c0_g1_i2	1079	862.835
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103145_c0_g1_i1	1189	972.835
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103214_c0_g1_i1	461	248.079
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103267_c0_g1_i1	553	337.856
TRINITY_DN103284_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN103284_c0_g1_i2	439	227.001
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103501_c0_g1_i1	877	660.958
TRINITY_DN103537_c0_g2_i1	oxsm	Chr06	76469303	76469303	TRINITY_DN103537_c0_g2_i1	1951	1734.83
TRINITY_DN103544_c0_g1_i2	parp16-like	Chr03	117692116	117692116	TRINITY_DN103544_c0_g1_i2	1206	989.835
TRINITY_DN103615_c0_g1_i1	gstt1-like.1	Chr01	144513755	144513755	TRINITY_DN103615_c0_g1_i1	1055	838.835
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN103706_c0_g3_i1	2370	2153.83
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN103744_c0_g1_i2	1551	1334.83
TRINITY_DN103769_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103769_c0_g1_i1	1610	1393.83
TRINITY_DN103795_c0_g1_i3	NA	NA	NA	NA	TRINITY_DN103795_c0_g1_i3	647	431.246
TRINITY_DN103802_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103802_c0_g1_i1	599	383.501
