gid	gname	chr	start	end	logCPM	logFC.M46.F46	logFC.M46.SR46	logFC.SR46.F46	PV.M46.F46	PV.M46.SR46	PV.SR46.F46	FDR.M46.F46	FDR.M46.SR46	FDR.SR46.F46
TRINITY_DN115726_c0_g4_i1	fastkd5	Chr01	6365286	6365286	1.86991985606606	-0.0577757959226364	-2.48340851464845	2.42563271872582	0.927325523720921	0.000508979153894239	0.00242287978192578	0.962984610276218	0.0905448999714373	0.023145189174769
TRINITY_DN129942_c2_g2_i2	LOC100486685	Chr01	7605581	7605581	1.12793698783666	-2.83515289106577	0.152490565645537	-2.98764345671131	5.85319844153019e-08	0.830986019820254	0.000167141195581317	9.56937758059681e-07	1	0.00262322397102622
TRINITY_DN13815_c0_g2_i1	cdc25b	Chr01	9356036	9356036	0.96098817037243	-2.16670230415555	-1.00748631728529	-1.15921598687026	0.00134232929879362	0.222200560767443	0.216638012218887	0.00899092022959739	1	0.500368112659911
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.689197627329745	-3.27037088197879	-0.412049831485946	-2.85832105049284	3.11726283142168e-05	0.679703703563195	0.0145926962530325	0.00031257409999423	1	0.0908617708932968
TRINITY_DN125304_c0_g1_i1	c1qtnf7	Chr01	17071229	17071229	3.62056205955128	-2.53912124350527	-0.160343696244817	-2.37877754726046	3.99275905301807e-12	0.73091449413596	1.45028330784131e-05	1.11494838144596e-10	1	0.000322180364246259
TRINITY_DN128607_c0_g2_i1	tbc1d14-like	Chr01	20379605	20379605	3.04689939441563	2.01243483413089	1.48666062397205	0.525774210158846	8.43342673547452e-05	0.0226180925894833	0.405356991789481	0.000768953199726653	1	0.679127799929703
TRINITY_DN122453_c4_g2_i1	kcnip4-like	Chr01	22625130	22625130	4.39493332452234	-2.83386586234701	-0.206533186866787	-2.62733267548022	1.31232734092806e-17	0.621037937439158	1.63019418735178e-07	6.15946406381345e-16	1	5.97557780000604e-06
TRINITY_DN115118_c0_g1_i1	klb	Chr01	26974623	26974623	1.18647625962187	-2.41220351345407	1.36095724590908	-3.77316075936316	6.04681630736125e-05	0.125474600188446	0.000156286999151981	0.000572478451964878	1	0.00248641961940415
TRINITY_DN96624_c0_g3_i2	rhoh	Chr01	27214303	27214303	4.90729618270094	-2.39928847359596	-0.0399206195722943	-2.35936785402367	8.83667001907468e-14	0.922409641313083	1.17801105067314e-06	2.93851043941491e-12	1	3.50086718669089e-05
TRINITY_DN122900_c0_g1_i1	kit	Chr01	30989876	30989876	3.72450934544727	0.421504635358576	3.70219037672919	-3.28068574137061	0.451759708818176	4.18451128089587e-05	0.00026624817418478	0.642848204003988	0.0123778816831058	0.00388142538858833
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.68635731495029	-3.59958964287927	-0.134890164146685	-3.46469947873259	8.96851275040496e-21	0.77756287274892	7.37881893876397e-09	5.25691234694819e-19	1	3.6590599411933e-07
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	0.968133489422093	-3.18140498138556	0.80859165146519	-3.98999663285075	4.51503268937631e-07	0.373522517598116	0.000105871427667303	6.43822402382533e-06	1	0.00177215217768575
TRINITY_DN124116_c0_g2_i1	fam198b	Chr01	43970167	43970167	2.58812895757539	-1.19634779287591	2.00841524546625	-3.20476303834216	0.0508070762725795	0.0271907422717424	0.0013120180809037	0.167831373680539	1	0.0143000976692842
TRINITY_DN57850_c0_g1_i1	map9-like	Chr01	44821426	44821426	0.175042222446672	-0.213303397776995	7.88742307689084	-8.10072647466783	0.833253349790931	0.00132184845721161	0.001137694060479	0.910106703924952	0.184761004961572	0.0127665633897333
TRINITY_DN126931_c1_g4_i1	ercc8	Chr01	46198772	46198772	1.1847477469264	-2.10822764747179	-0.352967529683615	-1.75526011778818	0.000214537800551232	0.626699303549646	0.0320936978793418	0.0017731082222946	1	0.156045791351792
TRINITY_DN128898_c3_g5_i2	smad1	Chr01	49182917	49182917	2.08683617224937	-2.05368140266664	-0.653970429284751	-1.39971097338188	1.70827285520537e-05	0.27102613306284	0.0382033425821942	0.000181523613882913	1	0.176618096009961
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.02962902222357	-5.30223711508044	0.0607904449541237	-5.36302756003457	4.02390003159637e-22	0.93300899716036	1.19117903372896e-09	2.61800493360051e-20	1	6.90259759431228e-08
TRINITY_DN82945_c0_g1_i1	h2afz	Chr01	65008501	65008501	5.37781613056115	-2.19867287541994	-0.12430344304966	-2.07436943237028	1.86890760857664e-10	0.776072420512671	5.59568901717869e-05	4.32997638019866e-09	1	0.00103451114031983
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.55213039660237	-3.87820868724368	0.509502918013843	-4.38771160525753	7.2669805396562e-18	0.391168499988245	2.19509441424187e-09	3.51998758309054e-16	1	1.19573890372374e-07
TRINITY_DN127814_c3_g6_i6	fbn3	Chr01	73533826	73533826	1.44816105483366	-2.0384581506712	0.0666001793882879	-2.10505833005949	1.78300983303879e-05	0.915603071539149	0.00265339391256432	0.000188755668508838	1	0.0249260294467222
TRINITY_DN128087_c0_g1_i1	lmnb2	Chr01	74015431	74015431	3.03813887236903	-2.76682222279089	0.0606758016546685	-2.82749802444556	4.32453093456469e-11	0.911199172546149	1.0875981460041e-05	1.07960493075948e-09	1	0.000251521902147257
TRINITY_DN112201_c0_g1_i1	eef2.1	Chr01	74239834	74239834	2.29676701425187	1.88940302162683	-0.112717346463503	2.00212036809033	0.000111520601968536	0.838262331751837	0.000636188604678026	0.00098814789044848	1	0.00793722506836896
TRINITY_DN125533_c0_g1_i1	ubxn6	Chr01	74902024	74902024	3.04836482781338	-2.46450046050719	0.00580419026578482	-2.47030465077298	5.31500107370373e-09	0.991491756741297	0.00010728995511512	1.01584006246393e-07	1	0.00179208743806536
TRINITY_DN115215_c1_g2_i1	polr2e	Chr01	81249350	81249350	3.22192265128657	-1.46521179794375	1.16404547285405	-2.6292572707978	0.00933370506861151	0.136856946197233	0.00276805664645358	0.046471417627465	1	0.025803075496201
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.61616480635787	-13.1146121525719	-2.04734998048495	-11.0672621720869	1.65002095931608e-100	0.0811961354060896	3.00642826169231e-35	7.49526549115314e-97	1	2.54935095163969e-32
TRINITY_DN125305_c3_g2_i1	palm	Chr01	81998606	81998606	3.00872379727321	-2.37813142984381	-0.000114214625346776	-2.37801721521847	1.31870120463333e-08	0.999847373657779	0.000158928783594695	2.38764697115071e-07	1	0.00251742797376428
TRINITY_DN130557_c1_g3_i3	LOC101734175	Chr01	82296754	82296754	0.717085550938729	4.8546331652151	6.29378832188018	-1.43915515666508	0.000666511233732569	0.00323439553165368	0.462774245704547	0.00487924583451017	0.345195546132574	0.720075480853751
TRINITY_DN98773_c0_g2_i1	mknk2	Chr01	83933755	83933755	1.23257383272185	1.31754384470202	6.55915733433252	-5.2416134896305	0.0144442206407067	9.85756055973688e-09	7.25299457751876e-06	0.0660993935741928	8.64712010617747e-06	0.000173573780863123
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.32462539596339	-3.44294768804338	0.184426489992684	-3.62737417803607	1.17237219396915e-17	0.725879166725528	9.7740349008748e-09	5.5538130805179e-16	1	4.70742322728224e-07
TRINITY_DN127045_c0_g1_i2	gdf1	Chr01	100408473	100408473	3.91659470355163	-1.77951928902149	0.507676298768701	-2.28719558779019	6.56656760870367e-07	0.287013325530572	2.61682983580657e-05	9.13323747390993e-06	1	0.000536418486648537
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.77080460090146	-5.58666207997997	-0.291278075302554	-5.29538400467741	1.72637860822176e-40	0.593982886691599	1.01204831153257e-15	2.55333403572985e-38	1	1.320281897286e-13
TRINITY_DN126739_c1_g1_i1	kiaa0020	Chr01	115761863	115761863	3.3530856453784	0.326208338243674	11.3513053080136	-11.0250969697699	0.671303721049268	8.72066216188581e-08	2.14758171772508e-07	0.807358277082907	6.33842642103466e-05	7.68387219651313e-06
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.5368366467506	-3.57450479480475	0.0241894079502198	-3.59869420275497	7.16258753053409e-14	0.969021908553603	1.2964667015805e-06	2.39748768670075e-12	1	3.80840836276056e-05
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.49075398600276	-3.15035540079133	0.269525719909104	-3.41988112070043	2.85843383969337e-20	0.533821683776448	2.47007585926995e-10	1.60520305624635e-18	1	1.63211064373943e-08
TRINITY_DN121062_c0_g1_i1	anxa1-like.2	Chr01	118556373	118556373	5.2480207034272	-2.29832574878944	0.0205714067896963	-2.31889715557913	3.56215704967644e-10	0.964895372297426	2.81787017313091e-05	7.90041091427367e-09	1	0.000572554307781767
TRINITY_DN124404_c2_g1_i10	pcsk5	Chr01	119429662	119429662	2.49815138359681	-2.04621076365261	0.285966966485313	-2.33217773013793	8.08188316083461e-07	0.60369762794956	0.000195085591494086	1.10713530279198e-05	1	0.00297886096159547
