gid	gname	chr	start	end	logCPM	logFC.FO.MT	PV.FO.MT	FDR.FO.MT
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	3.99231934423137	5.01090838906814	6.34415406751699e-28	2.89572568257746e-26
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	7.79483454943033	-3.10163157345151	3.92516219602817e-18	8.19579612422277e-17
TRINITY_DN116342_c0_g2_i1	LOC100145252	Chr01	9931810	9931810	0.511329031323031	5.57225861219994	9.69472866306238e-13	1.13696350230426e-11
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	2.08437255872379	-7.06075949076779	6.00330123776339e-18	1.22876538877342e-16
TRINITY_DN121040_c0_g3_i2	tnip2	Chr01	11849553	11849553	2.61751755433737	-4.28177527475137	2.59914527998596e-14	3.67747635336885e-13
TRINITY_DN119009_c0_g2_i2	kcnip4-like	Chr01	22625130	22625130	0.0643634426860159	3.13345766877119	3.42730593681276e-07	1.71455449561466e-06
TRINITY_DN126289_c6_g2_i1	pacrgl	Chr01	22668808	22668808	4.04650700795846	3.14829092844766	2.19125543706291e-09	1.58607141086742e-08
TRINITY_DN127999_c10_g6_i2	klf3	Chr01	26186197	26186197	0.536788070134309	3.15712032678001	5.49911749591668e-07	2.66569370203506e-06
TRINITY_DN126256_c6_g2_i1	klhl5-like	Chr01	26330435	26330435	5.0114280209757	-4.42085942559738	7.59448597422018e-23	2.41394650283639e-21
TRINITY_DN135526_c5_g2_i2	atp8a1	Chr01	28181203	28181203	5.75362887642405	-11.7107184400689	1.94128486572661e-68	4.17962294392573e-66
TRINITY_DN118819_c0_g1_i1	corin-like	Chr01	29391953	29391953	8.76939235494319	3.46591269206923	9.23014589291226e-12	9.44620581022617e-11
TRINITY_DN118236_c0_g2_i2	nipal1	Chr01	29602560	29602560	4.43760941608906	3.23771509901043	3.89365124959944e-21	1.06675760886385e-19
TRINITY_DN124009_c0_g1_i3	ppat	Chr01	31660752	31660752	4.81493257644072	3.04479656103547	1.12806576202728e-18	2.4802232004804e-17
TRINITY_DN131967_c0_g3_i2	snx25-like	Chr01	35262666	35262666	1.94149810309659	-8.61364294560592	9.94757053060639e-14	1.3183708167799e-12
TRINITY_DN130634_c6_g2_i1	LOC100486222	Chr01	35569041	35569041	4.23618104659023	3.94187890309371	2.09226647947094e-23	7.05142885170428e-22
TRINITY_DN129285_c0_g1_i3	hand2	Chr01	39412802	39412802	5.64107747895129	3.006655899275	5.27655347506491e-16	9.04744578571987e-15
TRINITY_DN125304_c0_g1_i1	glrb	Chr01	44226997	44226997	6.32551330644727	-4.08989116112733	1.78132173537112e-27	7.92462468706427e-26
TRINITY_DN127850_c0_g1_i1	enpep	Chr01	58901065	58901065	2.27797726252396	-7.77460411132234	8.83866083701272e-21	2.35100137088933e-19
TRINITY_DN96535_c0_g2_i1	ndnf	Chr01	62015214	62015214	2.84684993531424	10.8567001286807	5.10087515587637e-30	2.58120117089602e-28
TRINITY_DN121138_c0_g1_i1	dapp1	Chr01	65208909	65208909	0.579357946370438	-3.3276367470875	7.66816284245673e-06	3.01728986880254e-05
TRINITY_DN128027_c3_g2_i2	LOC100487777	Chr01	65368064	65368064	2.60113081398943	4.07512920614839	5.25889324445415e-10	4.1935171776706e-09
TRINITY_DN135835_c0_g1_i3	g3bp2	Chr01	70058310	70058310	7.1611154440985	-6.60529195979973	7.07890117706417e-92	3.10682082044151e-89
TRINITY_DN112264_c1_g2_i1	sppl2b	Chr01	73880850	73880850	1.59473297045287	9.57139359924115	4.71038028023978e-20	1.18392399510608e-18
TRINITY_DN127647_c0_g1_i3	gamt	Chr01	80577632	80577632	9.85556469167397	3.45374561416933	2.66353191356623e-17	5.16897324246671e-16
TRINITY_DN134579_c9_g3_i1	tpgs1	Chr01	86538887	86538887	0.628024340229861	-3.40570491392636	2.78322490132483e-08	1.65672297073645e-07
TRINITY_DN125509_c2_g4_i13	cdc34	Chr01	86547485	86547485	2.62036037957136	3.05125998968665	1.16870586422869e-06	5.34620269260918e-06
TRINITY_DN116220_c0_g1_i1	comp	Chr01	87999172	87999172	0.746603601575609	-4.93502549475219	1.25438071203781e-10	1.10105679269719e-09
TRINITY_DN116269_c0_g2_i1	slc26a1	Chr01	90427648	90427648	5.51657619704023	5.47671019959215	1.06712667694898e-34	6.80278352551107e-33
