gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN126421_c2_g1_i1	oxt	Chr01	6308159	6308159	5.31226110619717	-3.41587216510637	4.60787345017741e-26	3.62539342968059e-24
TRINITY_DN129746_c0_g2_i1	LOC100489920-like	Chr01	20481224	20481224	3.08547045663378	-3.01820874013679	1.27837568898339e-14	4.42832889707427e-13
TRINITY_DN130934_c0_g1_i1	gucy1a3-like	Chr01	44695371	44695371	2.38159554260046	-3.34442447197757	6.87999838743424e-15	2.45485035452071e-13
TRINITY_DN74683_c0_g1_i1	stk11	Chr01	81121898	81121898	0.623236713465462	2.67641188240018	0.00039614133926761	0.00300217597771907
TRINITY_DN125487_c0_g2_i2	Xetrov90001474m	Chr01	81284059	81284059	3.69375238157584	-2.31770620081174	5.22024311388282e-10	1.08686385822707e-08
TRINITY_DN120456_c0_g1_i1	ddx49	Chr01	100443086	100443086	5.21951870489228	-12.2328338642095	3.88555283772503e-88	3.02842416642813e-85
TRINITY_DN97717_c0_g2_i1	thoc5	Chr01	132400381	132400381	1.7659227292911	-10.6254127366789	1.20070969812697e-32	1.30203915569499e-30
TRINITY_DN132433_c1_g3_i2	suds3	Chr01	156928872	156928872	5.24916638121734	-3.04949369049246	8.70901402412566e-21	4.89215132377744e-19
TRINITY_DN135829_c0_g1_i5	avd	Chr01	167915859	167915859	4.0140752031864	-2.09915740978787	9.19165433177397e-09	1.62934648677167e-07
TRINITY_DN122121_c0_g3_i1	pias2	Chr01	193144450	193144450	2.31483064667627	-2.64562529075883	1.3749674695834e-08	2.36830550130383e-07
TRINITY_DN123436_c7_g2_i5	c21orf62	Chr02	10989909	10989909	2.4732250485249	-2.48081082024625	7.6946574499714e-10	1.55773093717319e-08
TRINITY_DN93756_c0_g1_i1	ddx3x	Chr02	69939262	69939262	0.610536606451676	8.82471546377117	1.2913575527366e-13	4.03100734953737e-12
TRINITY_DN126963_c1_g4_i2	pmch	Chr03	39674877	39674877	1.04742847654482	-2.26939232403747	9.65941491191269e-06	0.000103798133269287
TRINITY_DN135970_c0_g1_i2	pus7	Chr03	67530666	67530666	3.77261171962125	-3.87218803675747	8.56747624515501e-19	4.26509830400022e-17
TRINITY_DN124802_c6_g3_i1	chrnb4	Chr03	80472595	80472595	4.40609784530031	-3.27727812636141	2.51550639202891e-08	4.14393955902199e-07
TRINITY_DN122469_c0_g1_i1	LOC101733132	Chr03	85964111	85964111	4.92372926755927	-2.39409498043576	2.53847660112266e-13	7.7398710157213e-12
TRINITY_DN126815_c0_g1_i5	pigb	Chr03	90802306	90802306	2.64980148386481	-2.21961361724206	8.1304981992247e-08	1.24559432178663e-06
TRINITY_DN129986_c2_g2_i1	tm6sf1	Chr03	95556527	95556527	5.40646783174816	-2.04929309228335	7.19796213365198e-12	1.87394961978511e-10
TRINITY_DN131160_c3_g1_i12	mrpl23	Chr04	12675521	12675521	1.47280268050571	-2.05217919133118	1.89123785152176e-05	0.00019284285876862
TRINITY_DN83270_c0_g1_i1	LOC101731749	Chr04	23281296	23281296	8.08342112446321	-12.2185182768743	3.69629289121591e-97	1.66178704035529e-93
TRINITY_DN130378_c8_g3_i1	haao	Chr05	13379087	13379087	3.7802988215613	-3.40575630997486	2.98874126136083e-14	9.89936199197883e-13
TRINITY_DN109288_c0_g1_i1	fam124b	Chr05	120408947	120408947	0.30581788272924	-4.11285723562042	5.65570417179511e-10	1.1696427674025e-08
TRINITY_DN126089_c1_g1_i2	uggt1-like	Chr05	129409251	129409251	4.8840095434685	-6.71823528839792	1.13568978455305e-55	2.52903918897657e-53
TRINITY_DN127202_c3_g6_i1	adcy1	Chr06	67756228	67756228	2.49944131239946	-3.21553860113767	1.08632364781144e-12	3.1035507560212e-11
TRINITY_DN120594_c0_g1_i5	nedd9	Chr06	84814727	84814727	5.03733941311361	-2.19495314910206	7.5201667410054e-14	2.37719237880121e-12
TRINITY_DN109791_c0_g2_i1	nop2-like	Chr07	1724410	1724410	2.29577942270409	-5.27816540683444	1.90834570225164e-14	6.44932928995367e-13
TRINITY_DN129219_c5_g2_i5	rbp3	Chr07	36128567	36128567	5.83515465880966	-2.13003045072659	7.40796403254601e-10	1.50091008071267e-08
TRINITY_DN128771_c5_g10_i1	chat	Chr07	42179390	42179390	0.078055298894068	-2.17518605345572	0.000888231331008883	0.00612140857327786
TRINITY_DN122597_c0_g1_i2	opcml	Chr07	48447694	48447694	2.30253746832199	-3.79696887713337	2.28040461198167e-12	6.2500627942236e-11
TRINITY_DN130605_c0_g1_i4	cryab	Chr07	74673791	74673791	3.67634511830723	-3.01089770606282	1.87941854539507e-14	6.36018696617347e-13
TRINITY_DN98334_c0_g1_i1	LOC101733991	Chr07	82502077	82502077	2.68105391298419	-6.79996091911651	2.82751797825961e-27	2.43176296192321e-25
TRINITY_DN125276_c0_g1_i7	gprc5c	Chr07	106912044	106912044	1.97012174637178	-2.02056135878924	1.12478831093605e-05	0.000119426757186276
TRINITY_DN122337_c0_g1_i2	LOC100490440	Chr07	110696226	110696226	2.54490111352958	-4.02124289921989	6.22083913157406e-21	3.53425851436421e-19
TRINITY_DN109308_c0_g1_i1	LOC100486333-like	Chr08	18909118	18909118	2.29065843680178	-2.70159748250198	3.34799259083565e-11	8.09130651240619e-10
