gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46
TRINITY_DN129942_c2_g2_i2	LOC100486685	Chr01	7605581	7605581	1.30093182989087	-2.82976784421516	3.28107662989738e-08	5.45818522945938e-07
TRINITY_DN13815_c0_g2_i1	cdc25b	Chr01	9356036	9356036	0.981120931267	-2.16020373573157	0.00138084047929824	0.00914504318476386
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.852914302075719	-3.2627627006942	3.45742871644419e-05	0.000338509813115431
TRINITY_DN125304_c0_g1_i1	c1qtnf7	Chr01	17071229	17071229	3.7561576059889	-2.53275318687938	1.97214984315066e-12	5.57909071270745e-11
TRINITY_DN128607_c0_g2_i1	tbc1d14-like	Chr01	20379605	20379605	3.15252800390948	2.01793061969521	9.50569237722709e-05	0.000846253956747583
TRINITY_DN122453_c4_g2_i1	kcnip4-like	Chr01	22625130	22625130	4.54282151867969	-2.82758624691766	6.17002430611297e-18	2.93644446252771e-16
TRINITY_DN115118_c0_g1_i1	klb	Chr01	26974623	26974623	1.39095757662138	-2.40657477240912	5.33699955508338e-05	0.000504772102111154
TRINITY_DN96624_c0_g3_i2	rhoh	Chr01	27214303	27214303	5.04299450907012	-2.3929017356156	8.75019456215862e-14	2.83307130587333e-12
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.87000096011746	-3.59283764473691	9.53786093184156e-21	5.45122124002926e-19
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	1.17639845642143	-3.17312466911746	2.64033833041998e-07	3.81785986224463e-06
TRINITY_DN126931_c1_g4_i1	ercc8	Chr01	46198772	46198772	1.27892122073483	-2.10101274528644	0.000214410115357091	0.00175174240423562
TRINITY_DN128898_c3_g5_i2	smad1	Chr01	49182917	49182917	2.14171466932509	-2.04700781901709	2.1360830578713e-05	0.000219851572935949
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.25566210155239	-5.29460446685227	7.70175455648326e-22	4.83872763314143e-20
TRINITY_DN82945_c0_g1_i1	h2afz	Chr01	65008501	65008501	5.49530385537854	-2.19212672566326	2.78224929685557e-10	6.14692582435307e-09
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.76302017300319	-3.87128338326358	1.0915255317984e-18	5.51623451888296e-17
TRINITY_DN127814_c3_g6_i6	fbn3	Chr01	73533826	73533826	1.57522087742935	-2.03180723841458	1.15009444175036e-05	0.000124281865858631
TRINITY_DN128087_c0_g1_i1	lmnb2	Chr01	74015431	74015431	3.19949309381905	-2.76031037928565	4.85992916842101e-11	1.18202254193325e-09
TRINITY_DN125533_c0_g1_i1	ubxn6	Chr01	74902024	74902024	3.19179068336271	-2.4581986896006	7.13424978848984e-09	1.31848226565529e-07
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.85556078645347	-13.0978183536565	8.33148187465046e-97	2.63680986980344e-93
TRINITY_DN115228_c0_g1_i1	misp-like	Chr01	81977099	81977099	0.0298175187977281	-4.36575162390286	6.33571489114094e-08	1.01399472394942e-06
TRINITY_DN125305_c3_g2_i1	palm	Chr01	81998606	81998606	3.14719125345556	-2.37167315422857	1.66094464495723e-08	2.89823965993605e-07
TRINITY_DN130557_c1_g3_i3	LOC101734175	Chr01	82296754	82296754	0.95455203591895	4.85662464349618	0.000691823495889196	0.00500465116926244
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.51637417943435	-3.43728258951598	9.66748458398376e-18	4.50775399966639e-16
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.99446372189156	-5.58075857921067	9.58104185334641e-42	1.4525892136819e-39
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.72835716197175	-3.56742780176118	6.01375414167747e-14	1.98775771688162e-12
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.67470792208142	-3.14409205374248	1.63659080098211e-19	8.69260302446914e-18
TRINITY_DN121062_c0_g1_i1	anxa1-like.2	Chr01	118556373	118556373	5.38232064064813	-2.29172203194566	5.52454780226112e-10	1.16855493571804e-08
TRINITY_DN124404_c2_g1_i10	pcsk5	Chr01	119429662	119429662	2.63999600437729	-2.0397235646197	7.88171909776915e-07	1.0648732435241e-05
TRINITY_DN114530_c0_g5_i1	mrps18c	Chr01	121827523	121827523	1.35825700385736	-5.93475871554115	4.12578328742549e-18	1.99733665495843e-16
TRINITY_DN134088_c4_g1_i2	ctsv	Chr01	123183730	123183730	1.59011213188504	-2.85103238013549	2.24708712330801e-09	4.40015459203677e-08
TRINITY_DN127574_c0_g1_i13	aaed1	Chr01	124125662	124125662	1.94602077697834	-3.30624528576667	3.40436368336908e-12	9.37922569088376e-11
TRINITY_DN122578_c0_g1_i3	shc3	Chr01	125590501	125590501	1.96789340772738	-2.31901677999781	2.23917929603656e-07	3.28089008080727e-06
TRINITY_DN126124_c0_g1_i1	mmp14	Chr01	127876910	127876910	2.12368498314215	-6.71023219217535	1.05876533423976e-29	1.0310338268314e-27
TRINITY_DN124802_c6_g3_i1	rem2	Chr01	127940248	127940248	4.39778658177815	-3.27832794903831	2.85926689849411e-08	4.78162342159658e-07
TRINITY_DN134031_c5_g1_i1	tmem55b	Chr01	130593011	130593011	3.96740424033315	-3.58393797271805	3.26134017124566e-18	1.59717353570152e-16
TRINITY_DN109288_c0_g1_i1	nipsnap1	Chr01	132381492	132381492	0.297300027410169	-4.11354812298905	1.87957460749094e-09	3.71208654345265e-08
