gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN100115_c0_g1_i1	cenpm	Chr04	105778900	105778900	4.6606656855007	-1.67934860389594	2.24159055019356e-07	2.24932738324927e-06
TRINITY_DN100230_c0_g1_i1	LOC100485082	Chr06	133846472	133846472	1.602842042959	1.71463695514065	0.00394218004107689	0.0141826189638342
TRINITY_DN100260_c0_g2_i1	ncbp2	Chr05	97976339	97976339	5.98247571474577	-1.08373076041301	2.49906603247946e-05	0.000174902103522326
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	4.08721606186146	-1.25940039671332	0.000655032235639246	0.00315689146898359
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	3.70300724396839	-2.42671459977108	8.49260325503486e-09	1.06226666528384e-07
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	7.68393912532261	-11.2582971640676	2.29594602240489e-139	1.23487456815047e-135
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	3.36620201332959	-2.11082394007189	1.30352526273723e-07	1.35740767195202e-06
TRINITY_DN101457_c0_g1_i1	asnsd1-like	Chr09	39386717	39386717	6.1949197356717	-1.35834462710364	1.23611226153193e-07	1.29346883242207e-06
TRINITY_DN101728_c0_g2_i1	lrrc20	Chr07	32617150	32617150	7.29584245577123	1.29615600423565	1.72602362478964e-05	0.000125086176724439
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	4.40602954239115	-2.73129505979129	1.38238616266724e-15	3.51544396023912e-14
TRINITY_DN101809_c0_g1_i2	LOC101732244	Chr05	59159234	59159234	4.3097985680772	1.01947876517291	0.00433823653043371	0.0153105020859171
TRINITY_DN102026_c0_g1_i2	gjb7	Chr05	87154347	87154347	3.34602070953346	1.12546940382713	0.0044636892346398	0.0156607648718266
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	6.96796885283923	-1.88896226778466	4.80396192739642e-12	8.48542174926162e-11
TRINITY_DN102186_c0_g1_i2	LOC100488185	scaffold_5850	707	707	8.72694749687639	1.00116171504766	0.00441900089475521	0.0155496214016623
TRINITY_DN102272_c0_g1_i1	dmap1	Chr04	82690214	82690214	4.95823978609968	-1.2077642135664	0.000208280183880544	0.00117056945559196
TRINITY_DN102459_c0_g1_i1	stk32a	Chr03	34227746	34227746	2.25292218756911	1.42571546771884	0.00235163445834108	0.0092424303501553
TRINITY_DN102559_c0_g2_i1	LOC100485278	Chr10	24700728	24700728	4.66585949686792	-2.28268441936058	3.35984923926077e-08	3.81243652602617e-07
TRINITY_DN102581_c0_g1_i2	xkr5	scaffold_13	875624	875624	2.65489922739628	-3.23297856767142	8.96953685352704e-13	1.73847401681784e-11
TRINITY_DN103526_c0_g1_i1	rgs9bp	Chr10	16566157	16566157	3.31880764798694	-1.17237001636704	0.00427104428235223	0.0151329457658969
TRINITY_DN103537_c0_g2_i1	oxsm	Chr06	76469303	76469303	4.55056083947141	-1.02363760766841	0.000779400291186814	0.00365954121881124
TRINITY_DN103544_c0_g1_i2	parp16-like	Chr03	117692116	117692116	1.25471919291749	1.86957598378667	0.00288080920154116	0.0109578729069937
TRINITY_DN103549_c0_g1_i1	txnrd3	Chr04	122921580	122921580	8.06887269600939	-1.11094238283046	3.4551728487269e-05	0.000233903677367874
TRINITY_DN103565_c0_g4_i1	thap5	Chr03	56033628	56033628	4.77215547143007	-1.66636893755035	1.5606794476215e-07	1.60652907349899e-06
