gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB
TRINITY_DN93756_c0_g1_i1	trpc3	Chr01	57352438	57352438	0.800392113015531	8.432610686433	4.72864905542586e-22	4.17539711594104e-18
TRINITY_DN98734_c0_g1_i1	usp38	Chr01	49976472	49976472	2.36790633651307	-5.45221431076328	9.31152941077505e-06	0.0037948063706374
TRINITY_DN90220_c0_g1_i1	postn	Chr02	148527377	148527377	3.24179676742139	-4.96770986486387	1.72531295923485e-06	0.00101563422866958
TRINITY_DN83284_c0_g2_i1	rab8b	Chr03	81878485	81878485	0.0757418915685597	-5.58944076022362	3.38936061474832e-09	6.90647405266791e-06
TRINITY_DN133748_c2_g1_i1	tcf7l1	Chr03	107518673	107518673	1.15492503281571	-4.34126146905555	0.000147623717533875	0.030081171365172
TRINITY_DN38445_c0_g1_i1	larp6	Chr03	88251258	88251258	1.58258662256319	4.46238128845259	5.85324918545909e-07	0.000419061002494085
TRINITY_DN95196_c0_g3_i1	lamb4	Chr03	66347575	66347575	0.982793481814948	-4.5088464459666	3.10793663578009e-06	0.0016142988525846
TRINITY_DN98620_c0_g2_i1	abcd2-like	Chr03	65726820	65726820	4.9678787549786	-4.98560027022072	9.28445502557299e-07	0.000599866374701045
TRINITY_DN26128_c0_g1_i1	myoc	Chr04	97499454	97499454	2.11046641677981	-5.5748065191192	1.38477891676125e-07	0.000141087667326944
TRINITY_DN133064_c1_g2_i1	agt	Chr05	42099486	42099486	0.325948605960128	7.87891431640183	8.16878245880376e-08	0.000103043355873196
TRINITY_DN134524_c3_g3_i1	zufsp	Chr05	69402838	69402838	4.22913237936251	3.93388528838252	2.77544453954905e-05	0.00885801516297041
TRINITY_DN49280_c0_g1_i1	gcm2	Chr06	84667355	84667355	0.075918739250148	-4.48098436066348	1.12608443500623e-05	0.0043231850265674
TRINITY_DN91309_c0_g1_i2	mppe1-like	Chr06	88737158	88737158	0.488475227126903	2.21084595307764	0.000111379845783299	0.0245871009566632
TRINITY_DN27351_c0_g1_i1	cutc	Chr07	27179803	27179803	3.45125757676491	-4.8351400758837	0.000116043415539292	0.024991789249072
TRINITY_DN90720_c0_g1_i1	fam177a1	Chr08	89163743	89163743	2.1633159003047	-4.40980196996009	2.95906677333687e-06	0.00159161185017491
TRINITY_DN86341_c0_g2_i1	nova2	Chr08	49838883	49838883	1.50079701136878	9.17251456658541	9.85190978300033e-29	1.30488545075839e-24
TRINITY_DN22653_c0_g1_i1	adssl1	Chr08	78756395	78756395	0.568131156066725	-5.28667812804742	2.45291623929498e-07	0.000224061210961807
TRINITY_DN20122_c0_g1_i1	LOC100144969	Chr08	50177389	50177389	1.47276472570053	6.34075843783794	1.30153216618393e-08	2.15484919263827e-05
