gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary
TRINITY_DN100012_c0_g1_i1	NA	NA	NA	NA	-0.877740674479384	-3.49671741392906	9.33381274206221e-05	0.00035565537237338
TRINITY_DN100020_c0_g1_i1	NA	NA	NA	NA	-1.53580653594141	5.86139983249675	4.08687124958371e-05	0.00016967351649278
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	3.70300312936254	-8.46570251897193	7.32946774697779e-09	6.4953889137513e-08
TRINITY_DN100115_c0_g2_i1	NA	NA	NA	NA	1.34958524700657	2.58795979177931	0.00319433093659117	0.00820443673110282
TRINITY_DN100121_c0_g1_i1	NA	NA	NA	NA	-0.907085113750944	-2.22534250225915	0.00804614873358846	0.0185373944409535
TRINITY_DN100160_c0_g1_i1	NA	NA	NA	NA	-0.877986869416283	-2.18434672795064	0.0011380381523342	0.00329827767447064
TRINITY_DN100192_c0_g1_i2	NA	NA	NA	NA	-0.354609166021777	4.16383535070052	5.00035274368413e-08	3.80368712981101e-07
TRINITY_DN100194_c0_g1_i1	vax2	Chr01	8250217	8250217	-0.581044976716197	-3.32555144900488	4.1251380339042e-06	2.1373594437145e-05
TRINITY_DN100230_c0_g1_i1	LOC100485082	Chr06	133846472	133846472	-0.785196618143211	3.07375522455985	0.000187580762313663	0.000664144208464491
TRINITY_DN100239_c0_g1_i2	NA	NA	NA	NA	-1.0505682410516	-3.17183262920542	0.000911739523908436	0.00271128268923607
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	3.29351665312285	2.8462683365456	7.04057143977701e-09	6.27148413923517e-08
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.0745977750276288	2.66553537931636	4.43988152158581e-05	0.00018252911362993
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	-0.138974423426782	3.73980975082244	0.00137377858755243	0.00390057451483531
TRINITY_DN100323_c0_g1_i1	NA	NA	NA	NA	-0.646187292870336	-5.59745429873844	6.17323543762677e-09	5.56208324516121e-08
