gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	tau	tissue	stage
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.938746998	0.297706687	0.50101166	0.999995244	0.505257093	Brain_mmean	G23
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.674563703	0.060257757	0.807627756	0.999995244	0.154410881	G46_F_mean	G23
TRINITY_DN100036_c0_g3_i1	prmt7	Chr04	49690988	49690988	0.104869185	-0.739452847	0.136294471	0.999995244	0.922516939	G23_fmean	G23
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.93059508	0.143486753	0.847153199	0.999995244	0.487386997	Brain_mmean	G23
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.010682629	0.289310296	0.758468443	0.999995244	0.47119469	Brain_mmean	G23
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	1.988654325	0.092332906	0.799627335	0.999995244	0.79919844	Brain_mmean	G23
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	5.000844147	-0.137484708	0.559101181	0.999995244	0.490391902	Ovary_mean	G23
TRINITY_DN100115_c0_g2_i1	NA	NA	NA	NA	0.262879151	2.648915943	0.005434006	0.999995244	0.770478867	Testis_mean	G23
TRINITY_DN100160_c0_g1_i1	NA	NA	NA	NA	0.175042329	0.193127315	0.700142217	0.999995244	0.746970558	Liver_fmean	G23
TRINITY_DN100260_c0_g2_i1	LOC100495307	Chr02	104989464	104989464	6.443787054	0.05391931	0.818521635	0.999995244	0.257661278	Ovary_mean	G23
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	0.452186539	0.345402998	0.453059209	0.999995244	0.512994422	Brain_fmean	G23
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	3.34642154	0.355761801	0.335195167	0.999995244	0.243568285	G46_M_mean	G23
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	3.484071627	0.241590553	0.454711258	0.999995244	0.33834217	G46_M_mean	G23
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.065333814	-0.720719219	0.128000942	0.999995244	0.398501081	G31_fmean	G23
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	1.316047854	1.284961811	0.005612839	0.999995244	0.569257309	Liver_mmean	G23
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	1.063575274	-0.06185382	0.877713602	0.999995244	0.536567119	Ovary_mean	G23
TRINITY_DN100410_c0_g1_i1	cacng2	Chr04	113057152	113057152	1.808270597	-0.298737525	0.446631376	0.999995244	0.416926551	Brain_mmean	G23
TRINITY_DN100411_c0_g3_i1	LOC100496183	Chr05	146337153	146337153	0.067780752	-0.010736528	0.983349478	0.999995244	0.537655056	Ovary_mean	G23
TRINITY_DN100452_c0_g1_i1	NA	NA	NA	NA	1.760170332	-0.054944161	0.88878654	0.999995244	0.597097874	G31_mmean	G23
TRINITY_DN100528_c0_g1_i1	NA	NA	NA	NA	0.900364023	0.348151558	0.429200217	0.999995244	0.584203607	Ovary_mean	G23
TRINITY_DN100538_c0_g1_i1	Xetrov90018921m	Chr07	92942198	92942198	0.207375294	0.818293445	0.085786282	0.999995244	0.436121266	G23_mmean	G23
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	1.747231709	-0.073785725	0.862578663	0.999995244	0.406904097	Brain_fmean	G23
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	1.386650744	1.772619882	0.03118455	0.999995244	0.431096319	G46_M_mean	G23
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.090540209	-9.67313979	7.72E-21	3.07E-17	0.562439164	G43_F_mean	G23
TRINITY_DN100595_c0_g1_i1	tbc1d13	Chr08	4337482	4337482	5.415087252	-0.00798867	0.973094974	0.999995244	0.19357363	Brain_fmean	G23
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	1.466310134	-0.748523954	0.08540888	0.999995244	0.396914093	G23_fmean	G23
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	7.660481125	0.052664656	0.804275338	0.999995244	0.195032263	Ovary_mean	G23
TRINITY_DN100681_c0_g1_i1	slc7a1	Chr02	151564016	151564016	5.235310977	-0.012384185	0.961423534	0.999995244	0.141796895	Brain_fmean	G23
TRINITY_DN100684_c0_g1_i1	acss3	Chr03	43123438	43123438	6.624753078	-1.155497423	0.102791242	0.999995244	0.434386206	G23_fmean	G23
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	7.41973921	1.135158616	0.001801649	0.796662436	0.380993312	G27_mmean	G23
TRINITY_DN100706_c0_g3_i1	pus1	Chr01	148124216	148124216	2.936892824	0.461629134	0.463496395	0.999995244	0.1456891	Brain_fmean	G23
TRINITY_DN100730_c0_g1_i1	NA	NA	NA	NA	0.120338453	0.854329944	0.229592401	0.999995244	0.683425316	Brain_mmean	G23
TRINITY_DN100751_c0_g1_i1	nrl	Chr01	128219236	128219236	0.16577412	-0.593417348	0.219586673	0.999995244	0.309325789	Brain_fmean	G23
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	1.149334155	-0.12801766	0.763781544	0.999995244	0.582069999	G27_mmean	G23
TRINITY_DN100784_c0_g2_i1	NA	NA	NA	NA	1.819359787	0.283981325	0.606928386	0.999995244	0.60984036	G31_mmean	G23
TRINITY_DN100788_c0_g1_i1	NA	NA	NA	NA	0.793301635	-0.038771521	0.948428118	0.999995244	0.345261534	G23_fmean	G23
TRINITY_DN100835_c0_g1_i1	LOC100488374-like	Chr08	53972047	53972047	4.551756464	0.071558415	0.824566123	0.999995244	0.437639948	G27_mmean	G23
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	0.613014361	-0.206682907	0.672836663	0.999995244	0.646753634	Liver_mmean	G23
TRINITY_DN100856_c0_g1_i1	Xetrov90012724m	Chr04	123649722	123649722	3.204199264	-0.039617553	0.900776579	0.999995244	0.280627776	Brain_mmean	G23
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	1.824905666	-0.066288098	0.873631937	0.999995244	0.20354166	Brain_mmean	G23
TRINITY_DN100882_c0_g1_i1	cldn23	Chr01	91515319	91515319	5.117223746	-0.194629215	0.439967037	0.999995244	0.326273107	Ovary_mean	G23
TRINITY_DN100945_c0_g2_i1	NA	NA	NA	NA	1.811716707	0.091109958	0.819366771	0.999995244	0.660510955	G23_mmean	G23
TRINITY_DN100998_c0_g1_i1	LOC100489507	Chr08	48140776	48140776	4.035175918	0.119835019	0.693305677	0.999995244	0.214017864	G43_F_mean	G23
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.302175211	-0.599503396	0.219100598	0.999995244	0.600830486	Ovary_mean	G23
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	2.219268477	0.018237159	0.959265026	0.999995244	0.606357753	Ovary_mean	G23
TRINITY_DN101047_c0_g1_i2	klhl24	Chr05	123607360	123607360	2.187873508	-0.008802496	0.9811022	0.999995244	0.719096943	Ovary_mean	G23
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	1.545512919	-0.10775219	0.789578634	0.999995244	0.209076279	G23_fmean	G23
TRINITY_DN101087_c0_g1_i1	prss16	Chr08	58389591	58389591	4.683639346	0.106536966	0.675692826	0.999995244	0.273916653	Ovary_mean	G23
TRINITY_DN101111_c0_g1_i2	NA	NA	NA	NA	0.885851845	0.222703766	0.637996722	0.999995244	0.473016121	Ovary_mean	G23
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	6.302870746	0.175200635	0.423992131	0.999995244	0.472543558	G23_mmean	G23
TRINITY_DN101150_c0_g2_i1	kcnv2	Chr01	115809921	115809921	3.248569007	0.122708666	0.707900231	0.999995244	0.452904283	Ovary_mean	G23
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	2.389256745	0.286900852	0.673462872	0.999995244	0.530143701	G31_mmean	G23
TRINITY_DN101232_c0_g1_i1	NA	NA	NA	NA	3.369627384	-0.029374819	0.919653348	0.999995244	0.675159323	Brain_mmean	G23
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	2.250296018	-0.661847676	0.112654376	0.999995244	0.378557799	Ovary_mean	G23
TRINITY_DN101247_c0_g3_i1	med27-like	Chr08	6457369	6457369	1.341056908	-0.204866858	0.688640552	0.999995244	0.653078653	Brain_mmean	G23
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	1.293578138	-0.806395732	0.264246548	0.999995244	0.466858407	G23_fmean	G23
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	2.406409079	0.023169079	0.948084047	0.999995244	0.288124765	Brain_fmean	G23
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	2.629798641	-0.445733747	0.190255938	0.999995244	0.287104048	Brain_mmean	G23
TRINITY_DN101326_c0_g1_i1	NA	NA	NA	NA	2.141671717	-0.104422131	0.798897775	0.999995244	0.531050733	G31_mmean	G23
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	1.516133162	0.176628606	0.68045369	0.999995244	0.359279261	G46_M_mean	G23
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.784854441	-0.030043694	0.925618168	0.999995244	0.654838779	Ovary_mean	G23
