gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	6.06871811644503	-2.13849596786363	1.15992293356557e-10	2.70422515681504e-09
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.475707964334004	-4.73380561603696	7.1772919903788e-10	1.48814718898779e-08
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	2.84836167090127	-2.68693734434072	3.37172236754517e-09	6.41854260247852e-08
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	6.88651338335109	-11.4874664491525	2.46679725443682e-97	1.03231353769424e-93
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	2.48034963949661	-2.35974060699522	6.99375307398555e-08	1.10028913492922e-06
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	3.5751200668836	-3.00486439853204	7.92461626668809e-15	2.87127258066769e-13
TRINITY_DN101945_c0_g2_i1	NA	NA	NA	NA	0.558995783570534	2.48790034586678	0.000797947961388837	0.00563274539289073
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	3.36561038166453	-4.27551415336455	2.86812681176175e-22	1.83246300550956e-20
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	6.10839535115986	-2.15635464986192	6.42006906222119e-11	1.53965151942036e-09
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	4.17019044704646	-2.96821644603379	6.7782056750674e-11	1.61627698286104e-09
TRINITY_DN102409_c0_g1_i1	NA	NA	NA	NA	0.708614112685718	-3.88445137688257	5.00337140567937e-07	6.91793241328211e-06
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	0.876877896706436	-2.48493883016328	4.36286339414363e-06	5.07632701406638e-05
TRINITY_DN102559_c0_g2_i1	LOC100485278	Chr10	24700728	24700728	3.77451447101013	-2.51089342070952	6.36651288523783e-08	1.00665473573953e-06
TRINITY_DN102581_c0_g1_i2	xkr5	scaffold_13	875624	875624	1.41240985560358	-5.20266411408447	1.85103274751021e-18	9.18529273858376e-17
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	3.11472537482064	-6.94231278639466	7.18642718713616e-38	9.59808511924478e-36
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	4.04097448246333	-2.26377062717555	4.14052705734097e-11	1.00643266101427e-09
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	5.99873767906415	-14.8855176295432	3.49059312280195e-94	5.47783142002714e-91
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	5.7008953444529	-11.9495610093533	1.40290351426348e-96	3.86278432767492e-93
TRINITY_DN103526_c0_g1_i1	rgs9bp	Chr10	16566157	16566157	1.91822910234699	-2.40962479282351	1.34408813031861e-06	1.72804448869278e-05
TRINITY_DN103565_c0_g4_i1	thap5	Chr03	56033628	56033628	0.0388730910031176	-5.01462274435501	1.55808007730208e-08	2.71261917453289e-07
TRINITY_DN103621_c0_g1_i2	parpbp	Chr03	39656922	39656922	3.77839618557589	-3.80827512527068	1.05451067682406e-18	5.30615402492492e-17
TRINITY_DN103622_c0_g3_i3	rcor2	Chr04	40885768	40885768	4.43585184745605	-3.26914268333514	6.30185290232429e-19	3.21612244968416e-17
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	3.16574258167522	-3.25936878892429	4.76142822460997e-17	2.07200522169379e-15
TRINITY_DN103637_c0_g2_i1	NA	NA	NA	NA	5.15697720134233	-14.0436292049221	1.04712125211483e-61	3.02208822061508e-59
TRINITY_DN103698_c0_g1_i1	kctd15	Chr04	19757914	19757914	1.00035769560497	2.50903997319341	5.49730030320776e-05	0.000515428354418385
TRINITY_DN103741_c0_g1_i2	psmc3ip	Chr10	23148035	23148035	3.36811170636447	-3.89208936979627	4.91612510791004e-19	2.52948740439576e-17
TRINITY_DN103798_c0_g1_i1	NA	NA	NA	NA	6.86519534983942	-13.0986039551751	1.09048076446981e-96	3.42261018938406e-93
TRINITY_DN103834_c0_g12_i1	NA	NA	NA	NA	1.51601417522079	-3.4764212460594	1.78706734650801e-05	0.000185419314063924
TRINITY_DN103834_c0_g4_i1	NA	NA	NA	NA	0.954924134180598	-2.31670417592885	1.02685341433156e-05	0.000111039028339583
TRINITY_DN103834_c0_g9_i1	NA	NA	NA	NA	3.88446965549049	-2.07208487179511	3.00844633369017e-05	0.000296464203267764
TRINITY_DN103838_c0_g1_i1	kpna7	Chr09	38771710	38771710	6.56419399414759	-6.64649264677762	1.23167152199407e-48	2.3079134511753e-46
TRINITY_DN103860_c0_g1_i1	ska3	Chr02	154712760	154712760	4.25246151325206	-3.1034414379688	1.07161237441803e-20	6.073840882452e-19
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	5.59070561968997	-10.241319576685	1.23258233901827e-56	2.87335832195511e-54
TRINITY_DN103897_c0_g3_i1	NA	NA	NA	NA	3.49407491311309	-7.51490390700463	4.75089291454888e-06	5.50231412321991e-05
TRINITY_DN104207_c0_g1_i1	LOC100487349	Chr06	61545114	61545114	1.03710828906226	-3.68179408472445	7.80581210607229e-08	1.21736730541223e-06
TRINITY_DN104383_c0_g4_i1	NA	NA	NA	NA	0.436898591139268	-2.55774835158896	1.14016503650588e-05	0.000122343606417206
TRINITY_DN104496_c0_g2_i1	LOC100498003	Chr03	22984987	22984987	1.12467608455726	-3.09731651978621	1.51875897945726e-08	2.64823050105502e-07
TRINITY_DN104550_c0_g2_i1	NA	NA	NA	NA	3.29246476911071	-2.25409691617373	3.22089515027561e-09	6.15007272458329e-08
TRINITY_DN104654_c0_g1_i1	mex3d	Chr01	79764930	79764930	1.8264435268182	-2.09934590438489	1.15716165111335e-05	0.000124114360947481
TRINITY_DN104942_c0_g1_i2	ppan	Chr03	126589980	126589980	5.47673215373093	-2.07618862730569	2.11003413300346e-10	4.70940862627412e-09
TRINITY_DN105440_c0_g1_i1	kcnq1-like	Chr04	15895945	15895945	4.02878750655127	-4.07200420819105	3.14221089292246e-26	2.60388690793367e-24
TRINITY_DN105455_c0_g3_i1	NA	NA	NA	NA	1.28974269979377	-3.13844667749897	7.5254858376163e-08	1.17696939462336e-06
