gene	FDR	logFC
TRINITY_DN76735_c0_g1_i1	0.222317221491048	0.549008371744338
TRINITY_DN13815_c0_g2_i1	0.00874840544094975	-2.16642849960459
TRINITY_DN96172_c0_g1_i1	0.0869764502739896	1.21888209679923
TRINITY_DN129479_c11_g4_i2	0.390739415357432	-0.446949178936784
TRINITY_DN127263_c1_g1_i1	0.557720019649057	0.407848795354249
TRINITY_DN116347_c0_g1_i1	0.00405403403862405	1.27661050233928
TRINITY_DN118925_c0_g1_i1	0.000202897126461437	-1.5756624925092
TRINITY_DN81712_c0_g2_i1	0.668857953974749	-0.483000305602176
TRINITY_DN96624_c0_g3_i2	3.0403140259344e-12	-2.39909638852143
TRINITY_DN134146_c2_g1_i2	0.273190657944047	0.523477954794998
TRINITY_DN45599_c0_g2_i1	0.363421514342453	0.744297962193875
TRINITY_DN133031_c0_g1_i3	0.0650292341036392	0.908790944539732
TRINITY_DN130777_c4_g9_i3	0.463843002044263	0.490302282149105
TRINITY_DN129407_c2_g1_i1	0.312570955556485	0.612218605793048
TRINITY_DN118994_c0_g1_i1	0.737344210105875	0.212393819159864
TRINITY_DN57850_c0_g1_i1	0.909367571345976	-0.212913348170884
TRINITY_DN93262_c0_g1_i1	0.456405324274095	0.666616112395675
TRINITY_DN93473_c0_g1_i1	0.347000667846389	0.94697408951011
TRINITY_DN9690_c0_g1_i1	0.819980322851438	-0.239424936088221
TRINITY_DN134567_c1_g1_i1	0.0769923246008306	-0.959364374446387
TRINITY_DN134848_c3_g2_i2	0.538456180616062	-0.472373019791384
TRINITY_DN82945_c0_g1_i1	4.44894251337163e-09	-2.19843333070266
TRINITY_DN5131_c0_g1_i1	0.344106214856744	0.619257563650986
TRINITY_DN81329_c0_g1_i1	0.353607413360113	0.47381438468125
TRINITY_DN134515_c0_g1_i1	0.591527128451679	-0.271018574270612
TRINITY_DN127260_c0_g3_i5	0.911811084744173	-0.231260642639396
TRINITY_DN118957_c0_g2_i1	0.0854066516576154	-0.933048302771561
TRINITY_DN130789_c5_g2_i2	0.460826494107806	-0.347369230872909
TRINITY_DN51181_c0_g2_i1	0.655732807864522	-0.293843533024561
TRINITY_DN116393_c0_g1_i2	0.592724941096859	0.328722885001109
TRINITY_DN98773_c0_g2_i1	0.06453520141478	1.31783351271606
TRINITY_DN48675_c0_g1_i1	0.0230269703593967	-1.35176261988857
TRINITY_DN2358_c0_g1_i1	0.840677152204088	-0.19316780546714
TRINITY_DN133710_c3_g1_i1	0.530397024920749	-0.588012584059719
TRINITY_DN82326_c0_g1_i1	0.408180591100439	0.528403285482635
TRINITY_DN133040_c1_g1_i1	0.949827414773489	-0.0479082978336302
TRINITY_DN78109_c0_g1_i2	0.177798744594106	-0.726327893747775
TRINITY_DN22167_c0_g1_i1	0.677814869795574	0.44974082643297
TRINITY_DN132638_c6_g3_i3	0.655732807864522	0.364938881714856
TRINITY_DN132600_c0_g1_i3	0.578868199508536	0.38937452419606
TRINITY_DN49812_c0_g1_i1	0.264387882897802	0.838639877099914
TRINITY_DN20017_c0_g2_i1	0.931548005868216	-0.132874605791244
TRINITY_DN134184_c4_g8_i2	0.981267780155407	0.0175835990111726
TRINITY_DN134529_c3_g1_i2	0.483033900145244	0.374215309770532
TRINITY_DN1451_c0_g1_i1	0.753228372123885	0.182292151134139
TRINITY_DN1360_c0_g1_i1	0.343779362802211	-1.05549452608727
TRINITY_DN132624_c0_g1_i1	0.135462832783698	-1.13083755666506
TRINITY_DN130784_c3_g1_i5	0.271550662190049	-0.721196090055352
