gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	Am2_231	Am2_233	Am4_231	Am4_232	Am5_231	Am5_232	average	ward.D
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.09054020868523	-9.67313979009729	7.72309331689461e-21	3.07353370368016e-17	1.21636835092977	-3.64018218212267	-3.64018218212267	2.75771393455832	-3.64018218212267	1.77398364286625	0	0
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.677978074698673	9.2535326587064	1.07422464702664e-22	6.41258403042551e-19	-3.64018218212267	1.66027660206682	1.70730680039229	-3.64018218212267	1.57585776363651	-3.64018218212267	0	0
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.0875212567258	7.82898159517211	8.47045208488412e-23	6.41258403042551e-19	-3.13042861130274	2.50706121726941	1.89007636525257	-3.64018218212267	1.63094766725008	-3.64018218212267	0	0
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.58422679354962	-1.09752005186822	7.98560543079111e-06	0.0119175179047769	5.12039446446225	3.98341114574331	3.84202930765519	4.96719828760713	3.9768390254801	4.99664082865431	0	0
TRINITY_DN119122_c0_g3_i1	pgam1	Chr07	24615072	24615072	1.72416307857169	-6.53423226483966	1.1372229529837e-05	0.0150858942618582	2.43743884644903	-1.91169377262411	-3.64018218212267	-3.64018218212267	-3.64018218212267	3.81257772185136	0	0
TRINITY_DN126986_c0_g1_i1	NA	NA	NA	NA	2.02628627113623	2.78469605144012	4.07821249128974e-09	9.73795578670163e-06	0.223936901271143	2.84926578920879	3.20852887458103	-0.772710015890874	2.26274538858226	0.62144159911154	0	0
TRINITY_DN127055_c1_g5_i1	eif3b	Chr09	25242861	25242861	2.35789178665168	10.9769985088194	2.31659298823068e-38	2.76578036864861e-34	-3.64018218212267	3.82996327686251	3.02962462389679	-3.64018218212267	3.02244417151485	-3.64018218212267	0	0
TRINITY_DN127464_c0_g2_i1	slc35g2	Chr05	128370751	128370751	0.477693891906585	9.03560950106331	3.18426094578098e-19	9.50422285791977e-16	-3.64018218212267	1.72649655192279	0.883129324516371	-3.64018218212267	1.5570168589571	-3.64018218212267	0	0
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.13371086302993	9.73905909289115	9.42263208383601e-21	3.21419441282623e-17	-3.64018218212267	1.44115834860383	2.92180117856727	-3.64018218212267	1.49897124966225	-3.64018218212267	0	0
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.621642358452853	9.19052449182546	1.38900465741641e-21	6.63333064195781e-18	-3.64018218212267	1.67711871668002	1.28239675550397	-3.64018218212267	1.75185639698682	-3.64018218212267	0	0
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.111484681282568	5.87534306998344	1.04934629439088e-05	0.014738994598509	-3.64018218212267	2.10813784074357	-3.64018218212267	-3.64018218212267	0.70253595949061	-2.52050531644955	0	0
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.51917082335068	4.45492636338113	4.48158863414156e-18	1.18901526006702e-14	-1.99908250511047	2.14492421603209	2.45172966559807	-1.67423113249961	2.6746586772523	-1.28814677223868	0	0
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.41510034554587	4.06954452527374	1.326757803136e-05	0.0166738541175166	-0.937637524545079	2.81162700779138	2.95864500413087	-1.50558276697799	-2.08975931576543	-2.17578865452383	0	0
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	4.51685143789976	2.44925829458114	2.00372914121485e-07	0.000368038803337909	1.39480481734393	5.13257278062296	5.57036303651588	3.79427793503031	5.06270360281496	2.30018716065828	0	0
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.68948681664258	11.3141259827093	1.92804515391057e-50	4.60378621850765e-46	-3.64018218212267	3.59316674491761	3.66384557586081	-3.64018218212267	3.78372483015531	-3.64018218212267	0	0
TRINITY_DN180929_c0_g1_i1	NA	NA	NA	NA	0.183389217612606	2.94016851945007	4.35224143396224e-06	0.00692818806401003	-1.03476283827048	1.62599079481254	0.437574000046164	-1.86523647960825	0.480563991365601	-2.52050531644955	0	0
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.507587627264928	3.2785857410883	2.26250950470395e-05	0.0270121009766605	-1.81527512359108	1.69376648202904	-1.08240409770268	-0.978215360008136	1.90870005282125	-2.52050531644955	0	0
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.38576010300163	2.41357018029041	3.19156503636066e-08	6.92801726711089e-05	-0.0529394688961468	1.93690963696363	2.16691558145249	-0.510700637647724	2.25107053948083	-0.0380890167635139	0	0
TRINITY_DN44748_c0_g1_i1	LOC100485703	Chr03	12772077	12772077	0.231404464643656	-8.73293211130571	4.34321906836414e-08	8.64228207619992e-05	1.75588399326457	-3.64018218212267	-3.64018218212267	1.65523120783407	-3.64018218212267	-3.64018218212267	0	0
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.36577234495634	3.68071506352103	4.04448187653123e-06	0.00689815273198662	-1.13890185262546	-0.829555805921639	2.2731146534374	-0.772710015890874	3.14104877343191	-1.89775942542023	0	0
