gid	gname	chr	start	end	target_id	length	eff_length
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	TRINITY_DN100108_c0_g1_i1	1309	1092.83
TRINITY_DN100323_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN100323_c0_g3_i1	1162	945.835
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100360_c0_g1_i1	1834	1617.83
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100379_c0_g1_i1	789	573.039
TRINITY_DN100399_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN100399_c0_g2_i1	305	109.183
TRINITY_DN100411_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN100411_c0_g3_i1	575	359.6
TRINITY_DN100465_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100465_c0_g1_i1	372	165.439
TRINITY_DN100550_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN100550_c0_g2_i1	815	599.019
TRINITY_DN100638_c0_g2_i1	srp54	Chr08	89146521	89146521	TRINITY_DN100638_c0_g2_i1	2120	1903.83
TRINITY_DN100806_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100806_c0_g1_i1	322	122.78
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN100904_c0_g1_i1	395	186.329
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN101035_c0_g3_i1	467	253.927
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	TRINITY_DN101042_c0_g2_i1	2443	2226.83
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	TRINITY_DN101047_c0_g1_i2	1512	1295.83
TRINITY_DN101072_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101072_c0_g1_i1	426	214.813
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	TRINITY_DN101072_c0_g2_i2	1526	1309.83
TRINITY_DN101116_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN101116_c0_g3_i1	777	561.039
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101150_c0_g1_i1	2617	2400.83
TRINITY_DN101193_c0_g1_i1	LOC100489217-like	Chr10	20091650	20091650	TRINITY_DN101193_c0_g1_i1	2025	1808.83
TRINITY_DN101369_c0_g1_i1	kbtbd8	scaffold_16	903489	903489	TRINITY_DN101369_c0_g1_i1	1161	944.835
TRINITY_DN101369_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN101369_c0_g2_i1	491	276.982
TRINITY_DN101425_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101425_c0_g1_i1	882	665.958
TRINITY_DN101457_c0_g1_i1	asnsd1-like	Chr09	39386717	39386717	TRINITY_DN101457_c0_g1_i1	2485	2268.83
TRINITY_DN101489_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101489_c0_g1_i1	446	233.628
TRINITY_DN101542_c0_g1_i1	rps6kb1	Chr02	87418446	87418446	TRINITY_DN101542_c0_g1_i1	3956	3739.83
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN101592_c0_g2_i1	1631	1414.83
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	TRINITY_DN101751_c0_g1_i1	752	536.093
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101813_c0_g1_i1	1505	1288.83
TRINITY_DN101833_c0_g1_i1	ier2	Chr03	129491240	129491240	TRINITY_DN101833_c0_g1_i1	1219	1002.83
TRINITY_DN101876_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101876_c0_g1_i1	837	620.958
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN101903_c0_g1_i1	1789	1572.83
TRINITY_DN101903_c0_g2_i2	rnft1	Chr02	87452051	87452051	TRINITY_DN101903_c0_g2_i2	1568	1351.83
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN10201_c0_g1_i1	2868	2651.83
TRINITY_DN102033_c1_g2_i1	NA	NA	NA	NA	TRINITY_DN102033_c1_g2_i1	455	242.268
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	TRINITY_DN102065_c0_g1_i1	1769	1552.83
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102108_c0_g1_i1	660	444.188
TRINITY_DN102162_c0_g1_i1	LOC100486925-like	Chr09	18751230	18751230	TRINITY_DN102162_c0_g1_i1	1105	888.835
TRINITY_DN102303_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102303_c0_g1_i1	652	436.203
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102365_c0_g1_i1	1121	904.835
TRINITY_DN102370_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102370_c0_g1_i1	571	355.624
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102412_c0_g1_i1	1217	1000.83
TRINITY_DN102559_c0_g2_i1	LOC100485278	Chr10	24700728	24700728	TRINITY_DN102559_c0_g2_i1	1371	1154.83
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102628_c0_g1_i1	2844	2627.83
TRINITY_DN102868_c0_g1_i4	NA	NA	NA	NA	TRINITY_DN102868_c0_g1_i4	452	239.406
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN102894_c0_g1_i2	1065	848.835
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN102894_c0_g2_i1	785	569.039
TRINITY_DN102894_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN102894_c0_g3_i1	736	520.093
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102903_c0_g1_i1	422	211.102
TRINITY_DN102931_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN102931_c0_g1_i1	833	616.979
TRINITY_DN102931_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN102931_c0_g2_i1	843	626.958
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN103049_c0_g4_i1	1010	793.835
TRINITY_DN103100_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103100_c0_g1_i1	609	393.397
TRINITY_DN103196_c0_g1_i2	mrpl41	scaffold_480	103706	103706	TRINITY_DN103196_c0_g1_i2	770	554.039
TRINITY_DN103233_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103233_c0_g1_i1	372	165.439
TRINITY_DN103260_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103260_c0_g1_i1	535	320.109
TRINITY_DN103424_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103424_c0_g1_i1	604	388.462
TRINITY_DN103526_c0_g1_i1	rgs9bp	Chr10	16566157	16566157	TRINITY_DN103526_c0_g1_i1	1379	1162.83
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103537_c0_g1_i1	947	730.911
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103565_c0_g1_i1	1625	1408.83
TRINITY_DN103565_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN103565_c0_g2_i1	1581	1364.83
TRINITY_DN103565_c0_g4_i1	thap5	Chr03	56033628	56033628	TRINITY_DN103565_c0_g4_i1	1714	1497.83
TRINITY_DN103567_c0_g1_i1	lasp1	Chr10	3688057	3688057	TRINITY_DN103567_c0_g1_i1	2997	2780.83
TRINITY_DN103621_c0_g1_i2	parpbp	Chr03	39656922	39656922	TRINITY_DN103621_c0_g1_i2	1930	1713.83
TRINITY_DN103622_c0_g3_i3	rcor2	Chr04	40885768	40885768	TRINITY_DN103622_c0_g3_i3	2042	1825.83
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103637_c0_g1_i1	2550	2333.83
TRINITY_DN103637_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN103637_c0_g2_i1	2359	2142.83
TRINITY_DN103653_c0_g1_i1	gpr22	Chr03	66920676	66920676	TRINITY_DN103653_c0_g1_i1	2134	1917.83
TRINITY_DN103679_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103679_c0_g1_i1	734	518.093
TRINITY_DN103704_c0_g1_i1	LOC594890	Chr08	106161888	106161888	TRINITY_DN103704_c0_g1_i1	1169	952.835
TRINITY_DN103783_c0_g1_i1	fam175a	Chr01	123992821	123992821	TRINITY_DN103783_c0_g1_i1	1877	1660.83
TRINITY_DN103798_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103798_c0_g1_i1	2282	2065.83
TRINITY_DN103834_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103834_c0_g1_i1	582	366.564
TRINITY_DN103834_c0_g11_i1	NA	NA	NA	NA	TRINITY_DN103834_c0_g11_i1	579	363.576
TRINITY_DN103834_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN103834_c0_g3_i1	555	339.834
TRINITY_DN103838_c0_g1_i1	kpna7	Chr09	38771710	38771710	TRINITY_DN103838_c0_g1_i1	1701	1484.83
TRINITY_DN103882_c0_g1_i1	josd2	Chr04	117842261	117842261	TRINITY_DN103882_c0_g1_i1	949	732.911
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN103897_c0_g2_i1	1605	1388.83
TRINITY_DN103897_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN103897_c0_g3_i1	1493	1276.83
TRINITY_DN103900_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN103900_c0_g2_i1	511	296.5
TRINITY_DN103905_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103905_c0_g1_i1	746	530.093
TRINITY_DN103912_c0_g1_i1	ppp1r14c	Chr05	39489099	39489099	TRINITY_DN103912_c0_g1_i1	2610	2393.83
TRINITY_DN104125_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104125_c0_g2_i1	892	675.958
TRINITY_DN104136_c0_g1_i1	not	Chr01	10478571	10478571	TRINITY_DN104136_c0_g1_i1	1384	1167.83
TRINITY_DN104337_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104337_c0_g1_i1	1286	1069.83
TRINITY_DN104354_c0_g1_i5	NA	NA	NA	NA	TRINITY_DN104354_c0_g1_i5	753	537.093
TRINITY_DN104356_c0_g1_i3	NA	NA	NA	NA	TRINITY_DN104356_c0_g1_i3	962	745.911
TRINITY_DN104411_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN104411_c0_g3_i1	551	335.89
TRINITY_DN104428_c0_g1_i2	abhd6	scaffold_87	401904	401904	TRINITY_DN104428_c0_g1_i2	2072	1855.83
TRINITY_DN104434_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104434_c0_g1_i1	931	714.911
TRINITY_DN104434_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104434_c0_g2_i1	2466	2249.83
TRINITY_DN104441_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104441_c0_g2_i1	462	249.037
TRINITY_DN104496_c0_g2_i1	LOC100498003	Chr03	22984987	22984987	TRINITY_DN104496_c0_g2_i1	1705	1488.83
TRINITY_DN104550_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104550_c0_g2_i1	897	680.958
TRINITY_DN104666_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104666_c0_g2_i1	2130	1913.83
TRINITY_DN104740_c0_g1_i2	pdcd6	Chr06	38397611	38397611	TRINITY_DN104740_c0_g1_i2	1315	1098.83
TRINITY_DN104749_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104749_c0_g1_i1	457	244.194
TRINITY_DN104751_c0_g1_i2	use1	Chr01	99717791	99717791	TRINITY_DN104751_c0_g1_i2	1694	1477.83
TRINITY_DN104838_c0_g1_i1	c10orf118-like	scaffold_132	281820	281820	TRINITY_DN104838_c0_g1_i1	3516	3299.83
TRINITY_DN104965_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN104965_c0_g2_i1	471	257.807
TRINITY_DN105030_c0_g1_i1	tacr3	Chr01	63787145	63787145	TRINITY_DN105030_c0_g1_i1	1921	1704.83
TRINITY_DN105215_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105215_c0_g1_i1	1679	1462.83
TRINITY_DN105352_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN105352_c0_g4_i1	530	315.184
TRINITY_DN105413_c0_g1_i1	bloc1s1	Chr02	133827050	133827050	TRINITY_DN105413_c0_g1_i1	1034	817.835
