gid	Am1_434	base	logAm1_434	Am2_433	logAm2_433	Am2_434	logAm2_434	Am4_434	logAm4_434	Am4_435	logAm4_435	Am5_433	logAm5_433	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN142384_c0_g1_i1	15.04749048	2	3.911450999	3.214751221	1.684707096	10.53695483	3.397386085	13.29074519	3.732350091	4.08381384	2.029917103	1.622591028	0.698299416	NA	NA	NA	NA	1.764107813	2.131405655	0.000336921	0.0468284	12.95839683	3.695826472	meanmale	2.973718696	1.572316694	meanfemale	FC1
TRINITY_DN124874_c1_g1_i1	40.88305234	2	5.353431007	8.129196047	3.023112681	21.53134352	4.428366439	22.25215596	4.475873217	5.268541931	2.397403751	5.801912592	2.536528561	rnf26	Chr07	86057804	86057804	4.634777705	2.164275802	5.38E-06	0.001166759	28.22218394	4.81876284	meanmale	6.399883523	2.678068191	meanfemale	FC1
TRINITY_DN131565_c0_g5_i1	15.42246814	2	3.946961761	11.66611057	3.544251748	86.19738739	6.429572237	32.37573787	5.016841168	10.95132307	3.453033273	6.22493222	2.638058129	NA	NA	NA	NA	4.10031904	2.24757282	0.000273893	0.039131517	44.6651978	5.481082476	meanmale	9.614121953	3.26517011	meanfemale	FC1
TRINITY_DN126159_c0_g1_i2	7.063778283	2	2.820440061	2.936611954	1.55415264	38.88257034	5.281051687	38.79599722	5.277835905	7.780326111	2.959830627	6.126048732	2.614956843	prkcd	Chr04	113363332	113363332	3.571094011	2.363546726	0.000341786	0.047247819	28.24744861	4.820053768	meanmale	5.614328932	2.489139287	meanfemale	FC1
TRINITY_DN127436_c2_g1_i1	2.024516002	2	1.017577046	0.366353919	-1.448690046	1.691031516	0.757903548	1.317005152	0.397260989	0.43299405	-1.207580895	0.056860106	-4.136439401	NA	NA	NA	NA	2.155605022	2.555936696	0.000236706	0.034394945	1.677517557	0.746413865	meanmale	0.285402692	-1.808423748	meanfemale	FC1
TRINITY_DN121490_c3_g1_i3	1.632406939	2	0.707000748	0.34903472	-1.51855754	1.467716152	0.553572986	2.147793191	1.102855084	0.34959701	-1.516235249	0.082078898	-3.606844828	NA	NA	NA	NA	1.104769532	2.746749474	7.15E-05	0.012022079	1.749305427	0.806864675	meanmale	0.260236876	-1.941548415	meanfemale	FC1
TRINITY_DN209985_c0_g1_i1	4.056448012	2	2.020216999	0.835418615	-0.259428805	4.881214774	2.287240232	3.373898796	1.754416699	0.669411571	-0.579034606	0.27012808	-1.888284478	NA	NA	NA	NA	0.936700073	2.793083223	3.93E-05	0.006880595	4.103853861	2.037014511	meanmale	0.591652755	-0.756933576	meanfemale	FC1
TRINITY_DN133889_c1_g7_i1	37.03549014	2	5.210836525	32.53955504	5.024122618	413.1620369	8.690563889	83.69668328	6.387098548	32.84462682	5.037585469	10.11367906	3.338235998	Xetrov90000522m	Chr01	20771304	20771304	5.318671832	2.850644919	0.000206158	0.03138267	177.9647368	7.475448404	meanmale	25.16595364	4.653407096	meanfemale	FC1
TRINITY_DN119926_c0_g1_i1	7.101062924	2	2.828034991	5.99605284	2.584013097	44.50452141	5.475880008	23.2089425	4.536608884	3.076096596	1.621100808	0.945751793	-0.080466488	stk16	Chr09	78602996	78602996	2.690324597	2.931996685	0.000159173	0.024821245	24.93817561	4.640289807	meanmale	3.33930041	1.73958909	meanfemale	FC1
TRINITY_DN116044_c0_g2_i1	0.8918919	2	-0.165059233	0.2479729	-2.011745632	5.178351663	2.372492942	4.356884658	2.123296921	0.165581588	-2.594385835	0.926532451	-0.110086589	nxnl1	Chr03	124621269	124621269	1.275481359	3.022782272	0.000284699	0.040449391	3.475709407	1.797348975	meanmale	0.446695646	-1.162312967	meanfemale	FC3
TRINITY_DN133889_c1_g4_i7	20.56011528	2	4.361776449	23.53099088	4.556490168	243.9689004	7.930553444	122.0970526	6.931884564	15.32367361	3.937690297	5.022190309	2.328316699	NA	NA	NA	NA	4.936104637	3.176505723	3.59E-05	0.006374431	128.8753561	7.009833723	meanmale	14.62561827	3.870435572	meanfemale	FC3
TRINITY_DN116044_c0_g1_i1	0.432017174	2	-1.21083943	0.17247114	-2.535573122	5.374510684	2.426133412	3.499036808	1.806957841	0.201540487	-2.310858407	0.669211295	-0.579466299	NA	NA	NA	NA	1.040033974	3.212457175	0.000351007	0.048261594	3.101854889	1.633177706	meanmale	0.347740974	-1.52350021	meanfemale	FC3
TRINITY_DN129533_c4_g2_i3	5.598925461	2	2.485149973	2.120437617	1.08436204	66.35706491	6.05217817	4.318252507	2.110447606	2.176294445	1.121873761	3.555128924	1.829901879	Xetrov90029798m	scaffold_622	10589	10589	4.147019781	3.318206368	0.000114792	0.018348075	25.42474763	4.668167223	meanmale	2.617286995	1.388127251	meanfemale	FC3
TRINITY_DN129733_c3_g5_i1	5.094202507	2	2.348856311	0.193687828	-2.368194802	6.271428808	2.648794167	4.021284013	2.007656234	0.678999497	-0.558517589	0.501023271	-0.997050481	NA	NA	NA	NA	0.973774169	3.489854998	1.03E-06	0.000260346	5.128971776	2.35869776	meanmale	0.457903532	-1.126569371	meanfemale	FC3
TRINITY_DN130291_c2_g1_i1	3.891592366	2	1.9603606	0.120220031	-3.056250798	4.448698268	2.153383251	3.738255521	1.902365185	0.32110321	-1.638891007	0.570129929	-0.810637357	NA	NA	NA	NA	0.892675075	3.6131319	7.19E-07	0.000201945	4.026182052	2.00944824	meanmale	0.337151057	-1.568105131	meanfemale	FC3
TRINITY_DN127614_c0_g1_i2	0.109739575	2	-3.187844201	0.284768568	-1.812138181	7.080633005	2.823878342	1.511814069	0.59628072	0.209166706	-2.257274865	0.147325396	-2.762921951	NA	NA	NA	NA	1.480580082	3.781880606	0.000248985	0.035974753	2.900728883	1.536465195	meanmale	0.213753557	-2.225304894	meanfemale	FC3
TRINITY_DN125925_c5_g1_i1	8.123323911	2	3.022070172	0.794667797	-0.331576213	2.321557194	1.215092824	3.092750743	1.628890566	0	NA	0	NA	fut8	Chr08	99166881	99166881	0.944798779	4.068266362	0.000213234	0.031730211	4.512543949	2.173972953	meanmale	0.264889266	-1.915994176	meanfemale	FC3
TRINITY_DN130234_c0_g4_i4	0.462774877	2	-1.111617549	0.695244621	-0.524407417	25.21436869	4.656174199	0.359512923	-1.475884464	0.105509796	-3.244551143	0.177117971	-2.497217495	kcnj1	Chr07	66717587	66717587	3.826813049	4.777365441	0.000166273	0.025771301	8.678885497	3.117526413	meanmale	0.325957463	-1.616801855	meanfemale	FC3
TRINITY_DN134625_c0_g1_i4	0.277930615	2	-1.847203334	0.311112651	-1.684491033	15.01046022	3.907896305	11.53489637	3.527933138	0.368270913	-1.441160641	0.182902889	-2.450850232	NA	NA	NA	NA	3.447526869	4.984260611	6.16E-07	0.000181055	8.941095735	3.160467781	meanmale	0.287428818	-1.798221537	meanfemale	FC3
TRINITY_DN129279_c4_g4_i1	30.82769725	2	4.946155223	0.231873314	-2.108591303	6.021324322	2.590080826	5.803272981	2.536866794	0.309662478	-1.691231514	0.499833192	-1.000481386	lmbrd1	Chr05	90577488	90577488	1.640831693	5.343337432	1.56E-09	1.45E-06	14.21743152	3.829599097	meanmale	0.347122995	-1.526065602	meanfemale	FC5
TRINITY_DN180950_c0_g1_i1	0.131075701	2	-2.931527833	0	NA	3.606675361	1.850669571	3.43952124	1.782207765	0.075707261	-3.723424516	0.048880319	-4.354602489	NA	NA	NA	NA	0.191856859	5.731592986	2.89E-06	0.000660014	2.392424101	1.258533458	meanmale	0.041529193	-4.586260587	meanfemale	FC5
TRINITY_DN27210_c0_g1_i1	0	2	NA	0.385083492	-1.376756817	39.18715279	5.29230885	36.94483384	5.207300735	0.257135904	-1.959397027	0	NA	NA	NA	NA	NA	2.745061041	6.845879572	6.84E-06	0.001410605	25.37732888	4.665474004	meanmale	0.214073132	-2.223150589	meanfemale	FC5
TRINITY_DN113348_c0_g3_i1	8.873032887	2	3.149427316	0.063429932	-3.978692394	4.447329016	2.15293914	3.89661551	1.962221584	0	NA	0	NA	NA	NA	NA	NA	0.632990371	7.537763162	1.53E-12	4.34E-09	5.738992471	2.52082262	meanmale	0.021143311	-5.556847569	meanfemale	FC7
TRINITY_DN121465_c5_g2_i1	31.7826974	2	4.990169666	0	NA	18.33474321	4.196508155	11.3304103	3.5021282	0	NA	0.26469154	-1.91761601	NA	NA	NA	NA	2.318275603	7.910859932	4.17E-17	3.55E-13	20.48261697	4.356335192	meanmale	0.088230513	-3.500944294	meanfemale	FC7
TRINITY_DN128130_c4_g11_i1	1.823129757	2	0.866417245	0	NA	4.569551711	2.192052639	2.450353962	1.292990167	0	NA	0	NA	NA	NA	NA	NA	0.418464669	9.167846809	6.39E-13	2.04E-09	2.947678477	1.559628111	meanmale	0	-13.28771238	meanfemale	FC7
TRINITY_DN127093_c0_g4_i1	12.57132116	2	3.65206437	0	NA	14.92107033	3.899279123	0	NA	0	NA	0	NA	NA	NA	NA	NA	0.916920732	9.68734612	9.31E-08	3.72E-05	9.164130497	3.196013745	meanmale	0	-13.28771238	meanfemale	FC7
TRINITY_DN127464_c0_g2_i1	16.3838248	2	4.034200288	0	NA	8.943351416	3.160815566	4.593455511	2.199579856	0	NA	0	NA	b3galt1	Chr09	64355431	64355431	1.085221133	9.864909739	3.96E-15	1.69E-11	9.973543909	3.318120695	meanmale	0	-13.28771238	meanfemale	FC7
TRINITY_DN127464_c0_g7_i1	15.69071223	2	3.971838935	0	NA	9.030036572	3.174731831	7.576191556	2.921472808	0	NA	0	NA	NA	NA	NA	NA	1.108000475	9.888689647	1.57E-16	1.00E-12	10.76564679	3.428376493	meanmale	0	-13.28771238	meanfemale	FC7
