gid	gname	chr	start	end	logFC.XY43.XX43	abslogFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	16477067	16477067	-4.180733467	4.180733467	female	0.745128049	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	-6.765767424	6.765767424	female	0.856680274	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN109666_c0_g1_i1	NA	NA	NA	NA	-5.915561205	5.915561205	female	0.808450443	Ovary_mean	0.1894	0.3577	1.8886
TRINITY_DN109929_c0_g1_i1	steap1	Chr06	20814169	20814169	-5.041153273	5.041153273	female	0.830558631	Ovary_mean	0.0768	0.1115	1.4529
TRINITY_DN110103_c0_g1_i1	NA	NA	NA	NA	-4.563973049	4.563973049	female	0.873793545	Ovary_mean	0.0936	0.1712	1.8293
TRINITY_DN110679_c0_g1_i1	NA	NA	NA	NA	-6.009040831	6.009040831	female	0.890071596	Ovary_mean	0.1135	0.1386	1.2213
TRINITY_DN111028_c0_g1_i1	fam172a	Chr01	171646628	171646628	-6.455165359	6.455165359	female	0.860872775	Ovary_mean	0.1157	0.1407	1.2163
TRINITY_DN111236_c0_g1_i1	NA	NA	NA	NA	-3.74342717	3.74342717	female	0.796821699	Ovary_mean	0.0342	0.0568	1.6622
TRINITY_DN112272_c0_g1_i1	NA	NA	NA	NA	-5.163111735	5.163111735	female	0.853146705	Ovary_mean	0.2092	0.3533	1.6892
TRINITY_DN117125_c0_g1_i1	NA	NA	NA	NA	-3.841147209	3.841147209	female	0.777255934	Ovary_mean	0.0591	0.1002	1.6963
TRINITY_DN118281_c0_g1_i1	NA	NA	NA	NA	-5.184766098	5.184766098	female	0.877922663	Ovary_mean	0.1003	0.1719	1.7135
TRINITY_DN119288_c0_g1_i2	Xetrov90006124m	Chr02	129202544	129202544	-4.845393213	4.845393213	female	0.866339988	Ovary_mean	0.1552	0.1958	1.2617
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	-4.676646489	4.676646489	female	0.794547002	Ovary_mean	0.1386	0.2642	1.9053
TRINITY_DN120071_c0_g1_i2	NA	NA	NA	NA	-4.919958981	4.919958981	female	0.859855661	Ovary_mean	0.0762	0.1438	1.8866
TRINITY_DN121071_c0_g1_i4	nkx2-4	Chr05	25188671	25188671	-4.420462375	4.420462375	female	0.843946808	Ovary_mean	0.0735	0.1288	1.7517
TRINITY_DN121355_c0_g1_i4	NA	NA	NA	NA	-5.094790784	5.094790784	female	0.868801809	Ovary_mean	0.1721	0.2608	1.5154
TRINITY_DN123296_c1_g1_i2	NA	NA	NA	NA	-2.752975065	2.752975065	female	0.772476373	Testis_mean	0.2322	0.308	1.3264
TRINITY_DN123821_c0_g1_i1	NA	NA	NA	NA	-3.15109905	3.15109905	female	0.862053946	Ovary_mean	0.084	0.1512	1.8005
TRINITY_DN124147_c1_g3_i2	NA	NA	NA	NA	-3.765222551	3.765222551	female	0.77973702	Ovary_mean	0.07	0.1015	1.4493
TRINITY_DN124325_c0_g1_i1	NA	NA	NA	NA	-5.358873034	5.358873034	female	0.811035619	Ovary_mean	0.1505	0.2156	1.4328
TRINITY_DN124339_c4_g3_i4	NA	NA	NA	NA	-3.056139692	3.056139692	female	0.763090528	Testis_mean	0.1292	0.1908	1.4771
TRINITY_DN124649_c0_g1_i1	NA	NA	NA	NA	-3.372459469	3.372459469	female	0.627763467	Ovary_mean	0.0572	0.0657	1.1483
TRINITY_DN125971_c0_g1_i2	NA	NA	NA	NA	-4.299730534	4.299730534	female	0.902583328	Ovary_mean	0.039	0.0653	1.6722
TRINITY_DN126078_c0_g1_i1	NA	NA	NA	NA	-5.177776576	5.177776576	female	0.86741228	Ovary_mean	0.189	0.3196	1.6912
TRINITY_DN126089_c1_g1_i2	skiv2l2-like	Chr01	178712368	178712368	-3.19676856	3.19676856	female	0.750716773	Testis_mean	0.222	0.3588	1.6162
TRINITY_DN126410_c3_g1_i3	NA	NA	NA	NA	-2.437969947	2.437969947	female	0.552648125	Ovary_mean	0.2241	0.4171	1.8618
TRINITY_DN126729_c2_g1_i2	NA	NA	NA	NA	-4.636947592	4.636947592	female	0.874467516	Ovary_mean	0.1025	0.1457	1.4211
TRINITY_DN126783_c1_g5_i3	LOC101734633	Chr10	16918626	16918626	-6.206898715	6.206898715	female	0.870326524	Ovary_mean	0.046	0.0703	1.529
