gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100194_c0_g1_i1	dner	Chr05	125518548	125518548	-0.179462298	unbias	0.792246634	Brain_fmean	0.0782	0.0539	0.6898
TRINITY_DN100260_c0_g2_i1	cdc16	Chr02	108267164	108267164	-0.056845661	unbias	0.257661278	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100348_c0_g1_i1	NA	NA	NA	NA	0.278376145	unbias	0.945528011	Brain_mmean	0.0384	0.0638	1.659
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.527140121	unbias	0.33834217	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100514_c0_g1_i1	NA	NA	NA	NA	0.35997615	unbias	0.914820161	Brain_mmean	0.045	0.0447	0.9937
TRINITY_DN100638_c0_g2_i1	mertk	Chr05	38783057	38783057	0.134521501	unbias	0.195032263	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	ednrb2	Chr08	44124017	44124017	0.25251502	unbias	0.437639948	G27_mmean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	plcxd3	Chr01	182748621	182748621	-0.180671364	unbias	0.606357753	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101292_c0_g1_i3	NA	NA	NA	NA	-0.104700202	unbias	0.876163604	Brain_fmean	0.0589	0.0678	1.1513
TRINITY_DN101356_c0_g1_i1	pdcd6ip	Chr06	82552138	82552138	0.052898494	unbias	0.654838779	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	cyb561	Chr10	7711105	7711105	0.107111481	unbias	0.484065879	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	blmh	Chr02	24132124	24132124	-0.005117627	unbias	0.170045449	G23_mmean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.034137587	unbias	0.253323869	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	fam172b	Chr02	101553638	101553638	0.421028978	unbias	0.459006234	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101798_c0_g1_i1	NA	NA	NA	NA	0.050596514	unbias	0.936851828	Brain_mmean	0.0971	0.0987	1.0167
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.178326129	unbias	0.412454283	Brain_fmean	0.0979	0.1516	1.5493
