gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	logFC.XY46.SR46	logFC.SR46.XX46	PV.XY46.XX46	PV.XY46.SR46	PV.SR46.XX46	FDR.XY46.XX46	FDR.XY46.SR46	FDR.SR46.XX46
TRINITY_DN126421_c2_g1_i1	NA	NA	NA	NA	5.13509803249762	-3.42202298283146	-0.13262369965737	-3.28939928317409	3.0513267455065e-26	0.741487654563928	4.75779624953497e-11	2.58338838218554e-24	1	3.50991811040255e-09
TRINITY_DN129746_c0_g2_i1	NA	NA	NA	NA	2.91253852405478	-3.02426989592432	0.0798208883833359	-3.10409078430766	1.44185773093361e-14	0.877029505824943	2.83845201931695e-07	5.19686722163641e-13	1	9.81015677361186e-06
TRINITY_DN130934_c0_g1_i1	NA	NA	NA	NA	2.17664624559488	-3.34986157305317	0.666964064096735	-4.01682563714991	3.71956043086032e-14	0.288226677609558	1.89306112952022e-08	1.27506127269845e-12	1	8.52891648174913e-07
TRINITY_DN120456_c0_g1_i1	NA	NA	NA	NA	4.97980615034649	-12.2566765140594	-0.989094052062436	-11.2675824619969	2.16487328948497e-89	0.560171587072807	5.60014479116118e-34	1.82065843645686e-86	1	3.92476814113879e-31
TRINITY_DN97717_c0_g2_i1	NA	NA	NA	NA	1.52148685297581	-10.69722660398	0	-10.69722660398	9.46918787962369e-31	1	3.04984202543044e-13	9.91317884659359e-29	1	3.04140372733636e-11
TRINITY_DN132433_c1_g3_i2	NA	NA	NA	NA	5.09167696040291	-3.05578697871492	-0.217948662841286	-2.83783831587363	8.81319986205031e-21	0.592490172269194	1.26477512336948e-08	5.15909588212365e-19	1	5.96453763787138e-07
TRINITY_DN93756_c0_g1_i1	NA	NA	NA	NA	0.733935595206846	8.88999458353963	0.16249993698873	8.7274946465509	2.33345103283829e-13	0.807783350862994	4.34448349816497e-11	7.34993377759175e-12	1	3.2429384218551e-09
TRINITY_DN116959_c0_g6_i1	NA	NA	NA	NA	4.96662731151847	0.758904953252299	13.1004183786455	-12.3415134253932	0.515449726633442	2.12479885955143e-05	4.8755733575005e-05	0.691818097827521	0.00734365414061406	0.00090984257255723
TRINITY_DN135970_c0_g1_i2	NA	NA	NA	NA	3.56212405640582	-3.87882986059619	0.509598875806233	-4.38842873640242	5.71790732531453e-18	0.38979828000059	1.95075506017261e-09	2.77438144899702e-16	1	1.06994674278598e-07
TRINITY_DN124802_c6_g3_i1	NA	NA	NA	NA	4.31676887078207	-3.28263348385434	-1.31955335164916	-1.96308013220518	2.37697058541026e-08	0.0542218688596308	0.0203203108647558	4.06307370392282e-07	1	0.114323394738352
TRINITY_DN127676_c1_g3_i5	NA	NA	NA	NA	1.45632264646075	-0.79220546876509	3.84247890130068	-4.63468437006577	0.353213852297476	0.00827387826953954	0.00256482787416396	0.557985441955125	0.634498324439157	0.0240470484077133
TRINITY_DN83270_c0_g1_i1	NA	NA	NA	NA	7.84399990851999	-12.2267307220046	4.81573679739662	-17.0424675194012	1.40140683982915e-98	0.0129766738996608	1.30557572693682e-40	2.94645788074079e-95	0.797671420611464	1.09798918635386e-36
TRINITY_DN103880_c0_g1_i1	NA	NA	NA	NA	0.129611532681475	-0.267048268746687	3.97418914776498	-4.24123741651167	0.740820332251454	0.00574891087722775	0.00407870288347309	0.852998219364009	0.49885572220416	0.0345352139527994
TRINITY_DN130378_c8_g3_i1	NA	NA	NA	NA	3.62887929187145	-3.41244480470104	-0.637220900462628	-2.77522390423841	6.26299688423151e-14	0.249189827146037	4.49316663806689e-05	2.09756578366437e-12	1	0.000844099734016586
TRINITY_DN96290_c0_g1_i1	NA	NA	NA	NA	4.80804147061605	-1.77510767565431	1.75815561931104	-3.53326329496535	0.0152684416133889	0.0941694716293552	0.00332746843073061	0.0686304617683594	1	0.0295918323959581
TRINITY_DN109288_c0_g1_i1	NA	NA	NA	NA	0.0904279464838783	-4.12325940328033	0.199389993195838	-4.32264939647617	3.07176783859722e-09	0.851606752680489	6.61843606629074e-05	6.00315279378838e-08	1	0.00118511811179926
TRINITY_DN126089_c1_g1_i2	NA	NA	NA	NA	4.70610200017703	-6.72505210346656	-3.23637687611095	-3.48867522735561	2.58815824184715e-55	1.05054695474417e-12	7.70207630530394e-10	6.04622522609292e-53	2.20877497234963e-09	4.62674726625758e-08
TRINITY_DN127202_c3_g6_i1	gabra6	Chr03	15262639	15262639	2.33620208895385	-3.22159177341413	-0.289435126308761	-2.93215664710537	2.90645316169321e-12	0.624903319697263	2.40681108689586e-05	8.17500705345816e-11	1	0.000495571846313547
TRINITY_DN109791_c0_g2_i1	NA	NA	NA	NA	2.15692912242775	-5.28101199580823	-2.58299190047766	-2.69802009533057	9.44832810419621e-14	0.0010405705977742	0.00426158575965136	3.12017432027317e-12	0.153529802233	0.0356616280981771
TRINITY_DN122597_c0_g1_i2	NA	NA	NA	NA	2.08352332715577	-3.80454847548968	0.879030379567093	-4.68357885505677	6.11443809510297e-12	0.263733993009994	3.7556184067781e-07	1.6534541601227e-10	1	1.25668769765267e-05
TRINITY_DN130605_c0_g1_i4	NA	NA	NA	NA	3.50656420049292	-3.01745105938749	0.0329230654998204	-3.05037412488731	6.26858739945672e-14	0.949195732457596	8.70122458663295e-07	2.09756578366437e-12	1	2.66099268267575e-05
TRINITY_DN98334_c0_g1_i1	anxa9	Chr08	106137096	106137096	2.4387693920306	-6.81044064796526	4.79712457284925	-11.6075652208145	7.41649675710785e-26	0.0173481368294704	4.0928187321377e-14	6.11497428698795e-24	0.925449664813611	4.50924963370455e-12
TRINITY_DN122337_c0_g1_i2	NA	NA	NA	NA	2.34433730700941	-4.02763557939989	-0.0779304377529308	-3.94970514164696	4.92415384588976e-20	0.895408083015377	6.27520821204797e-09	2.71852082126474e-18	1	3.14133934900735e-07
TRINITY_DN121548_c0_g1_i1	cln3-like	scaffold_318	151386	151386	4.35560364629183	-10.8574853883946	-1.1150243991416	-9.74246098925298	1.85937074621454e-69	0.414950373652098	4.21437813642961e-26	6.79882955463663e-67	1	1.41771680509492e-23
TRINITY_DN131611_c1_g2_i2	NA	NA	NA	NA	0.112156969144178	-3.04822953075761	-0.679780463153061	-2.36844906760454	1.41101401680236e-05	0.452669347294112	0.0185829984156741	0.000150910909893699	1	0.107357022765882
TRINITY_DN128047_c0_g2_i1	NA	NA	NA	NA	2.93166677328179	-4.46420345326106	-0.545603235261985	-3.91860021799907	5.79140266368694e-24	0.329834083712175	5.51959976633741e-09	4.05880803346726e-22	1	2.79637554427094e-07
TRINITY_DN63832_c0_g1_i1	NA	NA	NA	NA	3.52143293789964	-4.05278732596842	8.53846624237462	-12.591253568343	9.62049426449628e-12	4.27292989542558e-07	9.22730845831566e-14	2.52312962882787e-10	0.000245013684685426	9.70020801680434e-12
TRINITY_DN113308_c0_g1_i2	NA	NA	NA	NA	1.59442082436779	-8.06352925893114	-0.176398009895464	-7.88713124903567	3.16045959544793e-14	0.917063000795601	3.09941883384591e-06	1.08932234416873e-12	1	8.08452455916533e-05
TRINITY_DN114033_c0_g1_i2	NA	NA	NA	NA	0.0387907039966436	-7.23576443196396	1.90154586280154	-9.13731029476551	5.46251878455914e-15	0.408991521844761	1.07437015422925e-07	2.04176813236188e-13	1	4.07002387255315e-06
TRINITY_DN110103_c0_g1_i1	ccnc	Chr05	36244783	36244783	5.40085123114132	-8.57549350004818	0.949950486253094	-9.52544398630127	4.23457144611634e-49	0.273524778429605	1.10408554891323e-20	7.79841150259236e-47	1	2.24645793540974e-18
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	4.90952820639196	-9.02319919014268	1.27090993601393	-10.2941091261566	2.27158522655263e-75	0.225174432658478	1.73969354517811e-31	1.12376657384163e-72	1	9.97556094200995e-29
TRINITY_DN135514_c0_g1_i1	LOC100486587-like	Chr08	56863883	56863883	0.37213845710476	-9.5319249351995	0	-9.5319249351995	9.80299249485661e-18	1	4.4221764651176e-08	4.62298132047163e-16	1	1.81122584764476e-06
TRINITY_DN126177_c8_g1_i1	NA	NA	NA	NA	2.30800471438272	-5.95867978437332	-0.0450737225861995	-5.91360606178712	9.70655016505636e-26	0.957606212539445	5.57111812113085e-11	7.84923912385807e-24	1	4.06240780913674e-09
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	1.88584059297593	10.4715793070213	10.4715793070213	0	4.65557226810032e-24	1.4172293167005e-14	1	3.29019855249779e-22	3.57566956603537e-11	1
TRINITY_DN128157_c0_g1_i3	slc30a5	Chr01	173689269	173689269	2.82648004014937	-9.30476477475632	2.71272092212686	-12.0174856968832	1.44858981007018e-39	0.241963787211157	1.47118210700476e-17	2.06485428859156e-37	1	2.30080946923328e-15
TRINITY_DN113183_c0_g1_i2	NA	NA	NA	NA	8.32525367922028	-5.37491381622409	-0.0891918708111786	-5.28572194541291	1.74410620321142e-28	0.872059153065363	1.94971153468159e-11	1.64193281742628e-26	1	1.53722568812552e-09
TRINITY_DN125698_c0_g1_i8	NA	NA	NA	NA	2.32933565102588	-3.04098511214803	-0.230238199097228	-2.8107469130508	1.90602946429918e-11	0.692989291368095	3.66865778975194e-05	4.86732018059396e-10	1	0.000709273839352042
TRINITY_DN135189_c4_g1_i1	NA	NA	NA	NA	4.75597409731285	-5.02455374789463	0.307922237473225	-5.33247598536785	4.99318271385623e-44	0.507976924234696	2.01974569722183e-19	7.97329113105017e-42	1	3.77468029191902e-17
TRINITY_DN131756_c6_g1_i1	NA	NA	NA	NA	0.833875727731573	1.85176986011741	-1.53956736493565	3.39133722505306	0.00380589875951197	0.0149943596177317	5.29983247035211e-06	0.0219480744462827	0.846325935470628	0.000129317962501918
TRINITY_DN120854_c0_g1_i3	NA	NA	NA	NA	4.39513583769352	-3.33699273345746	-1.08248436677066	-2.25450836668681	1.40431230813335e-24	0.00534666567773687	1.81487268834267e-06	1.02401154723134e-22	0.47835593989114	5.13332263754323e-05
TRINITY_DN127748_c1_g2_i1	NA	NA	NA	NA	1.36241898829471	-0.728344742728596	8.84729948123189	-9.57564422396049	0.506728775850899	0.00101990579357396	0.000523425448047095	0.685290902687266	0.151872354715956	0.00666719699087788
TRINITY_DN3025_c0_g1_i1	NA	NA	NA	NA	1.72383968778809	-3.89552233951114	1.80820211682891	-5.70372445634006	2.56964315539871e-08	0.0912573330445162	4.92702692403565e-06	4.37758925122954e-07	1	0.000121514065780469
TRINITY_DN130393_c6_g2_i4	NA	NA	NA	NA	3.18151338321192	-8.50764396420751	-0.498670926581696	-8.00897303762582	9.15171072973893e-45	0.656302951959738	1.71410485239214e-17	1.47068574338416e-42	1	2.63700398938133e-15
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	5.75911340090494	-14.9573583075996	0	-14.9573583075996	2.20050293959663e-96	1	6.22652078563881e-37	2.77593445830115e-93	1	8.26816418008775e-34
TRINITY_DN96966_c0_g2_i1	NA	NA	NA	NA	0.0669046052856633	-9.11513831188936	0	-9.11513831188936	5.46093506502115e-12	1	1.25836335827658e-05	1.48629332999443e-10	1	0.000282711554134622
TRINITY_DN125025_c0_g1_i2	NA	NA	NA	NA	5.03392362065786	-6.49193032498893	-1.04982513629455	-5.44210518869438	1.29018024677842e-50	0.0353757691544039	2.22934000272105e-16	2.50394212509381e-48	1	3.07356547916132e-14
