gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	0.369321195	0.369321195	unbias	0.156573961	G46_F_mean
TRINITY_DN100055_c0_g1_i1	NA	NA	NA	NA	1.222249772	1.222249772	unbias	0.821503649	Liver_mean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.569287571	0.569287571	unbias	0.455835556	Ovary_mean
TRINITY_DN100099_c0_g2_i1	dnajb11	Chr09	43499058	43499058	-0.171326036	0.171326036	unbias	0.408639329	Ovary_mean
TRINITY_DN100160_c0_g1_i1	prkcq	Chr03	74606063	74606063	-0.016152498	0.016152498	unbias	0.701499569	Liver_mean
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	0.349531037	0.349531037	unbias	0.250670296	Ovary_mean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-0.184999738	0.184999738	unbias	0.472032646	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.264037412	0.264037412	unbias	0.262335873	G46_M_mean
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	1.086242361	1.086242361	unbias	0.375960092	Testis_mean
TRINITY_DN100376_c0_g1_i1	Xetrov90003149m	Chr01	153885424	153885424	-0.179337366	0.179337366	unbias	0.345277235	G31_mean
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	0.962822872	0.962822872	unbias	0.598050901	Liver_mean
TRINITY_DN100376_c0_g3_i1	bcar1	Chr04	51234279	51234279	1.338158491	1.338158491	male	0.853507647	Liver_mean
TRINITY_DN100410_c0_g1_i1	galnt10	Chr03	9068162	9068162	0.146973323	0.146973323	unbias	0.378138338	Brain_mean
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	-0.449796411	0.449796411	unbias	0.380726878	Brain_mean
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	0.201943489	0.201943489	unbias	0.156980954	Brain_mean
TRINITY_DN100617_c0_g1_i1	NA	NA	NA	NA	-0.121563239	0.121563239	unbias	0.681578814	Brain_mean
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.337962097	0.337962097	unbias	0.194444628	Ovary_mean
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.130418902	0.130418902	unbias	0.115938334	Brain_mean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	-0.392645571	0.392645571	unbias	0.133099765	G43_M_mean
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	-0.012293937	0.012293937	unbias	0.26436211	G46_M_mean
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	-0.321921819	0.321921819	unbias	0.482394987	G27_mean
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.68751074	1.68751074	unbias	0.600952679	Liver_mean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.186712136	0.186712136	unbias	0.257924434	G46_F_mean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	-0.295410446	0.295410446	unbias	0.173797402	Ovary_mean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.720664544	0.720664544	unbias	0.290451992	Ovary_mean
TRINITY_DN100986_c0_g2_i2	NA	NA	NA	NA	-0.554325322	0.554325322	unbias	0.591589178	Liver_mean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.532768097	0.532768097	unbias	0.221386767	G43_F_mean
TRINITY_DN101023_c0_g2_i1	NA	NA	NA	NA	-0.24477758	0.24477758	unbias	0.564474088	G43_M_mean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-0.77911209	0.77911209	unbias	0.568551038	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-0.222082881	0.222082881	unbias	0.674802958	Ovary_mean
TRINITY_DN101074_c0_g1_i1	socs6	scaffold_21	2671703	2671703	-0.079704726	0.079704726	unbias	0.194238419	G23_mean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	0.354097788	0.354097788	unbias	0.272358664	Ovary_mean
TRINITY_DN101150_c0_g1_i1	uba2	Chr04	19265605	19265605	-0.712300915	0.712300915	unbias	0.467467793	G23_mean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	-1.399066054	1.399066054	unbias	0.442735358	Ovary_mean
TRINITY_DN101180_c0_g1_i1	LOC100494811	Chr04	21103744	21103744	0.559480538	0.559480538	unbias	0.578716991	G43_M_mean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	0.956406433	0.956406433	unbias	0.359381798	Ovary_mean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.570129875	0.570129875	unbias	0.424543137	G23_mean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	-0.229064212	0.229064212	unbias	0.218768651	Brain_mean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.523762184	0.523762184	unbias	0.24382234	Ovary_mean
TRINITY_DN101325_c0_g1_i1	mmadhc	Chr09	71696330	71696330	0.505004273	0.505004273	unbias	0.780858937	Liver_mean
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.556825433	1.556825433	unbias	0.723192401	Liver_mean
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.086503554	0.086503554	unbias	0.319042261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	pdia2	Chr09	9296722	9296722	0.090309412	0.090309412	unbias	0.608105373	Ovary_mean
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	0.725958131	0.725958131	unbias	0.493693894	G23_mean
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-1.564645331	1.564645331	unbias	0.431514611	G31_mean
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	-0.087884536	0.087884536	unbias	0.396883116	G27_mean
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	-0.131847841	0.131847841	unbias	0.219601614	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-0.121452802	0.121452802	unbias	0.456256144	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	0.387651793	0.387651793	unbias	0.450467266	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	1.054883038	1.054883038	unbias	0.377335453	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.453132028	0.453132028	unbias	0.253034125	Brain_mean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.358560448	0.358560448	unbias	0.155105807	G23_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-0.07810206	0.07810206	unbias	0.246994246	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.574828982	0.574828982	unbias	0.408787278	Ovary_mean
TRINITY_DN101562_c0_g2_i1	copz1	Chr02	142395009	142395009	-0.956561713	0.956561713	unbias	0.679525567	Brain_mean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.866244377	0.866244377	unbias	0.155789205	G43_F_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.308251224	0.308251224	unbias	0.42239493	G43_F_mean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	-0.31133529	0.31133529	unbias	0.332059141	G43_M_mean
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	-0.071379956	0.071379956	unbias	0.488707151	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	0.416616166	0.416616166	unbias	0.100775864	G27_mean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.382055945	0.382055945	unbias	0.389206888	Brain_mean
TRINITY_DN101813_c0_g1_i1	mras	Chr09	50931287	50931287	1.538265916	1.538265916	unbias	0.562385747	G27_mean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-1.228951918	1.228951918	unbias	0.361985432	Ovary_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.629911515	0.629911515	unbias	0.239577365	G23_mean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	0.548962444	0.548962444	unbias	0.292855113	G31_mean
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.912027947	0.912027947	unbias	0.314697661	Brain_mean
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.823053416	0.823053416	unbias	0.414443877	G31_mean
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.65435346	0.65435346	unbias	0.426192232	Ovary_mean
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.025378664	0.025378664	unbias	0.437470329	Ovary_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	0.370376721	0.370376721	unbias	0.290416036	G23_mean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.542588607	0.542588607	unbias	0.411181266	Ovary_mean
TRINITY_DN101964_c0_g1_i1	NA	NA	NA	NA	0.972403133	0.972403133	unbias	0.990794083	Liver_mean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.356249282	0.356249282	unbias	0.411829916	Testis_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	0.312700198	0.312700198	unbias	0.313979328	Ovary_mean
TRINITY_DN102016_c0_g3_i1	NA	NA	NA	NA	-3.739188666	3.739188666	female	0.369865458	Liver_mean
TRINITY_DN102039_c0_g1_i2	NA	NA	NA	NA	0.451585558	0.451585558	unbias	0.549446835	Liver_mean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-1.031514447	1.031514447	unbias	0.403031814	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.383206998	0.383206998	unbias	0.418307414	Testis_mean
TRINITY_DN102078_c0_g1_i1	rundc3a	Chr10	14285958	14285958	0.440272676	0.440272676	unbias	0.253002842	Ovary_mean
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	0.581942073	0.581942073	unbias	0.232454096	Ovary_mean
TRINITY_DN102083_c0_g1_i1	NA	NA	NA	NA	0.020297215	0.020297215	unbias	0.917291107	Liver_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.532319272	0.532319272	unbias	0.209951272	Ovary_mean
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	-0.550147553	0.550147553	unbias	0.315922318	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.453617828	0.453617828	unbias	0.475950957	Ovary_mean
TRINITY_DN102150_c0_g1_i3	NA	NA	NA	NA	0.524286381	0.524286381	unbias	0.610706664	Liver_mean
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	-0.539333478	0.539333478	unbias	0.219737896	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	0.431148496	0.431148496	unbias	0.429824349	Liver_mean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.267394783	0.267394783	unbias	0.452032675	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.094507622	0.094507622	unbias	0.278699067	Ovary_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	-0.578956071	0.578956071	unbias	0.358722229	Brain_mean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.056374458	0.056374458	unbias	0.414616606	Brain_mean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	-0.164061989	0.164061989	unbias	0.357658707	Ovary_mean
TRINITY_DN102218_c0_g1_i1	slc39a10	Chr09	46395065	46395065	-0.905767949	0.905767949	unbias	0.256674623	Liver_mean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-0.204731376	0.204731376	unbias	0.421140065	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.829714062	0.829714062	unbias	0.615566053	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.163186115	0.163186115	unbias	0.132303324	G23_mean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.306910829	0.306910829	unbias	0.156069923	G46_F_mean
TRINITY_DN102288_c0_g1_i1	rbm34	Chr10	3802487	3802487	-0.998353776	0.998353776	unbias	0.570520612	Ovary_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	0.107361501	0.107361501	unbias	0.221581925	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.510786801	0.510786801	unbias	0.485979641	Ovary_mean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	0.015436169	0.015436169	unbias	0.175182122	Testis_mean
TRINITY_DN102407_c0_g1_i1	armc4	Chr06	16300432	16300432	-1.309112359	1.309112359	unbias	0.31598298	G31_mean
TRINITY_DN102425_c0_g1_i1	dtx3	Chr02	137571807	137571807	0.076928443	0.076928443	unbias	0.645064333	Brain_mean
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	-0.931786431	0.931786431	unbias	0.311362152	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.234155829	0.234155829	unbias	0.342235666	Ovary_mean
TRINITY_DN102449_c0_g1_i1	LOC101732515	scaffold_1485	10246	10246	-0.192926267	0.192926267	unbias	0.419641723	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.560999272	0.560999272	unbias	0.173678848	Ovary_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	1.747198864	1.747198864	unbias	0.345738047	Liver_mean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.222243801	0.222243801	unbias	0.46905447	Liver_mean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.082675691	0.082675691	unbias	0.198656899	Ovary_mean
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	0.048295981	0.048295981	unbias	0.141215721	G23_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	-0.455670179	0.455670179	unbias	0.573863595	Brain_mean
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.627105318	0.627105318	unbias	0.261451474	Brain_mean
TRINITY_DN102559_c0_g2_i1	lipg	Chr01	191735667	191735667	-0.724721807	0.724721807	unbias	0.445084774	Ovary_mean
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	0.072597597	0.072597597	unbias	0.48798068	G23_mean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	-0.84412818	0.84412818	unbias	0.221974512	Ovary_mean
TRINITY_DN102661_c0_g1_i1	sec24d-like.1	Chr01	61127823	61127823	0.023709189	0.023709189	unbias	0.265085616	G23_mean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	0.071036957	0.071036957	unbias	0.132277249	Brain_mean
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	-0.566517869	0.566517869	unbias	0.361097661	Ovary_mean
TRINITY_DN102743_c0_g2_i1	nxph3	Chr10	9925552	9925552	-0.958443242	0.958443242	unbias	0.658379099	Liver_mean
TRINITY_DN102752_c0_g1_i1	NA	NA	NA	NA	0.119965824	0.119965824	unbias	0.697808606	Brain_mean
TRINITY_DN102805_c0_g1_i1	NA	NA	NA	NA	-0.665155525	0.665155525	unbias	0.751938855	Liver_mean
TRINITY_DN102805_c0_g2_i1	NA	NA	NA	NA	-1.111172918	1.111172918	unbias	0.635166959	Liver_mean
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	0.146175538	0.146175538	unbias	0.132699684	G46_M_mean
TRINITY_DN102871_c0_g1_i1	NA	NA	NA	NA	-0.075808397	0.075808397	unbias	0.762817746	Liver_mean
TRINITY_DN102923_c0_g1_i1	itm2b	Chr02	131610096	131610096	0.007846476	0.007846476	unbias	0.167352175	Ovary_mean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.508712621	0.508712621	unbias	0.240538882	Ovary_mean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	-0.323148087	0.323148087	unbias	0.249860859	Brain_mean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	-0.020863186	0.020863186	unbias	0.406762304	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.358981191	0.358981191	unbias	0.08358136	G27_mean
TRINITY_DN103065_c0_g1_i1	atad2b-like	Chr05	141303813	141303813	-0.362614975	0.362614975	unbias	0.213525084	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	-1.096115654	1.096115654	unbias	0.58971986	G43_F_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	0.114032887	0.114032887	unbias	0.135045065	Ovary_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.005618447	0.005618447	unbias	0.328031285	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.145868135	0.145868135	unbias	0.523378908	Brain_mean
TRINITY_DN103159_c1_g1_i1	NA	NA	NA	NA	-0.141791383	0.141791383	unbias	0.32278673	Brain_mean
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	0.478439299	0.478439299	unbias	0.237240829	Testis_mean
TRINITY_DN103194_c0_g1_i1	NA	NA	NA	NA	-1.579027057	1.579027057	unbias	0.87944974	Liver_mean
TRINITY_DN103194_c0_g2_i1	NA	NA	NA	NA	0.822863711	0.822863711	unbias	0.869977086	Liver_mean
TRINITY_DN103196_c0_g1_i2	NA	NA	NA	NA	-0.097535748	0.097535748	unbias	0.271416799	Ovary_mean
TRINITY_DN103200_c0_g1_i1	NA	NA	NA	NA	0.547263649	0.547263649	unbias	0.587964576	G23_mean
TRINITY_DN103202_c0_g1_i1	NA	NA	NA	NA	-0.828325205	0.828325205	unbias	0.664996364	Liver_mean
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	0.57948384	0.57948384	unbias	0.142706311	Ovary_mean
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	-1.362930452	1.362930452	unbias	0.465885075	Brain_mean
TRINITY_DN103227_c0_g1_i1	NA	NA	NA	NA	-3.407255497	3.407255497	unbias	0.593196589	Brain_mean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.31473287	0.31473287	unbias	0.141307059	Brain_mean
TRINITY_DN103244_c0_g2_i1	NA	NA	NA	NA	-0.087986002	0.087986002	unbias	0.705335293	Liver_mean
TRINITY_DN103284_c0_g1_i2	NA	NA	NA	NA	0.179716373	0.179716373	unbias	0.404689827	Liver_mean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	-0.296276278	0.296276278	unbias	0.322745401	Brain_mean
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	0.962479122	0.962479122	unbias	0.294889435	Brain_mean
TRINITY_DN103334_c0_g1_i1	arhgap17-like	Chr09	14157183	14157183	-0.333062286	0.333062286	unbias	0.321827147	Brain_mean
TRINITY_DN103424_c0_g1_i1	NA	NA	NA	NA	-0.253934264	0.253934264	unbias	0.499521533	Brain_mean
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	0.044586639	0.044586639	unbias	0.283480735	Ovary_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-0.514400536	0.514400536	unbias	0.473927077	Ovary_mean
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	-0.437493765	0.437493765	unbias	0.357995971	Testis_mean
TRINITY_DN103544_c0_g1_i2	ssfa2	Chr09	57325703	57325703	0.12887718	0.12887718	unbias	0.432859496	Brain_mean
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.151183759	0.151183759	unbias	0.287912192	Ovary_mean
